timestamp,indicated_airspeed_m_s,equivalent_airspeed_m_s,true_airspeed_m_s,equivalent_ground_minus_wind_m_s,true_ground_minus_wind_m_s,,
7992000,-1.3745495,-1.3745495,-1.4013966,0.08425379,0.085899405,,
8992000,19.371359,19.376312,19.754978,19.466208,19.84663,,
9992000,23.239141,23.223627,23.678205,23.08245,23.534267,,
10992000,22.747847,22.70566,23.154692,22.576925,23.02341,,
11992000,21.475328,21.428305,21.859478,21.314913,21.743807,,
12992000,20.672815,20.631523,21.05373,20.522623,20.942604,,
13992000,20.375963,20.34229,20.764248,20.28148,20.702177,,
14992000,20.050112,20.032295,20.452742,20.077309,20.498701,,
15992000,19.895462,19.891783,20.314339,19.853933,20.275686,,
16992000,19.567078,19.577444,19.998224,19.643757,20.065962,,
17992000,19.383167,19.400234,19.821667,19.45472,19.877337,,
18992000,19.200489,19.221523,19.643227,19.275509,19.698399,,
19992000,18.840265,18.865181,19.283379,18.862991,19.281141,,
20992000,16.74301,16.768955,17.142956,16.699486,17.071936,,
21992000,19.182755,19.211899,19.641436,19.099684,19.52671,,
22992000,19.413134,19.44006,19.877106,19.464077,19.90166,,
23992000,19.432755,19.470081,19.911203,19.600449,20.044523,,
24992000,19.59674,19.642828,20.092318,19.779764,20.232388,,
25992000,19.376911,19.421606,19.870861,19.627037,20.081045,,
26992000,19.145006,19.207195,19.656761,19.335827,19.788404,,
27992000,18.939293,18.98983,19.439407,19.09162,19.543608,,
28991999,18.839941,18.859505,19.310728,18.997908,19.452442,,
29991999,18.733685,18.67549,19.126602,18.786667,19.240465,,
30992000,18.289713,18.209671,18.65418,18.497593,18.949131,,
31992000,16.100967,16.031895,16.42697,16.197556,16.596714,,
32992000,15.389699,15.319461,15.698022,15.447674,15.829403,,
33992000,15.725089,15.650145,16.035994,15.629569,16.01491,,
34992000,16.450087,16.372114,16.774239,16.163694,16.5607,,
35992000,16.660515,16.567131,16.972805,16.35549,16.755981,,
36992000,16.54666,16.438108,16.840128,16.212866,16.609377,,
37992000,16.494318,16.381104,16.781713,16.123493,16.517805,,
38992000,16.287216,16.173946,16.569565,16.05649,16.449236,,
