timestamp,gyro_bias[0],gyro_bias[1],gyro_bias[2],accel_bias[0],accel_bias[1],accel_bias[2]
13192000,-0.001182983,-0.005864966,0.000855216,0.012953349,0.001044344,-0.12958068
14192000,-0.000495251,-0.006575164,0.002934688,0.012232406,0.003261378,-0.1291969
15192000,-0.000236584,-0.006648921,0.003600457,-0.012656611,0.013845814,-0.12814498
16192000,-0.000690723,-0.006645424,0.003951459,-0.061034683,-0.00123229,-0.12533326
17192000,-0.001055939,-0.006709361,0.004381947,-0.10390723,-0.009646312,-0.121450216
18200000,-0.001135951,-0.006750115,0.004403757,-0.13862842,-0.011314997,-0.11784008
19192000,-0.001171799,-0.006772601,0.004336207,-0.16239417,-0.016731214,-0.11506047
20192000,-0.001213708,-0.006788747,0.004327988,-0.17380327,-0.02149423,-0.11230676
21192000,-0.001287478,-0.00681953,0.004190106,-0.17557064,-0.02075916,-0.11125931
22192000,-0.001390245,-0.006865586,0.003948995,-0.17456268,-0.015105376,-0.111114845
23192000,-0.001442204,-0.006889095,0.003715534,-0.17393391,-0.014176331,-0.111239195
24192000,-0.00144759,-0.006865379,0.003486858,-0.17303865,-0.017615564,-0.11143612
25192000,-0.001438057,-0.006797835,0.003109823,-0.16981953,-0.022437118,-0.11105259
26192000,-0.00141906,-0.006745476,0.002883061,-0.16696402,-0.026489472,-0.1100897
27192000,-0.001441969,-0.006752799,0.002842297,-0.1679626,-0.022905834,-0.10954641
28192000,-0.001542895,-0.006832025,0.00268498,-0.17404167,-0.001487016,-0.108597636
29192000,-0.001654312,-0.006905772,0.002273988,-0.17783292,0.028115198,-0.105535395
30192000,-0.001725271,-0.006945586,0.001836278,-0.1777698,0.052192375,-0.100838125
31192000,-0.001740026,-0.00696127,0.001545338,-0.17709094,0.06477311,-0.09691808
32192000,-0.001724755,-0.006954934,0.001429669,-0.17597689,0.07000754,-0.09248733
33192000,-0.001701669,-0.006930334,0.001432599,-0.17550386,0.07158541,-0.08919864
34192000,-0.001691761,-0.006869293,0.001501397,-0.17464717,0.07417993,-0.086482644
35192000,-0.001676014,-0.006820919,0.001539765,-0.17347163,0.07586339,-0.08404391
36192000,-0.001653193,-0.006760131,0.001604975,-0.17117195,0.079871856,-0.081981525
37192000,-0.001623944,-0.006705613,0.001652418,-0.16837285,0.083644055,-0.07925924
38192000,-0.001605452,-0.00664988,0.001718805,-0.16540618,0.088669844,-0.076100744
39192000,-0.001615768,-0.006578386,0.001778253,-0.16371943,0.09674245,-0.07256561
40192000,-0.001652554,-0.006432649,0.001729508,-0.16295014,0.11241827,-0.06917376
41192000,-0.001714213,-0.006226086,0.001501116,-0.16456331,0.13221124,-0.06688567
42192000,-0.00175444,-0.006026629,0.001191872,-0.16574441,0.14837557,-0.06410769
43192000,-0.001766038,-0.005881322,0.000927907,-0.16638823,0.1582612,-0.0620245
44192000,-0.001768056,-0.005793161,0.00075717,-0.16665691,0.16310921,-0.059703935
45200000,-0.001760649,-0.0057532,0.000650917,-0.16695206,0.16497608,-0.057730526
46200000,-0.001737269,-0.005709427,0.000557037,-0.1669853,0.1662637,-0.054703657
47192000,-0.001707975,-0.005684117,0.000478786,-0.16721912,0.16663206,-0.05180844
48192000,-0.001668806,-0.005659781,0.000418508,-0.16748855,0.1665327,-0.048869163
49192000,-0.001625549,-0.005647392,0.000367147,-0.16785078,0.16617405,-0.044923052
50192000,-0.001585482,-0.005643822,0.000336429,-0.16853306,0.16587886,-0.041189298
51192000,-0.001548685,-0.005647614,0.000306431,-0.16933388,0.16543932,-0.035977878
52192000,-0.001512252,-0.005649522,0.000276149,-0.17012462,0.16494615,-0.031895027
53200000,-0.001479381,-0.005648673,0.000248573,-0.17057689,0.16463841,-0.02789604
54192000,-0.001454463,-0.005647031,0.000222657,-0.17074418,0.16439049,-0.024630092
55192000,-0.001433417,-0.00564834,0.000207889,-0.17074674,0.16425966,-0.021854343
56200000,-0.001406629,-0.005646248,0.000197801,-0.1707456,0.16405389,-0.020025177
57192000,-0.001390418,-0.005649451,0.000187336,-0.17078578,0.16389138,-0.018917536
58192000,-0.001377356,-0.005662154,0.000170649,-0.17088981,0.16371293,-0.017909072
59192000,-0.001376321,-0.00567093,0.000159531,-0.17094837,0.16365585,-0.017255114
60192000,-0.001380348,-0.005682913,0.000165861,-0.1709725,0.16385724,-0.016734408
61191999,-0.001387665,-0.005694819,0.000171421,-0.17091516,0.16406257,-0.015484763
62191999,-0.001402031,-0.005702027,0.0001839,-0.17074692,0.16434921,-0.014187028
63191999,-0.00141342,-0.005713325,0.000188861,-0.1706863,0.1646055,-0.012906678
64192000,-0.001420385,-0.005715594,0.000192596,-0.1706319,0.16473772,-0.012061707
65192000,-0.001421674,-0.005718431,0.000208898,-0.17057341,0.16495685,-0.010984104
66192000,-0.001429175,-0.00572757,0.000214853,-0.17055736,0.16515838,-0.011799842
67192000,-0.001435966,-0.005742708,0.000210585,-0.17058879,0.16531844,-0.01315054
68192000,-0.001429652,-0.005746838,0.000221588,-0.17063026,0.16547991,-0.01455864
69192000,-0.001415508,-0.005754555,0.000245321,-0.17068651,0.16576937,-0.01601599
70192000,-0.001402401,-0.005755329,0.000258309,-0.17073852,0.16589092,-0.017545039
71192000,-0.001395507,-0.005765297,0.000248358,-0.17084956,0.16584954,-0.018994194
72192000,-0.001404462,-0.005777938,0.000204841,-0.17120488,0.16510983,-0.020678554
73192000,-0.001420784,-0.005789305,0.000150414,-0.17244034,0.16431421,-0.0210854
74192000,-0.001445779,-0.005812934,0.0001401,-0.1753862,0.16417544,-0.020366
75192000,-0.001459885,-0.005837496,0.00015379,-0.17844726,0.16367057,-0.019026592
76192000,-0.001468655,-0.005856695,0.000167664,-0.18122518,0.1623143,-0.016319841
77192000,-0.001474991,-0.005875415,0.000190148,-0.1841275,0.16090693,-0.013562342
78192000,-0.001481335,-0.00589021,0.000207468,-0.18673411,0.15988496,-0.010430871
79192000,-0.001490968,-0.005894683,0.000218725,-0.18957195,0.15917096,-0.006925796
80192000,-0.001500209,-0.005908098,0.000226066,-0.1919549,0.15888226,-0.004380107
81192000,-0.001509658,-0.005918669,0.000232038,-0.1935673,0.15866025,-0.001969982
82192000,-0.001515432,-0.005927531,0.000230587,-0.19467036,0.15881613,0.001274872
83192000,-0.001519034,-0.005929726,0.000225083,-0.19617292,0.15934446,0.003480064
84192000,-0.001523099,-0.005940851,0.000224477,-0.19712074,0.15973473,0.006328397
85192000,-0.001523061,-0.005939749,0.000229242,-0.19819419,0.15990736,0.008880803
86192000,-0.001523595,-0.00594598,0.000227908,-0.19910075,0.16037555,0.010481698
87192000,-0.001532348,-0.005946801,0.000223863,-0.19970028,0.16055322,0.012239426
88200000,-0.001549553,-0.005961069,0.000206016,-0.1997432,0.16088943,0.012834185
89192000,-0.001569527,-0.005974778,0.000192406,-0.19986108,0.16079292,0.012441418
90192000,-0.001604864,-0.005988705,0.000173078,-0.2004619,0.16047484,0.009833314
91192000,-0.001635339,-0.006010377,0.000164523,-0.20121928,0.15962148,0.007337398
92192000,-0.001676969,-0.00602924,0.000155304,-0.20218726,0.1591718,0.005458152
93192000,-0.001699202,-0.006039338,0.000161566,-0.20321791,0.15853114,0.00201311
94192000,-0.001706471,-0.00604715,0.000178004,-0.20423125,0.15826668,-0.00136099
95192000,-0.001696166,-0.006050572,0.000184157,-0.20475382,0.15807334,-0.003927394
96192000,-0.001664006,-0.006037559,0.000189049,-0.20510715,0.15760513,-0.005999783
97200000,-0.001609904,-0.006022342,0.000180943,-0.20613325,0.15698503,-0.007955859
98192000,-0.0015345,-0.0060043,0.000116386,-0.20851107,0.15499829,-0.008938889
99200000,-0.001455387,-0.005995515,4.51E-05,-0.2118254,0.15286279,-0.010336838
100200000,-0.001389516,-0.005995254,-1.02E-05,-0.2146525,0.15146604,-0.011405207
