timestamp,baro_alt_meter,baro_temp_celcius,baro_pressure_pa,rho
33004000,399.56427,12.404602,96616.86,1.1479682
33032000,399.6488,12.404602,96615.88,1.1479565
33052000,399.6394,12.404602,96616.055,1.1479585
33076000,399.57367,12.404602,96616.81,1.1479676
33100000,399.70514,12.404602,96615.266,1.1479492
33124000,399.5549,12.404602,96617.03,1.1479702
33148000,399.66287,12.404602,96615.75,1.147955
33172000,399.5596,12.404602,96616.98,1.1479695
33196000,399.57837,12.404602,96616.76,1.1479669
33220000,399.58777,12.404602,96616.64,1.1479656
33244000,399.6488,12.404602,96615.88,1.1479565
33268000,399.66287,12.404602,96615.78,1.1479553
33292000,399.5549,12.404602,96617.03,1.1479702
33316000,399.57837,12.404602,96616.73,1.1479665
33340000,399.59714,12.404602,96616.516,1.147964
33364000,399.63,12.404602,96616.11,1.1479592
33388000,399.51733,12.404602,96617.47,1.1479753
33412000,399.57367,12.404602,96616.83,1.1479677
33436000,399.5408,12.404602,96617.14,1.1479715
33460000,399.63,12.404602,96616.14,1.1479596
33484000,399.66287,12.404602,96615.79,1.1479554
33508000,399.51733,12.404602,96617.44,1.147975
33532000,399.62064,12.404602,96616.27,1.1479611
33556000,399.70984,12.404602,96615.2,1.1479484
33584000,399.60184,12.404602,96616.48,1.1479635
33608000,399.5314,12.404602,96617.31,1.1479735
33628000,399.57367,12.404602,96616.805,1.1479675
33652000,399.59714,12.404602,96616.53,1.1479642
33676000,399.61594,12.404602,96616.31,1.1479616
33700000,399.60654,12.404602,96616.414,1.1479628
33724000,399.47507,12.404602,96617.95,1.1479812
33748000,399.41403,12.404602,96618.64,1.1479893
33772000,399.6488,12.404602,96615.92,1.147957
33796000,399.43753,12.404602,96618.375,1.1479862
33820000,399.5314,12.404602,96617.3,1.1479733
33844000,399.5408,12.404602,96617.14,1.1479715
33868000,399.69104,12.404602,96615.445,1.1479514
33892000,399.61594,12.404602,96616.32,1.1479617
33916000,399.57367,12.404602,96616.77,1.1479671
33940000,399.59714,12.404602,96616.53,1.1479642
33964000,399.51263,12.404602,96617.484,1.1479756
33988000,399.52673,12.404602,96617.33,1.1479737
34012000,399.77554,12.404602,96614.47,1.1479397
34036000,399.57837,12.404602,96616.72,1.1479665
34060000,399.49857,12.404602,96617.664,1.1479777
34084000,399.59714,12.404602,96616.5,1.1479639
34108000,399.6347,12.404602,96616.07,1.1479588
34132000,399.5596,12.404602,96616.97,1.1479694
34156000,399.61594,12.404602,96616.336,1.1479619
34180000,399.48917,12.404602,96617.76,1.1479788
34204000,399.32013,12.404602,96619.74,1.1480024
34228000,399.7239,12.404602,96615.08,1.147947
34252000,399.68167,12.404602,96615.57,1.1479528
34276000,399.51263,12.404602,96617.51,1.1479758
34300000,399.51263,12.404602,96617.51,1.1479758
34324000,399.58307,12.404602,96616.66,1.1479657
34348000,399.70984,12.404602,96615.22,1.1479486
34372000,399.60184,12.404602,96616.445,1.1479632
34396000,399.5314,12.404602,96617.27,1.1479731
34420000,399.68167,12.404602,96615.57,1.1479528
34444000,399.47037,12.404602,96618.01,1.1479818
34468000,399.5596,12.404602,96616.98,1.1479695
34492000,399.6394,12.404602,96616.016,1.147958
34516000,399.6347,12.404602,96616.08,1.1479589
34540000,399.4469,12.404602,96618.25,1.1479846
34564000,399.66757,12.404602,96615.695,1.1479543
34588000,399.4657,12.404602,96618.03,1.147982
34612000,399.57367,12.404602,96616.8,1.1479673
34636000,399.58307,12.404602,96616.664,1.1479658
34660000,399.74738,12.404602,96614.81,1.1479439
34684000,399.49857,12.404602,96617.664,1.1479777
34708000,399.8084,12.404602,96614.06,1.1479349
34732000,399.5361,12.404602,96617.25,1.1479727
34756000,399.5408,12.404602,96617.17,1.1479719
34780000,399.56427,12.404602,96616.86,1.1479682
34804000,399.67697,12.404572,96615.586,1.147953
34828000,399.48917,12.404572,96617.75,1.1479787
34856000,399.67227,12.404541,96615.61,1.1479533
34876000,399.57837,12.404541,96616.74,1.1479667
34900000,399.68634,12.4045105,96615.516,1.1479522
34924000,399.65817,12.4045105,96615.836,1.147956
34948000,399.5314,12.4045105,96617.28,1.1479732
34972000,399.7286,12.4045105,96614.984,1.1479459
34996000,399.69574,12.40448,96615.39,1.1479506
35020000,399.66287,12.40448,96615.77,1.1479552
35044000,399.56427,12.40448,96616.89,1.1479685
35068000,399.7192,12.40448,96615.15,1.1479478
35092000,399.57837,12.40448,96616.76,1.1479669
35116000,399.51733,12.404449,96617.45,1.1479752
35140000,399.59714,12.404449,96616.53,1.1479642
35164000,399.60184,12.404449,96616.44,1.147963
35188000,399.4563,12.404419,96618.12,1.1479831
35212000,399.43753,12.404419,96618.36,1.1479859
35236000,399.56427,12.404419,96616.91,1.1479686
35264000,399.6441,12.404388,96616,1.1479579
35284000,399.47037,12.404388,96617.984,1.1479815
35308000,399.63,12.404388,96616.16,1.1479597
35336000,399.50323,12.404388,96617.59,1.1479769
35356000,399.7145,12.404388,96615.164,1.147948
35380000,399.68634,12.404388,96615.49,1.1479518
35404000,399.70044,12.404388,96615.305,1.1479497
35428000,399.67227,12.404358,96615.625,1.1479535
35452000,399.69104,12.404358,96615.4,1.1479508
35476000,399.57837,12.404327,96616.76,1.1479669
35500000,399.68634,12.404327,96615.5,1.147952
35528000,399.69574,12.404297,96615.39,1.1479506
35548000,399.6441,12.404236,96615.98,1.1479577
35572000,399.5596,12.404175,96616.945,1.1479691
35596000,399.5502,12.404114,96617.06,1.1479706
35620000,399.5314,12.404022,96617.31,1.1479735
35644000,399.68167,12.403931,96615.53,1.1479523
35668000,399.6441,12.403839,96616,1.1479579
35692000,399.78494,12.403687,96614.38,1.1479387
35716000,399.74738,12.403564,96614.766,1.1479433
35740000,399.8178,12.403412,96613.98,1.1479338
35768000,399.9023,12.403259,96612.945,1.1479216
35788000,399.70514,12.403076,96615.29,1.1479495
35812000,399.9258,12.402893,96612.73,1.147919
35836000,399.8131,12.402679,96614.01,1.1479342
35860000,399.86478,12.402496,96613.41,1.147927
35888000,399.97275,12.402252,96612.2,1.1479127
35908000,399.8319,12.402039,96613.81,1.1479319
35932000,399.99622,12.401794,96611.945,1.1479098
35956000,400.06195,12.40155,96611.12,1.1478999
35984000,400.19342,12.401276,96609.625,1.1478821
36004000,400.04318,12.401001,96611.36,1.1479027
36028000,400.19812,12.400726,96609.586,1.1478817
36052000,400.24976,12.400452,96608.97,1.1478744
36076000,400.29202,12.4001465,96608.49,1.1478688
36100000,400.35306,12.399841,96607.8,1.1478604
36124000,400.3859,12.399506,96607.38,1.1478555
36148000,400.3859,12.39917,96607.41,1.1478558
36172000,400.52206,12.398834,96605.86,1.1478374
36196000,400.43756,12.398468,96606.79,1.1478485
36220000,400.846,12.398102,96602.11,1.1477928
36244000,400.7521,12.397705,96603.195,1.1478058
36268000,400.70517,12.397308,96603.73,1.1478121
36292000,400.73334,12.396912,96603.42,1.1478084
36316000,400.82254,12.396484,96602.33,1.1477954
36340000,400.88828,12.396057,96601.6,1.1477869
36364000,400.8601,12.395599,96601.9,1.1477903
36388000,400.846,12.395142,96602.08,1.1477925
36412000,401.16058,12.394684,96598.45,1.1477494
36436000,401.20755,12.394196,96597.92,1.1477431
36460000,401.32962,12.393707,96596.484,1.147726
36484000,401.46106,12.393219,96594.99,1.1477083
36508000,401.37656,12.3927,96595.97,1.1477199
36536000,401.40472,12.392181,96595.664,1.1477163
36556000,401.76624,12.391632,96591.46,1.1476663
36580000,401.6207,12.391083,96593.15,1.1476864
36604000,401.67703,12.390533,96592.5,1.1476787
36632000,401.83667,12.389954,96590.61,1.1476562
36652000,401.91177,12.389374,96589.79,1.1476464
36676000,401.85074,12.388794,96590.5,1.1476549
36700000,402.1747,12.388184,96586.73,1.1476101
36724000,402.3954,12.387573,96584.164,1.1475797
36748000,402.35782,12.386932,96584.61,1.1475849
36772000,402.43762,12.3862915,96583.71,1.1475743
36796000,402.41885,12.385651,96583.914,1.1475767
36820000,402.80383,12.384979,96579.46,1.1475238
36844000,402.71463,12.384308,96580.484,1.1475359
36872000,402.59256,12.383636,96581.9,1.1475527
36892000,402.9306,12.382935,96578,1.1475064
36916000,402.88367,12.382202,96578.555,1.147513
36940000,403.1043,12.38147,96575.99,1.1474825
36964000,403.2029,12.380737,96574.84,1.1474689
36988000,403.24518,12.380005,96574.38,1.1474634
37012000,403.45645,12.379242,96571.89,1.1474338
37036000,403.5926,12.3784485,96570.37,1.1474158
37060000,403.6912,12.377686,96569.2,1.1474019
37084000,403.77103,12.376892,96568.27,1.1473908
37108000,403.8743,12.376068,96567.086,1.1473768
37132000,403.92126,12.375244,96566.516,1.14737
37156000,404.17477,12.37442,96563.59,1.1473353
37180000,404.3297,12.373566,96561.83,1.1473143
37204000,404.52692,12.372711,96559.55,1.1472871
37228000,404.58795,12.371826,96558.86,1.147279
37252000,404.7335,12.370941,96557.195,1.1472592
37276000,404.96353,12.370056,96554.53,1.1472275
37300000,405.04337,12.369141,96553.63,1.1472169
