timestamp,altitude_sp,altitude_filtered,height_rate_setpoint,height_rate,airspeed_sp,airspeed_filtered,airspeed_derivative_sp,airspeed_derivative,throttle_integ,pitch_integ
13544000,-0.04230026,-0.054300264,0.40060008,0.054432638,13.253934,25.72228,-0.24936692,9.537422,0.10999999,-32.866276
13736000,0.080268264,0.06826827,0.40059984,0.78067625,13.254033,25.9797,-0.25451332,6.948291,0.10999999,-42.125973
13952000,0.36601746,0.35401747,0.40059984,1.4501436,13.254219,25.573376,-0.24638313,4.6678863,0.10999999,-52.168377
14144000,0.73436433,0.72236437,0.40059882,2.0164585,13.254464,24.953764,-0.23398599,3.1434376,0.10999999,-60.15318
14336000,1.2212472,1.2092472,0.40059882,2.6684728,13.254802,24.290144,-0.22070684,1.9892943,0.10999999,-67.10357
14552000,1.9040852,1.8920852,0.40059882,3.3352122,13.255077,23.633265,-0.20756374,1.0741196,0.10999999,-73.76652
14744000,2.624578,2.6125782,0.40059483,3.9251878,13.255598,23.20003,-0.19888861,0.5062201,0.10999999,-78.87446
14936000,3.4653075,3.4533074,0.40060282,4.5571637,13.256068,22.880241,-0.19248345,0.088069774,0.10999999,-83.41269
15152000,4.5533695,4.54137,0.40058687,5.2625756,13.256648,22.646238,-0.1877918,-0.24380974,0.10999999,-88.01394
15344000,5.644403,5.6324034,0.40058687,5.845397,13.257291,22.542015,-0.18569449,-0.4297177,0.10999999,-91.800476
15536000,6.83405,6.8220506,0.40058687,6.2489185,13.25821,22.492249,-0.18468076,-0.49376282,0.10999999,-95.40808
15752000,8.24469,8.23269,0.40060282,6.479396,13.258987,22.529297,-0.18540618,-0.44675446,0.10999999,-99.34959
15944000,9.52953,9.51753,0.400571,6.639746,13.259827,22.594032,-0.1866841,-0.37502933,0.10999999,-102.82455
16136000,10.119579,10.826966,2.0514607,6.728869,13.260839,22.601978,-0.18682277,-0.96824116,0.10548502,-101.335014
16352000,10.883144,12.318784,3.1870186,6.7471013,13.26163,22.245064,-0.17966866,-1.7074065,0.09861116,-98.04094
16544000,11.729164,13.611559,3.5868087,6.344966,13.262582,21.821115,-0.17117067,-1.5743829,0.09264156,-95.40323
16736000,12.6401005,14.808971,3.7541916,5.8608475,13.263199,21.539722,-0.16553047,-1.1603448,0.08682318,-92.98162
16952000,13.697382,16.066612,3.8283195,5.523406,13.263963,21.414188,-0.1630045,-0.76873505,0.08034089,-90.391136
17144000,14.6491995,17.125206,3.8533077,5.273143,13.264782,21.417234,-0.16304904,-0.5198387,0.07456451,-88.1356
17336000,15.605676,18.139458,3.8634524,5.03917,13.265458,21.454483,-0.1637805,-0.36672443,0.06874937,-85.888145
17552000,16.68405,19.231527,3.8688393,4.8228397,13.2660265,21.524603,-0.16517152,-0.28674304,0.062139064,-83.33638
17744000,17.643467,20.163113,3.8723927,4.659454,13.266745,21.5317,-0.1652991,-0.2883338,0.056244735,-81.05393
17936000,18.603222,21.062592,3.8763602,4.513202,13.267418,21.501852,-0.16468868,-0.296575,0.050378572,-78.76945
18152000,19.683113,22.045477,3.8816555,4.372932,13.267985,21.421652,-0.16307333,-0.32359758,0.043847866,-76.20326
18344000,20.643076,22.897089,3.8872004,4.2833343,13.268467,21.328184,-0.16119434,-0.34047884,0.038152087,-73.94241
18536000,21.603064,23.731503,3.8935423,4.2160945,13.269069,21.23683,-0.15935522,-0.35078275,0.032563806,-71.696266
