timestamp,indicated_airspeed_m_s,true_airspeed_m_s
10008000,-0.235052,-0.23964378
10032000,0.3111064,0.31718335
10056000,0.78721756,0.80260473
10080000,0.6294697,0.6417658
10104000,-1.6908057,-1.7238442
10128000,1.3047994,1.3302923
10152000,1.4225427,1.450341
10180000,0.42380854,0.43209186
10200000,-1.2180437,-1.2418417
10224000,1.6128014,1.644328
10248000,1.3095398,1.3351239
10272000,2.1305451,2.1721683
10296000,-0.5559792,-0.56684506
10320000,-1.4957346,-1.5249586
10344000,1.8420933,1.878086
10372000,1.2105464,1.2341905
10392000,1.7625676,1.7970178
10416000,3.4860659,3.5542047
10440000,4.5197415,4.608063
10464000,5.71201,5.823555
10492000,6.918279,7.053438
10512000,7.684413,7.8345385
10536000,8.621489,8.789971
10560000,9.593667,9.781097
10584000,10.158207,10.356675
10612000,11.345398,11.567199
10632000,11.932794,12.165956
10656000,12.360346,12.601729
10680000,13.347314,13.608063
10708000,13.997034,14.270527
10728000,14.471326,14.75401
10752000,14.964685,15.256968
10776000,15.394354,15.695117
10804000,16.221945,16.53894
10828000,16.598183,16.922403
10848000,16.896051,17.225931
10872000,17.415236,17.755308
10896000,17.726133,18.072392
10920000,18.197618,18.553045
10944000,18.525076,18.886927
10972000,18.974655,19.345188
10992000,19.226492,19.602072
11016000,19.384092,19.76289
11040000,19.77212,20.15834
11064000,20.02579,20.416996
11088000,20.197971,20.592522
11116000,20.546516,20.947794
11136000,20.754671,21.160254
11160000,20.880621,21.288704
11188000,21.177885,21.59167
11208000,21.28108,21.696892
11232000,21.422173,21.840773
11256000,21.62005,22.042469
11280000,21.831299,22.257915
11304000,21.886179,22.313911
11328000,22.01214,22.44225
11352000,22.162962,22.596052
11380000,22.292711,22.72825
11404000,22.41994,22.858082
11424000,22.422949,22.861202
11448000,22.558384,22.999226
11472000,22.704447,23.148079
11496000,22.713352,23.157154
11520000,22.763985,23.208773
11544000,22.826397,23.272457
11568000,22.92743,23.375416
11592000,22.950207,23.398794
11616000,22.966665,23.415506
11640000,23.056116,23.506681
11668000,23.101274,23.55281
11688000,23.170347,23.623377
11712000,23.203577,23.657204
11736000,23.173225,23.626247
11764000,23.211416,23.665329
11788000,23.235039,23.689198
11808000,23.182821,23.63632
11832000,23.261463,23.716476
11856000,23.294025,23.749739
11880000,23.35086,23.80743
11908000,23.395287,23.852829
11928000,23.307594,23.763649
11952000,23.341276,23.798138
11976000,23.357607,23.814781
12000000,23.348873,23.80578
12024000,23.393885,23.851929
12048000,23.36417,23.82162
12072000,23.384777,23.842913
12096000,23.386728,23.844883
12120000,23.431711,23.89073
12148000,23.365782,23.823664
12168000,23.402212,23.860807
12192000,23.38284,23.841024
12216000,23.405336,23.864067
12240000,23.406378,23.865183
12264000,23.342905,23.800402
12288000,23.375978,23.83441
12312000,23.34537,23.803268
12340000,23.394999,23.8538
12360000,23.267305,23.72365
12384000,23.336967,23.795116
12408000,23.321632,23.779457
12432000,23.263254,23.720022
12456000,23.271181,23.72821
12480000,23.310762,23.768852
12508000,23.301422,23.759142
12528000,23.281244,23.738815
12552000,23.25923,23.716492
12576000,23.209145,23.665533
12600000,23.21318,23.669558
12624000,23.198744,23.655207
12648000,23.154203,23.609753
12672000,23.191305,23.647982
12696000,23.14382,23.5995
12719999,23.198668,23.655582
12744000,23.146809,23.602598
12772000,23.130835,23.586466
12792000,23.12221,23.578037
12815999,23.11876,23.574478
12840000,23.084118,23.539278
12864000,23.056873,23.511688
12888000,23.079094,23.534311
12911999,23.015278,23.46936
12936000,22.97707,23.43058
12960000,23.045095,23.500385
12984000,22.939478,23.392796
13007999,22.953663,23.407154
13032000,22.89788,23.350588
13056000,22.886663,23.339218
13080000,22.933142,23.386892
13103999,22.899395,23.352476
13128000,22.870384,23.323122
13152000,22.910109,23.363966
13176000,22.880642,23.333761
13199999,22.820776,23.273018
13228000,22.8401,23.292845
13248000,22.815714,23.268166
13276000,22.804125,23.256422
13295999,22.752127,23.203833
13324000,22.760937,23.212984
13344000,22.622759,23.07205
13372000,22.73062,23.182188
13391999,22.731428,23.18333
13416000,22.611008,23.060719
13440000,22.715406,23.167255
13464000,22.701357,23.15298
13492000,22.65609,23.107027
13512000,22.659101,23.110132
13536000,22.661509,23.112865
13560000,22.66718,23.11871
13584000,22.627184,23.078262
13608000,22.649988,23.101624
13632000,22.612972,23.063946
13656000,22.601065,23.052143
13680000,22.634417,23.086199
13704000,22.52755,22.977442
13728000,22.65959,23.112284
13752000,22.52518,22.975496
13776000,22.497416,22.947493
13800000,22.524408,22.9748
13824000,22.60378,23.056242
13848000,22.485806,22.935999
13872000,22.497532,22.948193
13896000,22.514355,22.965492
13920000,22.425493,22.874954
13944000,22.428728,22.878307
13968000,22.293177,22.740414
13992000,22.207266,22.652845
14016000,22.090824,22.534252
