timestamp,indicated_airspeed_m_s,equivalent_airspeed_m_s,true_airspeed_m_s,equivalent_ground_minus_wind_m_s,true_ground_minus_wind_m_s
7992000,-1.0221819,-1.0221819,-1.0421511,0.08491505,0.08657395
8992000,19.269424,19.266926,19.643557,19.390003,19.769041
9992000,23.346437,23.325842,23.782515,23.17887,23.632666
10992000,22.840063,22.79836,23.249382,22.73741,23.187225
11992000,21.89439,21.85282,22.292131,21.789446,22.227486
12991999,21.069057,21.034252,21.462698,20.99873,21.426453
13992000,21.090473,21.071949,21.50517,21.062616,21.495667
14992000,21.587427,21.552513,21.999132,21.51773,21.96363
15992000,21.526743,21.486303,21.933813,21.418718,21.86482
16992000,21.238047,21.232174,21.678162,21.179058,21.62393
17992000,20.53845,20.544132,20.981438,20.402729,20.837027
18992000,19.482426,19.45241,19.87387,19.280964,19.69871
19992000,18.667286,18.597717,19.007866,18.337605,18.742016
20992000,15.687119,15.60785,15.956106,15.410882,15.754744
21992000,15.265235,15.183394,15.522527,14.8944,15.227078
22992000,15.858414,15.769845,16.12059,15.627666,15.975249
23992000,16.633476,16.542381,16.908466,16.2244,16.583447
24992000,16.695312,16.608654,16.975185,16.28485,16.644236
25992000,16.442318,16.358706,16.718987,16.225437,16.582783
26992000,16.623468,16.548279,16.912243,16.371805,16.731888
27992000,16.693205,16.63019,16.995226,16.550282,16.913565
28992000,16.671747,16.616318,16.980982,16.509436,16.871756
29992000,16.36924,16.322578,16.68094,16.2376,16.594099
30992000,16.018196,15.980239,16.331337,15.870259,16.218943
31992000,15.727811,15.69495,16.040234,15.554872,15.897074
32992000,16.202206,16.1745,16.530352,16.039717,16.392603
33992000,18.708427,18.687693,19.100931,18.446903,18.854816
34992000,18.539808,18.551546,18.967329,18.263128,18.672447
35992000,17.637125,17.663822,18.06599,17.316244,17.7105
36992000,16.428917,16.422832,16.803259,16.163021,16.53743
37992000,16.37801,16.3686,16.753561,15.971661,16.347286
38992000,16.845312,16.836922,17.236483,16.440622,16.830778
39992000,17.258812,17.24041,17.652744,16.702833,17.10231
