timestamp,gyro_rad[0],gyro_rad[1],gyro_rad[2],accelerometer_m_s2[0],accelerometer_m_s2[1],accelerometer_m_s2[2]
7500000,-0.001038678,-0.012786375,-0.001475778,-0.14188766,0.19667032,-9.858751
7504000,-0.001311606,-0.003995386,0.001837842,-0.118997194,0.24652831,-9.925516
7512000,0.00173987,-0.00500016,0.000458889,-0.08882478,0.2413148,-9.947867
7516000,0.002868949,-0.010677893,0.002324892,-0.082445234,0.26934582,-9.965811
7520000,0.003716241,-0.009061866,0.007417199,-0.13716936,0.1834496,-9.8925905
7524000,0.001304739,-0.00687512,-0.000619002,-0.16106713,0.08104358,-9.863023
7528000,0.00278105,-0.012988069,-0.00699734,-0.11489877,0.05136865,-9.872525
7532000,0.003026014,-0.012823377,0.002281226,-0.06323523,0.16568278,-9.9165945
7536000,-0.001271073,-0.007302473,0.003317515,-0.06360115,0.29078847,-9.978598
7540000,-0.000430118,-0.001062622,-0.000342003,-0.10111481,0.25668314,-9.958452
7548000,0.002641333,-0.009277078,6.21E-06,-0.047663327,0.20055339,-9.9617195
7556000,-0.008068337,-0.008923604,-0.004723833,-0.13091822,0.1570694,-9.994186
7560000,-0.002775885,-0.008241721,0.001929236,-0.106586315,0.119633645,-10.002758
7564000,0.000436368,-0.006646972,-0.001273475,-0.06720916,0.11931363,-9.929667
7572000,0.002669434,-0.009225079,-0.005059079,-0.14544839,0.19281858,-9.934388
7580000,-0.002536895,-0.003037855,0.00647016,-0.13409376,0.14048442,-9.898719
7584000,-0.002305471,-0.010893392,0.000953565,-0.113489985,0.1307847,-9.912711
7588000,-0.003441771,-0.009133259,-0.001172674,-0.047947135,0.18740927,-9.927804
7592000,-0.000542135,-0.002382518,-0.001200537,-0.07091165,0.2369625,-9.944404
7596000,-0.003604655,-0.004142889,-0.000907986,-0.108015545,0.16871534,-9.971491
7600000,-0.003915119,-0.005370347,0.006990906,-0.12752564,0.18131,-9.937109
7604000,-0.002588336,-0.004889373,0.004104173,-0.08327088,0.20304148,-9.886113
7608000,-0.007245003,-0.00813596,0.000326427,-0.10697728,0.22221737,-9.907139
7612000,-0.003767066,-0.011479154,-0.00166526,-0.105720155,0.21715885,-9.945163
7620000,-0.007252018,-0.005382337,-0.004365282,-0.15272303,0.14163873,-9.904356
7624000,-0.004840445,-0.004208562,6.67E-05,-0.11735977,0.12997168,-9.836543
7628000,0.001534598,-0.004030046,0.003659816,-0.12440633,0.14548513,-9.927953
7632000,-0.005422501,-0.004652333,-0.002724424,-0.10390646,0.15959921,-9.985437
7636000,-0.000727729,-0.008222403,-0.008325891,-0.048555046,0.18367678,-9.966356
7640000,0.000810234,-0.008669617,-0.002570938,-0.10143621,0.20080414,-10.037173
7644000,-0.000145635,-0.008667166,-0.002294881,-0.13288715,0.21824306,-9.9768915
7648000,0.000893454,-0.008150905,-0.003270491,-0.11736487,0.22832958,-9.846944
7656000,0.005522607,-0.011051179,-0.001793042,-0.11378571,0.06323072,-9.900921
7664000,-0.001863604,-0.012703465,-0.002412072,-0.015628103,0.2256408,-9.9702215
7668000,-0.003103037,-0.0142614,-0.006790727,-0.011696279,0.25361422,-9.944013
7676000,0.002942132,-0.007103002,0.000387098,-0.0784503,0.22022714,-9.945277
7680000,0.006861215,-0.009038067,0.001433496,-0.14791237,0.1745791,-9.946595
7684000,-0.000775309,-0.009276166,0.0024397,-0.14791237,0.1745791,-9.946595
7692000,0.002230944,0.004902654,0.002290402,-0.19298495,0.12904981,-9.9040365
7696000,0.000376866,0.005176697,-0.001295832,-0.124879025,0.18291727,-9.912565
7704000,-0.00117099,-0.002720518,-0.001536527,-0.15774705,0.19899388,-9.947522
7708000,-0.005628006,-0.003778268,0.001506002,-0.05937418,0.20874035,-9.891238
7712000,-0.001414094,-0.005040355,0.001729129,-0.06612626,0.20307666,-9.89197
7720000,0.00033552,-0.008050399,-0.001802095,-0.14396256,0.14136894,-9.977359
7724000,0.001261934,-0.005519116,-0.004504289,-0.13240014,0.17091249,-10.000705
7728000,-0.005395575,-0.00744132,-0.001814534,-0.085457586,0.18102713,-9.950362
7736000,-0.007223401,-0.002326044,0.000107138,-0.0616428,0.15629245,-9.932738
7740000,-0.003973728,-0.008429843,-0.001521161,-0.11359524,0.18067922,-9.986792
7744000,-0.007338211,-0.007077707,-4.21E-06,-0.18210492,0.20778446,-9.962962
7748000,-0.007671222,-0.007194385,0.002532271,-0.115080066,0.20598295,-9.938897
7752000,-0.00041702,-0.010143871,0.006999651,-0.09015175,0.20905726,-9.966273
7756000,-0.002323303,-0.007633315,0.006061054,-0.10880819,0.17225713,-9.972801
7760000,-0.005014929,-0.005742568,0.004826799,-0.081095435,0.18774286,-9.964127
7764000,-0.006102534,-0.006015488,0.001259132,-0.070156574,0.15371045,-9.951696
7772000,-0.000800222,-0.007736188,0.003751871,0.07875594,0.16191874,-9.898314
7776000,-0.005014134,-0.013135979,0.002377361,0.000198782,0.25763315,-9.916364
7780000,-0.004899479,-0.009853004,-7.24E-05,-0.06170773,0.31250054,-9.945095
7784000,-0.004333649,-0.004415494,-0.002166533,-0.021769745,0.21846777,-9.888113
7788000,-0.004397811,-0.01132308,-0.005238127,0.01109099,0.16817035,-9.905868
7792000,-0.004767919,-0.008567445,-0.011060184,0.012252409,0.1562772,-9.969225
7796000,-0.002316897,-0.003480937,-0.006544742,-0.030719878,0.16219698,-9.952556
7800000,0.002955491,-0.0063033,0.001164935,-0.058018167,0.1908614,-9.904182
7804000,0.005972483,-0.006228953,-0.00120631,-0.07380201,0.17936873,-9.809374
7808000,0.005115062,-0.003890741,-0.005502285,-0.10482278,0.16310328,-9.870025
7816000,-0.0014988,-0.008876821,0.005168365,-0.13488448,0.19088368,-9.958905
7820000,-0.00442046,-0.009171006,-0.000621935,-0.19038196,0.23240837,-9.926472
7824000,0.000967576,-0.004402912,-0.001064455,-0.17525648,0.22005676,-10.004786
7828000,0.000839369,-0.001723641,0.001615669,-0.139815,0.18855493,-10.058741
7836000,-0.005103743,-0.007636898,-0.000777087,-0.08467883,0.18371855,-9.924855
7840000,-0.003751625,-0.008165942,-0.002063124,-0.10131927,0.22935069,-9.933998
7844000,-1.67E-05,-0.006261922,-0.000284164,-0.123530015,0.16893356,-9.895133
7848000,-0.001897932,-0.002586679,4.08E-05,-0.104371585,0.13376698,-9.889686
7852000,-0.003798754,-7.44E-05,-0.003997509,-0.15314132,0.1676864,-9.934651
7856000,0.001298845,0.004160488,-0.003110105,-0.17974323,0.19476213,-9.953841
7864000,-0.003856113,-0.001992735,-0.001804496,-0.12518497,0.13113883,-9.879713
7868000,-0.002683975,0.000706319,-0.008202103,-0.13717124,0.123968706,-9.929307
7876000,-0.002527936,-0.004592611,-0.006185026,-0.014241934,0.21837176,-9.83765
7880000,-0.00459508,-0.010965974,-0.00452507,-0.075775936,0.2147087,-9.997641
7884000,-0.002421719,-0.007812651,0.001810043,-0.1495288,0.21624492,-10.023864
7892000,0.000236941,-0.006375459,-0.002437512,0.003625304,0.1488199,-9.934048
7900000,-0.000217149,-0.005839204,-0.007325214,-0.11171502,0.19719453,-10.004109
7908000,-0.002463835,-0.007084348,0.001368434,-0.09668349,0.07161558,-9.988525
7916000,5.29E-05,-0.002035408,-0.003287055,-0.08331594,0.22667152,-9.88192
7920000,-0.003148678,-0.003769607,-0.002293745,-0.16811174,0.15252528,-9.858584
7924000,-0.002397096,-0.006306169,0.001241441,-0.101191536,0.19220951,-9.865819
7928000,0.000426798,-0.009242636,-0.001719384,-0.05593914,0.23428118,-9.89197
7932000,0.002382176,-0.007360711,0.001390898,-0.081297554,0.18094847,-9.944231
7936000,-0.000824203,-0.000314717,0.002498407,-0.09784438,0.10552273,-9.933292
7944000,-0.009451606,-0.002794801,0.003189276,-0.06973371,0.1885537,-9.962117
7948000,-0.002367569,8.25E-05,0.002995727,-0.107216135,0.18895781,-9.941072
7952000,0.004219704,0.002569513,0.003734696,-0.06741385,0.149271,-9.909757
7960000,-0.002576987,-0.005859188,-0.002953507,-0.10785847,0.2473014,-9.965627
7964000,-0.002068555,-0.007900859,0.000476172,-0.13902171,0.24569044,-9.919359
