timestamp,lat,lon,alt,vel_m_s,vel_n_m_s,vel_e_m_s,vel_d_m_s,cog_rad
7484000,398714138,327364372,400121,0,0.01,-0.01,0,5.521349
7688000,398714138,327364372,400115,0,0,0,-0.01,1.3868386
7892000,398714138,327364372,400121,0,0,-0.01,0,5.0522046
8096000,398714138,327364372,400132,0,-0.01,0,-0.04,3.4686673
8300000,398714138,327364372,400129,0,0.01,0,0,5.920331
8504000,398714137,327364387,400127,3.54,-0.01,3.55,0.02,1.5737634
8708000,398714138,327364585,400133,11.809999,0,11.8,0,1.5704472
8912000,398714138,327364928,400120,16.85,0.02,16.85,-0.03,1.5694001
9116000,398714138,327365383,400137,20.06,-0.049999997,20.07,-0.03,1.5734143
9320000,398714135,327365879,400153,21.93,-0.26999998,21.939999,-0.049999997,1.5833627
9524000,398714127,327366430,400188,23.01,-0.53999996,23.01,-0.35999998,1.5941837
9728000,398714114,327366977,400334,23.48,-1.04,23.439999,-1.16,1.6151277
9932000,398714088,327367552,400666,23.65,-1.56,23.609999,-1.9799999,1.6367698
10136000,398714056,327368107,401127,23.66,-2.04,23.59,-2.58,1.6571901
10340000,398714012,327368682,401740,23.55,-2.57,23.41,-3.29,1.6802284
10544000,398713961,327369229,402466,23.38,-3.03,23.16,-3.8899999,1.7009978
10748000,398713900,327369791,403344,23.15,-3.49,22.85,-4.54,1.7226399
10952000,398713832,327370325,404333,22.869999,-3.97,22.529999,-5.2,1.7451546
11156000,398713754,327370871,405489,22.55,-4.38,22.109999,-5.87,1.7666223
11360000,398713670,327371387,406712,22.33,-4.88,21.789999,-6.29,1.7914059
11564000,398713572,327371915,408044,22.16,-5.6099997,21.43,-6.52,1.8266615
11768000,398713463,327372415,409362,22.05,-6.43,21.09,-6.6099997,1.8668041
11972000,398713333,327372925,410735,21.83,-7.3399997,20.55,-6.49,1.913928
12176000,398713192,327373395,412024,21.199999,-8.2699995,19.51,-6.3399997,1.9715239
12380000,398713026,327373862,413288,20.939999,-9.349999,18.72,-5.8799996,2.0340066
12584000,398712848,327374296,414404,20.96,-10.429999,18.18,-5.2799997,2.0916026
12788000,398712640,327374732,415453,21.02,-11.71,17.49,-4.79,2.1607175
12991999,398712411,327375138,416407,21.05,-13.179999,16.43,-4.5099998,2.2469368
13196000,398712154,327375517,417296,21.06,-14.7,15.07,-4.21,2.3436282
13400000,398711875,327375852,418133,21.06,-16.21,13.41,-4.0299997,2.4502678
13604000,398711562,327376150,418955,21.06,-17.69,11.41,-3.9199998,2.5687754
13808000,398711217,327376400,419764,21.09,-19.1,8.98,-3.8899999,2.7021186
14012000,398710855,327376584,420556,21.17,-20.17,6.39,-3.8899999,2.8344145
14216000,398710484,327376703,421306,21.279999,-20.92,3.85,-3.7099998,2.9592059
14424000,398710093,327376764,422049,21.43,-21.41,1.3199999,-3.5,3.0798078
14624000,398709690,327376768,422745,21.59,-21.58,-0.98999995,-3.26,3.1876693
14828000,398709293,327376717,423386,21.73,-21.51,-3.09,-2.96,3.2843604
15032000,398708907,327376621,423944,21.85,-21.27,-4.97,-2.6599998,3.3712778
15236000,398708519,327376479,424459,21.93,-20.859999,-6.79,-2.3999999,3.45645
15440000,398708134,327376290,424933,21.99,-20.25,-8.61,-2.1699998,3.5437164
15644000,398707769,327376063,425364,22,-19.43,-10.309999,-2.03,3.6295865
15848000,398707427,327375800,425773,21.96,-18.369999,-12.03,-1.92,3.721391
16052000,398707102,327375490,426184,21.88,-16.94,-13.82,-2.11,3.825936
16256000,398706801,327375128,426653,21.75,-15.04,-15.719999,-2.3799999,3.9491563
16460000,398706547,327374729,427179,21.58,-12.54,-17.58,-2.8999999,4.0924478
16664000,398706349,327374295,427834,21.39,-9.34,-19.23,-3.57,4.2599998
16868000,398706212,327373818,428635,21.199999,-5.67,-20.41,-4.2599998,4.4411645
17072000,398706140,327373311,429593,21.05,-2.1599998,-20.949999,-4.8399997,4.6094146
17276000,398706128,327372808,430611,20.92,0.74,-20.93,-5.17,4.747994
17480000,398706163,327372321,431690,20.76,3.01,-20.539999,-5.5299997,4.8579493
17684000,398706235,327371835,432858,20.51,4.71,-19.96,-5.9,4.9443436
17888000,398706335,327371356,434131,20.199999,5.87,-19.3,-6.3399997,5.0076985
18092000,398706452,327370901,435472,19.789999,6.68,-18.63,-6.85,5.0565677
18296000,398706577,327370470,436896,19.359999,7.0699997,-18.02,-7.2999997,5.0865874
18500000,398706708,327370044,438424,18.96,7.1499996,-17.55,-7.72,5.099328
18704000,398706841,327369619,440064,18.63,7.1099997,-17.22,-7.96,5.103866
18908000,398706971,327369208,441703,18.369999,6.91,-17.01,-8.09,5.098456
19112000,398707096,327368802,443363,18.17,6.69,-16.9,-8.11,5.0893803
19316000,398707215,327368406,444978,18.02,6.41,-16.83,-8.139999,5.076639
19520000,398707331,327368003,446632,17.91,6.19,-16.81,-7.94,5.0652947
19724000,398707444,327367592,448278,17.82,5.91,-16.82,-7.8399997,5.050634
19928000,398707551,327367188,449851,17.77,5.65,-16.84,-7.6699996,5.036322
20132000,398707650,327366793,451355,17.449999,5.35,-16.6,-7.39,5.024279
20336000,398707746,327366400,452783,16.96,5.06,-16.199999,-6.66,5.015029
20540000,398707838,327366009,454065,16.57,4.8599997,-15.839999,-5.62,5.010317
20744000,398707927,327365633,455105,16.279999,4.7,-15.57,-4.5299997,5.0056043
20948000,398708010,327365270,455889,16.02,4.5699997,-15.339999,-3.4099998,5.001939
21152000,398708093,327364904,456464,15.79,4.42,-15.179999,-2.3799999,4.996179
21356000,398708175,327364535,456840,15.62,4.29,-15.04,-1.42,4.99042
21560000,398708253,327364176,457023,15.509999,4.1,-14.99,-0.44,4.979599
21764000,398708325,327363825,457034,15.46,3.8999999,-14.96,0.26999998,4.9673815
21968000,398708395,327363466,456924,15.46,3.62,-15.04,0.91999996,4.9487066
22172000,398708459,327363096,456672,15.509999,3.1999998,-15.17,1.42,4.920432
22376000,398708513,327362730,456338,15.599999,2.71,-15.37,1.8199999,4.886922
22580000,398708556,327362366,455941,15.719999,2.11,-15.57,2.06,4.8473024
22784000,398708588,327361990,455487,15.87,1.3299999,-15.809999,2.33,4.796514
22988000,398708606,327361601,454997,16.05,0.45,-16.05,2.3799999,4.741012
23192000,398708605,327361214,454524,16.23,-0.47,-16.22,2.32,4.682893
23396000,398708587,327360831,454057,16.41,-1.5,-16.34,2.31,4.620759
23600000,398708550,327360439,453593,16.57,-2.55,-16.38,2.22,4.5574036
23804000,398708491,327360039,453151,16.71,-3.6299999,-16.31,2.06,4.4931755
24008000,398708414,327359649,452737,16.83,-4.69,-16.15,1.88,4.4296455
24212000,398708321,327359271,452372,16.91,-5.62,-15.94,1.7199999,4.3732715
24416000,398708209,327358892,452040,16.96,-6.5299997,-15.67,1.56,4.317421
24620000,398708079,327358513,451752,16.98,-7.31,-15.339999,1.3199999,4.2676787
24824000,398707938,327358150,451498,16.98,-7.99,-15,1.17,4.222475
25028000,398707788,327357802,451283,16.97,-8.599999,-14.65,0.98999995,4.1816344
25232000,398707625,327357455,451077,16.949999,-9.09,-14.309999,0.91999996,4.146553
25436000,398707451,327357109,450902,16.92,-9.49,-14.03,0.77,4.117581
25640000,398707273,327356777,450749,16.89,-9.8,-13.75,0.71,4.093146
25844000,398707094,327356456,450605,16.859999,-10.059999,-13.54,0.63,4.073424
26048000,398706907,327356134,450480,16.85,-10.26,-13.37,0.65,4.057716
26252000,398706713,327355808,450337,16.85,-10.38,-13.259999,0.68,4.047942
26456000,398706521,327355491,450187,16.85,-10.49,-13.17,0.75,4.0399137
26660000,398706330,327355181,450040,16.88,-10.54,-13.15,0.77,4.036772
26864000,398706136,327354865,449883,16.9,-10.559999,-13.17,0.77,4.0364227
