timestamp,indicated_airspeed_m_s,true_airspeed_m_s,air_temperature_celsius
17000000,-0.9104252,-0.92822003,12.404602
17024000,-0.500305,-0.5100789,12.404602
17048000,1.2297583,1.2537901,12.404602
17072000,-1.2786238,-1.3036103,12.404602
17096000,1.0191652,1.039077,12.404602
17120000,-1.6976231,-1.730797,12.404602
17144000,-0.4811505,-0.49054998,12.404602
17168000,-0.22716798,-0.23160593,12.404602
17192000,1.0074008,1.0270863,12.404602
17216000,-0.7868169,-0.80219203,12.404602
17240000,0.8845533,0.90183175,12.404602
17264000,1.2685453,1.2933285,12.404602
17288000,1.7605252,1.7949233,12.404602
17312000,0.30247754,0.30838498,12.404602
17336000,2.0107903,2.0500815,12.404602
17360000,2.6311955,2.6826136,12.404602
17384000,4.2328267,4.3155346,12.404602
17408000,4.734283,4.8266964,12.404602
17432000,5.9688606,6.0854726,12.404602
17456000,6.9829974,7.119428,12.404602
17484000,8.1037655,8.262116,12.404602
17504000,8.695501,8.865308,12.404602
17528000,9.468537,9.653548,12.404602
17552000,10.466909,10.671348,12.404602
17576000,11.089,11.305562,12.404602
17600000,11.782414,12.012564,12.404602
17624000,12.45909,12.702414,12.404602
17648000,13.162902,13.420013,12.404602
17672000,13.782002,14.051394,12.404602
17696000,14.292033,14.571249,12.404602
17720000,14.780171,15.068955,12.404602
17744000,15.293139,15.591673,12.404602
17772000,15.843734,16.153227,12.404602
17792000,16.330904,16.650019,12.404602
17816000,16.788467,17.116552,12.404602
17840000,17.21041,17.546644,12.404602
17864000,17.65529,18.000254,12.404572
17888000,17.91249,18.262566,12.404572
17912000,18.304634,18.662125,12.404572
17936000,18.634188,18.998333,12.404541
17960000,18.979227,19.349762,12.404541
17988000,19.395329,19.774157,12.4045105
18008000,19.56378,19.946043,12.4045105
18032000,19.924969,20.314112,12.4045105
18056000,20.136223,20.529888,12.40448
18080000,20.311369,20.708271,12.40448
18104000,20.638441,21.041698,12.404449
18128000,20.872967,21.280787,12.404449
18152000,20.969532,21.379301,12.404449
18176000,21.183996,21.598013,12.404419
18200000,21.352074,21.769281,12.404419
18224000,21.457584,21.876686,12.404419
18248000,21.645967,22.068825,12.404388
18272000,21.72565,22.149982,12.404388
18296000,21.863167,22.290255,12.404388
18320000,21.976559,22.406012,12.404388
18344000,22.125814,22.55793,12.404358
18368000,22.286594,22.722109,12.404358
18392000,22.31848,22.754614,12.404327
18416000,22.41132,22.84927,12.404327
18440000,22.452888,22.891563,12.404266
18464000,22.566559,23.007618,12.404236
18488000,22.624807,23.066816,12.404175
18516000,22.764051,23.208776,12.404083
18536000,22.75281,23.197338,12.403961
18560000,22.77543,23.220613,12.403839
18584000,22.824202,23.27025,12.403717
18612000,22.866882,23.31375,12.403564
18632000,22.873709,23.320663,12.403381
18656000,22.980978,23.430218,12.403168
18680000,23.038683,23.489042,12.402954
18704000,22.952316,23.401072,12.4027405
18728000,23.079844,23.531042,12.402496
18752000,23.076153,23.527395,12.402252
18776000,23.079224,23.530718,12.401978
18800000,23.09112,23.54269,12.401703
18824000,23.136732,23.589033,12.401398
18852000,23.15276,23.605564,12.401093
18872000,23.179085,23.63237,12.400787
18896000,23.120932,23.573383,12.400452
18920000,23.116072,23.568426,12.400116
18944000,23.153717,23.606777,12.39975
18968000,23.142056,23.595108,12.399384
18992000,23.166233,23.619894,12.398987
19016000,23.230858,23.685583,12.39859
19040000,23.210634,23.66524,12.398163
19064000,23.20059,23.654974,12.397736
19088000,23.19583,23.650124,12.397278
19112000,23.16906,23.623196,12.39682
19136000,23.121027,23.574211,12.396332
19160000,23.11856,23.571718,12.3958435
19184000,23.162447,23.616365,12.395325
19208000,23.122427,23.57586,12.394806
19232000,23.16188,23.616096,12.394287
19256000,23.149591,23.603615,12.393738
19280000,23.172567,23.62719,12.393158
19308000,23.112713,23.566378,12.392578
19332000,23.071959,23.524885,12.391998
19352000,23.163637,23.618454,12.391388
19376000,23.036125,23.488443,12.390778
19400000,23.02529,23.477592,12.390137
19424000,23.07394,23.52722,12.389496
19448000,23.038322,23.49107,12.388855
19472000,23.081139,23.535015,12.388184
19496000,23.043604,23.496803,12.387512
19520000,23.019909,23.47269,12.38681
19544000,22.96927,23.421099,12.386078
19568000,22.9965,23.448854,12.385376
19592000,22.90714,23.358112,12.384644
19616000,22.925703,23.37717,12.383881
19640000,22.95429,23.406317,12.383118
19664000,22.873177,23.32386,12.382324
19688000,22.899923,23.351198,12.381531
19712000,22.838326,23.288492,12.380737
19736000,22.84249,23.29291,12.379913
19760000,22.81479,23.26482,12.379059
19784000,22.803717,23.253782,12.378235
19812000,22.818129,23.268545,12.37735
19832000,22.751518,23.200977,12.376465
19856000,22.757147,23.206682,12.37558
19880000,22.712526,23.161045,12.374664
19904000,22.742056,23.191528,12.373749
19928000,22.664038,23.11227,12.372833
19952000,22.671757,23.120129,12.371857
19976000,22.668383,23.116686,12.370911
20000000,22.619165,23.06678,12.369934
20024000,22.646431,23.094715,12.368927
20048000,22.660183,23.109104,12.36792
20072000,22.527277,22.974007,12.366913
20096000,22.55152,22.998686,12.365875
20120000,22.556545,23.003809,12.364838
20144000,22.518646,22.96547,12.3638
20168000,22.515203,22.962101,12.362732
20192000,22.516212,22.963213,12.361664
20216000,22.516733,22.96388,12.360596
20240000,22.453043,22.899078,12.359497
20264000,22.479162,22.925945,12.358429
20288000,22.465086,22.912004,12.35733
20312000,22.48414,22.93127,12.356201
20336000,22.385109,22.830547,12.355103
20360000,22.369736,22.81522,12.353973
20384000,22.406115,22.852438,12.352844
20408000,22.361454,22.807148,12.351715
20432000,22.352594,22.79805,12.350586
20460000,22.31972,22.76484,12.349457
20480000,22.35969,22.806017,12.348297
20504000,22.297113,22.742178,12.347137
20528000,22.313353,22.758783,12.345978
20552000,22.329433,22.775635,12.344818
20576000,22.309887,22.755857,12.343658
20604000,22.198898,22.642714,12.342499
20624000,22.290174,22.735958,12.341309
20648000,22.280935,22.72697,12.340149
20672000,22.250336,22.695745,12.338959
20700000,22.260063,22.705961,12.337799
20720000,22.081694,22.524298,12.336609
20744000,22.002172,22.443213,12.335419
20768000,21.866222,22.304699,12.334259
20792000,21.797405,22.234951,12.333069
20816000,21.745401,22.181915,12.331909
20840000,21.692595,22.128336,12.3307495
20864000,21.551859,21.985203,12.32959
20888000,21.424305,21.855276,12.3284
20916000,21.321402,21.750284,12.32724
20936000,21.2394,21.666887,12.32608
20964000,21.16957,21.595676,12.324951
20984000,21.101948,21.52709,12.3237915
21008000,21.082853,21.507519,12.322632
21032000,21.026413,21.450304,12.321503
21056000,20.945127,21.367685,12.320374
21080000,20.951437,21.374096,12.319244
21104000,20.914513,21.336597,12.318115
21128000,20.860819,21.282118,12.316986
21152000,20.780453,21.200157,12.315887
21176000,20.80649,21.226877,12.314789
21200000,20.709183,21.127844,12.31369
21224000,20.649508,21.067263,12.312592
21248000,20.673899,21.092201,12.311523
21272000,20.685192,21.104012,12.310455
21296000,20.649189,21.067383,12.309387
21320000,20.524933,20.940687,12.30835
21344000,20.61374,21.031454,12.3072815
