timestamp,instance_count,seq_reached,seq_current,seq_total,item_changed_index,item_do_jump_remaining,valid,warning,finished,failure,stay_in_failsafe,flight_termination,item_do_jump_changed,execution_mode
6352000,2,-1,0,11,0,0,1,0,0,0,0,0,0,0
10232000,2,-1,0,11,0,0,1,0,0,0,0,0,0,0
23144000,2,0,1,11,0,0,1,0,0,0,0,0,0,0
31712000,2,1,2,11,0,0,1,0,0,0,0,0,0,0
49744000,2,2,3,11,0,0,1,0,0,0,0,0,0,0
68784000,2,3,4,11,0,0,1,0,0,0,0,0,0,0
120864000,2,4,5,11,0,0,1,0,0,0,0,0,0,0
120920000,2,5,6,11,0,0,1,0,0,0,0,0,0,0
120932000,2,6,7,11,0,0,1,0,0,0,0,0,0,0
120976000,2,7,8,11,0,0,1,0,0,0,0,0,0,0
121032000,2,8,9,11,0,0,1,0,0,0,0,0,0,0
137888000,2,9,10,11,0,0,1,0,0,0,0,0,0,0
200888000,2,10,10,11,0,0,1,0,1,0,0,0,0,0
201384000,3,-1,0,11,0,0,1,0,0,0,0,0,0,0
