timestamp,indicated_airspeed_m_s,equivalent_airspeed_m_s,true_airspeed_m_s,equivalent_ground_minus_wind_m_s,true_ground_minus_wind_m_s,airspeed_sensor_measurement_valid,selected_airspeed_index
984000,0.6549398,0.6549398,0.6706162,0.06296141,0.06446843,1,1
1984000,1.2713975,1.2713975,1.3018202,0.1576942,0.16146761,1,1
2984000,-0.5449737,-0.5449737,-0.5580111,0.17750233,0.18174872,1,1
3984000,1.3094518,1.3094518,1.340783,0.17342569,0.17757525,1,1
4984000,0.9437438,0.9437438,0.96632767,0.10223082,0.1046772,1,1
5984000,1.0473974,1.0473974,1.0724537,0.020716053,0.021211632,1,1
6984000,-0.76989913,-0.76989913,-0.78832775,0.051057354,0.052279484,1,1
7984000,-0.7781747,-0.7781747,-0.79678917,0.05652524,0.05787736,1,1
8984000,1.3975574,1.3975574,1.4309958,0.040961564,0.041941624,1,1
9984000,-1.0499705,-1.0499705,-1.075096,0.008195992,0.00839212,1,1
10984000,1.6775687,1.6775687,1.7177196,0.007443392,0.0076215426,1,1
11984000,0.6815164,0.6815164,0.6978251,0.012143953,0.012434557,1,1
12984000,19.142881,19.142881,19.600986,18.987837,19.442232,1,1
13984000,23.265923,23.265923,23.823477,23.103077,23.656727,1,1
14984000,22.804342,22.804342,23.35581,22.592337,23.138676,1,1
15984000,21.853384,21.853384,22.388792,21.67128,22.202227,1,1
16984000,21.125996,21.125996,21.649937,20.937395,21.45667,1,1
17984000,20.882406,20.882406,21.405571,20.77829,21.298855,1,1
18984000,20.595886,20.595886,21.117151,20.602152,21.123585,1,1
19984000,20.37419,20.37419,20.8951,20.414305,20.936247,1,1
20984000,20.231562,20.231562,20.753447,20.216002,20.73749,1,1
21984000,20.009277,20.009277,20.530153,20.017962,20.53907,1,1
22984000,19.728765,19.728765,20.247137,19.808456,20.32892,1,1
23984000,19.411682,19.411682,19.926538,19.479166,19.995813,1,1
24984000,17.504238,17.504238,17.97127,17.453207,17.918879,1,1
25984000,16.459354,16.459354,16.899057,16.479527,16.91977,1,1
26984000,16.167614,16.167614,16.598892,16.149036,16.579819,1,1
27984000,16.014881,16.014881,16.44147,16.065783,16.493725,1,1
28984000,16.042978,16.042978,16.469536,16.076002,16.503437,1,1
29984000,16.195234,16.195234,16.62499,16.214668,16.64494,1,1
30984000,19.114277,19.114277,19.622353,19.085203,19.59251,1,1
31984000,19.496796,19.496796,20.018545,19.410364,19.9298,1,1
32984000,19.50398,19.50398,20.030794,19.446505,19.971766,1,1
33984000,19.447546,19.447546,19.978052,19.300978,19.827484,1,1
34984000,19.151823,19.151823,19.679146,19.108784,19.63492,1,1
35984000,19.087786,19.087786,19.618475,18.94414,19.470837,1,1
36984000,18.939293,18.939293,19.470707,18.773436,19.3002,1,1
37984000,18.671879,18.671879,19.2005,18.618626,19.14575,1,1
38984000,18.56453,18.56453,19.095034,18.464941,18.992603,1,1
39984000,18.27277,18.27277,18.7995,18.263103,18.789555,1,1
40984000,16.128698,16.128698,16.596941,16.168377,16.637775,1,1
41984000,15.18023,15.18023,15.62177,15.272367,15.716585,1,1
42984000,15.10019,15.10019,15.539248,15.016967,15.453605,1,1
43984000,14.980258,14.980258,15.415337,14.983556,15.418729,1,1
44984000,15.068007,15.068007,15.505069,15.031917,15.467929,1,1
45984000,15.176633,15.176633,15.616461,15.080399,15.517438,1,1
46984000,15.266227,15.266227,15.708404,15.096484,15.533746,1,1
47984000,15.2155695,15.2155695,15.656223,15.108886,15.54645,1,1
48984000,15.24507,15.24507,15.686293,15.107552,15.544794,1,1
49984000,15.285401,15.285401,15.72779,15.086136,15.522756,1,1
50984000,15.290875,15.290875,15.733364,15.069313,15.505389,1,1
51984000,15.313991,15.313991,15.75714,15.035677,15.470774,1,1
52984000,15.1820135,15.1820135,15.621496,14.999861,15.43407,1,1
53984000,15.132925,15.132925,15.570685,14.950646,15.383135,1,1
54984000,15.029869,15.029869,15.464783,14.893044,15.323999,1,1
55984000,15.063649,15.063649,15.499821,14.834725,15.264269,1,1
56984000,15.179021,15.179021,15.618198,14.798392,15.226557,1,1
57984000,14.978311,14.978311,15.411664,14.767684,15.194944,1,1
58984000,15.011098,15.011098,15.445671,14.729494,15.155915,1,1
59984000,14.984055,14.984055,15.417702,14.681377,15.106264,1,1
60984000,14.97421,14.97421,15.407498,14.670039,15.094525,1,1
61984000,14.935802,14.935802,15.368155,14.639624,15.063402,1,1
62984000,14.959235,14.959235,15.391996,14.6072,15.029777,1,1
63984000,14.953491,14.953491,15.386277,14.555037,14.97629,1,1
64984000,14.902406,14.902406,15.333659,14.526325,14.946695,1,1
65984000,14.823776,14.823776,15.252686,14.516057,14.936063,1,1
66984000,14.919124,14.919124,15.350932,14.508255,14.928173,1,1
67984000,14.822502,14.822502,15.251502,14.482032,14.901177,1,1
68984000,14.872213,14.872213,15.302777,14.463763,14.882503,1,1
69984000,14.837229,14.837229,15.266657,14.43236,14.85007,1,1
70984000,14.812588,14.812588,15.241226,14.432465,14.850103,1,1
71984000,14.769791,14.769791,15.197204,14.419858,14.837144,1,1
72984000,14.841672,14.841672,15.271118,14.4005995,14.817284,1,1
73984000,14.745479,14.745479,15.172163,14.386566,14.802866,1,1
74984000,14.781677,14.781677,15.209367,14.379158,14.795201,1,1
75984000,14.82652,14.82652,15.255456,14.374127,14.789975,1,1
76984000,14.650333,14.650333,15.074479,14.37458,14.790745,1,1
77984000,14.822667,14.822667,15.251629,14.381835,14.79804,1,1
78984000,14.863358,14.863358,15.293472,14.386889,14.803217,1,1
79984000,14.74992,14.74992,15.176865,14.365774,14.7816,1,1
80984000,14.781216,14.781216,15.209004,14.37703,14.793122,1,1
81984000,14.721736,14.721736,15.147776,14.369941,14.7858,1,1
82984000,14.826926,14.826926,15.2559395,14.35433,14.76967,1,1
83984000,14.806061,14.806061,15.234467,14.335776,14.750573,1,1
84984000,14.744777,14.744777,15.171477,14.33726,14.75217,1,1
85984000,14.787182,14.787182,15.214978,14.3423605,14.757288,1,1
86984000,14.829227,14.829227,15.258449,14.359508,14.775133,1,1
87984000,14.821086,14.821086,15.249873,14.393274,14.809686,1,1
88984000,15.027266,15.027266,15.461996,14.579762,15.001547,1,1
89984000,15.170879,15.170879,15.6093235,14.74847,15.174707,1,1
90984000,15.300682,15.300682,15.742761,14.955764,15.387877,1,1
91984000,15.535676,15.535676,15.983733,15.282254,15.723003,1,1
