timestamp,voltage_v,voltage_filtered_v,current_a,current_filtered_a,average_current_a,discharged_mah,remaining,scale,temperature,cell_count,voltage_cell_v[0],voltage_cell_v[1],voltage_cell_v[2],voltage_cell_v[3],max_cell_voltage_delta,capacity,cycle_count,run_time_to_empty,average_time_to_empty,serial_number,connected,system_source,priority,id,is_powering_off,warning
996000,12.150001,12.150001,-1.0,-1.0,0.0,0.0,1.0,1.0,nan,3,0.0,0.0,0.0,0.0,0.0,65535,0,0,0,0,1,1,0,1,0,0
1992000,12.150001,12.150001,-1.0,-1.0,0.0,0.0,1.0,1.0,nan,3,0.0,0.0,0.0,0.0,0.0,65535,0,0,0,0,1,1,0,1,0,0
3000000,12.150001,12.150001,-1.0,-1.0,0.0,0.0,1.0,1.0,nan,3,0.0,0.0,0.0,0.0,0.0,65535,0,0,0,0,1,1,0,1,0,0
3996000,12.150001,12.150001,-1.0,-1.0,0.0,0.0,1.0,1.0,nan,3,0.0,0.0,0.0,0.0,0.0,65535,0,0,0,0,1,1,0,1,0,0
4992000,12.150001,12.150001,-1.0,-1.0,0.0,0.0,1.0,1.0,nan,3,0.0,0.0,0.0,0.0,0.0,65535,0,0,0,0,1,1,0,1,0,0
6000000,12.150001,12.150001,-1.0,-1.0,0.0,0.0,1.0,1.0,nan,3,0.0,0.0,0.0,0.0,0.0,65535,0,0,0,0,1,1,0,1,0,0
6996000,12.150001,12.150001,-1.0,-1.0,0.0,0.0,1.0,1.0,nan,3,0.0,0.0,0.0,0.0,0.0,65535,0,0,0,0,1,1,0,1,0,0
7992000,12.150001,12.150001,-1.0,-1.0,0.0,0.0,1.0,1.0,nan,3,0.0,0.0,0.0,0.0,0.0,65535,0,0,0,0,1,1,0,1,0,0
9000000,12.150001,12.150001,-1.0,-1.0,0.0,0.0,1.0,1.0,nan,3,0.0,0.0,0.0,0.0,0.0,65535,0,0,0,0,1,1,0,1,0,0
9996000,12.150001,12.150001,-1.0,-1.0,0.0,0.0,1.0,1.0,nan,3,0.0,0.0,0.0,0.0,0.0,65535,0,0,0,0,1,1,0,1,0,0
10992000,12.150001,12.150001,-1.0,-1.0,0.0,0.0,1.0,1.0,nan,3,0.0,0.0,0.0,0.0,0.0,65535,0,0,0,0,1,1,0,1,0,0
12000000,12.150001,12.150001,-1.0,-1.0,0.0,0.0,1.0,1.0,nan,3,0.0,0.0,0.0,0.0,0.0,65535,0,0,0,0,1,1,0,1,0,0
12996000,12.129543,12.144698,-1.0,-1.0,0.0,0.0,0.9967861,1.0004367,nan,3,0.0,0.0,0.0,0.0,0.0,65535,0,0,0,0,1,1,0,1,0,0
13992000,12.102158,12.127227,-1.0,-1.0,0.0,0.0,0.9861975,1.0018779,nan,3,0.0,0.0,0.0,0.0,0.0,65535,0,0,0,0,1,1,0,1,0,0
14999999,12.07444,12.103847,-1.0,-1.0,0.0,0.0,0.9720278,1.0038131,nan,3,0.0,0.0,0.0,0.0,0.0,65535,0,0,0,0,1,1,0,1,0,0
15996000,12.047054,12.078312,-1.0,-1.0,0.0,0.0,0.9565525,1.0059353,nan,3,0.0,0.0,0.0,0.0,0.0,65535,0,0,0,0,1,1,0,1,0,0
17004000,12.019338,12.051404,-1.0,-1.0,0.0,0.0,0.9402447,1.0081813,nan,3,0.0,0.0,0.0,0.0,0.0,65535,0,0,0,0,1,1,0,1,0,0
18000000,11.991951,12.024364,-1.0,-1.0,0.0,0.0,0.92385674,1.0104485,nan,3,0.0,0.0,0.0,0.0,0.0,65535,0,0,0,0,1,1,0,1,0,0
18996000,11.964564,11.997127,-1.0,-1.0,0.0,0.0,0.9073491,1.0127425,nan,3,0.0,0.0,0.0,0.0,0.0,65535,0,0,0,0,1,1,0,1,0,0
20004000,11.936848,11.969476,-1.0,-1.0,0.0,0.0,0.89059114,1.0150821,nan,3,0.0,0.0,0.0,0.0,0.0,65535,0,0,0,0,1,1,0,1,0,0
21000000,11.909462,11.942118,-1.0,-1.0,0.0,0.0,0.87401056,1.0174075,nan,3,0.0,0.0,0.0,0.0,0.0,65535,0,0,0,0,1,1,0,1,0,0
21996000,11.882075,11.914744,-1.0,-1.0,0.0,0.0,0.85742044,1.019745,nan,3,0.0,0.0,0.0,0.0,0.0,65535,0,0,0,0,1,1,0,1,0,0
23004000,11.854359,11.887032,-1.0,-1.0,0.0,0.0,0.8406248,1.0221224,nan,3,0.0,0.0,0.0,0.0,0.0,65535,0,0,0,0,1,1,0,1,0,0
24000000,11.826973,11.859648,-1.0,-1.0,0.0,0.0,0.8240285,1.0244825,nan,3,0.0,0.0,0.0,0.0,0.0,65535,0,0,0,0,1,1,0,1,0,0
24996000,11.799586,11.832262,-1.0,-1.0,0.0,0.0,0.8074312,1.0268536,nan,3,0.0,0.0,0.0,0.0,0.0,65535,0,0,0,0,1,1,0,1,0,0
26004000,11.77187,11.804546,-1.0,-1.0,0.0,0.0,0.7906337,1.0292645,nan,3,0.0,0.0,0.0,0.0,0.0,65535,0,0,0,0,1,1,0,1,0,0
27000000,11.744484,11.77716,-1.0,-1.0,0.0,0.0,0.77403593,1.0316579,nan,3,0.0,0.0,0.0,0.0,0.0,65535,0,0,0,0,1,1,0,1,0,0
27996000,11.717097,11.749773,-1.0,-1.0,0.0,0.0,0.7574377,1.0340626,nan,3,0.0,0.0,0.0,0.0,0.0,65535,0,0,0,0,1,1,0,1,0,0
29004000,11.689381,11.722057,-1.0,-1.0,0.0,0.0,0.74064064,1.0365075,nan,3,0.0,0.0,0.0,0.0,0.0,65535,0,0,0,0,1,1,0,1,0,0
30000000,11.661995,11.69467,-1.0,-1.0,0.0,0.0,0.72404194,1.038935,nan,3,0.0,0.0,0.0,0.0,0.0,65535,0,0,0,0,1,1,0,1,0,0
31008000,11.634277,11.666954,-1.0,-1.0,0.0,0.0,0.7072444,1.0414029,nan,3,0.0,0.0,0.0,0.0,0.0,65535,0,0,0,0,1,1,0,1,0,0
32004000,11.606891,11.639567,-1.0,-1.0,0.0,0.0,0.69064665,1.0438533,nan,3,0.0,0.0,0.0,0.0,0.0,65535,0,0,0,0,1,1,0,1,0,0
33000000,11.579504,11.612181,-1.0,-1.0,0.0,0.0,0.6740484,1.0463152,nan,3,0.0,0.0,0.0,0.0,0.0,65535,0,0,0,0,1,1,0,1,0,0
34008000,11.551788,11.584464,-1.0,-1.0,0.0,0.0,0.6572509,1.0488185,nan,3,0.0,0.0,0.0,0.0,0.0,65535,0,0,0,0,1,1,0,1,0,0
35004000,11.524402,11.557077,-1.0,-1.0,0.0,0.0,0.64065266,1.051304,nan,3,0.0,0.0,0.0,0.0,0.0,65535,0,0,0,0,1,1,0,1,0,0
36000000,11.497015,11.529692,-1.0,-1.0,0.0,0.0,0.6240549,1.0538011,nan,3,0.0,0.0,0.0,0.0,0.0,65535,0,0,0,0,1,1,0,1,0,0
37008000,11.469299,11.501975,-1.0,-1.0,0.0,0.0,0.60725737,1.0563403,nan,3,0.0,0.0,0.0,0.0,0.0,65535,0,0,0,0,1,1,0,1,0,0
38004000,11.441913,11.474588,-1.0,-1.0,0.0,0.0,0.59065914,1.0588616,nan,3,0.0,0.0,0.0,0.0,0.0,65535,0,0,0,0,1,1,0,1,0,0
39000000,11.414526,11.447203,-1.0,-1.0,0.0,0.0,0.5740619,1.0613947,nan,3,0.0,0.0,0.0,0.0,0.0,65535,0,0,0,0,1,1,0,1,0,0
40008000,11.38681,11.419485,-1.0,-1.0,0.0,0.0,0.5572634,1.063971,nan,3,0.0,0.0,0.0,0.0,0.0,65535,0,0,0,0,1,1,0,1,0,0
41004000,11.359423,11.392099,-1.0,-1.0,0.0,0.0,0.5406661,1.0665287,nan,3,0.0,0.0,0.0,0.0,0.0,65535,0,0,0,0,1,1,0,1,0,0
42000000,11.332037,11.364713,-1.0,-1.0,0.0,0.0,0.5240679,1.0690988,nan,3,0.0,0.0,0.0,0.0,0.0,65535,0,0,0,0,1,1,0,1,0,0
43008000,11.325001,11.3424015,-1.0,-1.0,0.0,0.0,0.5105462,1.0712018,nan,3,0.0,0.0,0.0,0.0,0.0,65535,0,0,0,0,1,1,0,1,0,0
44004000,11.325001,11.332552,-1.0,-1.0,0.0,0.0,0.5045767,1.0721328,nan,3,0.0,0.0,0.0,0.0,0.0,65535,0,0,0,0,1,1,0,1,0,0
45000000,11.325001,11.328273,-1.0,-1.0,0.0,0.0,0.50198317,1.0725378,nan,3,0.0,0.0,0.0,0.0,0.0,65535,0,0,0,0,1,1,0,1,0,0
46008000,11.325001,11.326402,-1.0,-1.0,0.0,0.0,0.50084925,1.0727149,nan,3,0.0,0.0,0.0,0.0,0.0,65535,0,0,0,0,1,1,0,1,0,0
47004000,11.325001,11.325601,-1.0,-1.0,0.0,0.0,0.5003638,1.0727909,nan,3,0.0,0.0,0.0,0.0,0.0,65535,0,0,0,0,1,1,0,1,0,0
48000000,11.325001,11.325256,-1.0,-1.0,0.0,0.0,0.500155,1.0728234,nan,3,0.0,0.0,0.0,0.0,0.0,65535,0,0,0,0,1,1,0,1,0,0
49008000,11.325001,11.325109,-1.0,-1.0,0.0,0.0,0.5000653,1.0728375,nan,3,0.0,0.0,0.0,0.0,0.0,65535,0,0,0,0,1,1,0,1,0,0
50004000,11.325001,11.325036,-1.0,-1.0,0.0,0.0,0.50002146,1.0728443,nan,3,0.0,0.0,0.0,0.0,0.0,65535,0,0,0,0,1,1,0,1,0,0
51000000,11.325001,11.325036,-1.0,-1.0,0.0,0.0,0.50002146,1.0728443,nan,3,0.0,0.0,0.0,0.0,0.0,65535,0,0,0,0,1,1,0,1,0,0
52008000,11.325001,11.325036,-1.0,-1.0,0.0,0.0,0.50002146,1.0728443,nan,3,0.0,0.0,0.0,0.0,0.0,65535,0,0,0,0,1,1,0,1,0,0
53004000,11.325001,11.325036,-1.0,-1.0,0.0,0.0,0.50002146,1.0728443,nan,3,0.0,0.0,0.0,0.0,0.0,65535,0,0,0,0,1,1,0,1,0,0
54000000,11.325001,11.325036,-1.0,-1.0,0.0,0.0,0.50002146,1.0728443,nan,3,0.0,0.0,0.0,0.0,0.0,65535,0,0,0,0,1,1,0,1,0,0
55008000,11.325001,11.325036,-1.0,-1.0,0.0,0.0,0.50002146,1.0728443,nan,3,0.0,0.0,0.0,0.0,0.0,65535,0,0,0,0,1,1,0,1,0,0
