timestamp,total_written_kb,write_rate_kb_s,dropouts,buffer_used_bytes,buffer_size_bytes,type,backend,num_messages
1000000,98.86133,120.5626,0,2457,1024000,0,3,131
2000000,199.66016,109.70338,0,1600,1024000,0,3,131
3000000,300.61816,106.60219,0,1098,1024000,0,3,131
4000000,399.23438,104.51162,0,1230,1024000,0,3,131
5000000,494.32715,102.557495,0,3477,1024000,0,3,131
6000000,591.46387,101.62609,0,4480,1024000,0,3,131
7000000,693.20605,101.64311,0,764,1024000,0,3,131
8000000,790.35254,101.0681,0,2676,1024000,0,3,131
9000000,885.43164,100.38908,0,4197,1024000,0,3,131
10000000,983.0879,100.11079,0,789,1024000,0,3,131
11000000,1077.5674,99.59033,0,3024,1024000,0,3,131
12000000,1174.8496,99.395065,0,3632,1024000,0,3,131
13000000,1286.8291,100.376686,0,3355,1024000,0,3,131
14000000,1401.9746,101.44534,0,730,1024000,0,3,131
15004000,1514.5176,102.16659,0,1481,1024000,0,3,131
16004000,1626.4971,102.78672,0,3734,1024000,0,3,131
17004000,1740.5801,103.45816,0,1937,1024000,0,3,131
18004000,1851.5898,103.881836,0,2069,1024000,0,3,131
19004000,1963.5,104.308334,0,2237,1024000,0,3,131
20004000,2081.1084,104.97924,0,3323,1024000,0,3,131
21004000,2194.6494,105.39039,0,2900,1024000,0,3,131
22004000,2305.667,105.64823,0,3306,1024000,0,3,131
23004000,2415.2822,105.822044,0,4994,1024000,0,3,131
24004000,2529.1982,106.16178,0,3755,1024000,0,3,131
25004000,2641.6191,106.413925,0,4665,1024000,0,3,131
26004000,2759.454,106.856186,0,1308,1024000,0,3,131
27004000,2872.1797,107.075,0,2553,1024000,0,3,131
28004000,2983.3604,107.22256,0,6600,1024000,0,3,131
29004000,3101.504,107.60144,0,3376,1024000,0,3,131
30004000,3215.668,107.82149,0,3970,1024000,0,3,131
31008000,3333.459,108.13089,0,4885,1024000,0,3,131
32008000,3432.38,107.84152,0,22935,1024000,0,3,131
33008000,3565.0605,108.59817,0,1020,1024000,0,3,131
34008000,3681.8105,108.83915,0,4700,1024000,0,3,131
35008000,3801.8662,109.1612,0,4763,1024000,0,3,131
36008000,3926.8164,109.60189,0,855,1024000,0,3,131
37008000,4045.2256,109.841034,0,1159,1024000,0,3,131
38008000,4155.323,109.84782,0,2311,1024000,0,3,131
39008000,4273.381,110.05926,0,3463,1024000,0,3,131
40008000,4387.0596,110.15014,0,1629,1024000,0,3,131
41008000,4498.2256,110.17502,0,747,1024000,0,3,131
42008000,4613.2188,110.29021,0,711,1024000,0,3,131
43008000,4724.2666,110.3079,0,4363,1024000,0,3,131
44008000,4840.502,110.443146,0,2066,1024000,0,3,131
45008000,4949.714,110.41568,0,3405,1024000,0,3,131
46008000,5059.9795,110.4124,0,3049,1024000,0,3,131
47008000,5175.216,110.51542,0,711,1024000,0,3,131
48008000,5288.961,110.58295,0,2590,1024000,0,3,131
49008000,5406.59,110.72725,0,1695,1024000,0,3,131
50008000,5521.3887,110.80896,0,652,1024000,0,3,131
51008000,5637.545,110.91416,0,3122,1024000,0,3,131
52008000,5755.5537,111.05105,0,1491,1024000,0,3,131
53008000,5870.7686,111.12987,0,3306,1024000,0,3,131
54008000,5988.4424,111.25144,0,3671,1024000,0,3,131
55008000,6103.66,111.323784,0,4245,1024000,0,3,131
56008000,6219.967,111.41303,0,4527,1024000,0,3,131
57008000,6340.7324,111.577614,0,2801,1024000,0,3,131
58008000,6465.79,111.810715,0,1205,1024000,0,3,131
59008000,6580.122,111.85358,0,2991,1024000,0,3,131
60008000,6693.6055,111.88082,0,2433,1024000,0,3,131
61008000,6803.537,111.84877,0,1465,1024000,0,3,131
62008000,6912.832,111.807465,0,711,1024000,0,3,131
63008000,7017.1104,111.68763,0,4215,1024000,0,3,131
64008000,7131.5557,111.730835,0,3891,1024000,0,3,131
65008000,7249.1436,111.821175,0,4154,1024000,0,3,131
66008000,7365.7236,111.89347,0,2493,1024000,0,3,131
67008000,7483.328,111.97893,0,901,1024000,0,3,131
68008000,7604.4062,112.113075,0,822,1024000,0,3,131
69008000,7725.254,112.23998,0,730,1024000,0,3,131
70008000,7840.3486,112.28087,0,4097,1024000,0,3,131
71008000,7957.659,112.351875,0,2921,1024000,0,3,131
72008000,8068.796,112.33496,0,4266,1024000,0,3,131
73008000,8182.083,112.34804,0,4780,1024000,0,3,131
74008000,8300.26,112.42699,0,2064,1024000,0,3,131
75008000,8414.143,112.44644,0,2836,1024000,0,3,131
76008000,8530.153,112.49345,0,2933,1024000,0,3,131
77008000,8645.173,112.52633,0,2769,1024000,0,3,131
78008000,8758.533,112.53704,0,452,1024000,0,3,131
79008000,8873.216,112.56426,0,2235,1024000,0,3,131
80008000,8988.494,112.59826,0,2075,1024000,0,3,131
81008000,9108.264,112.68698,0,1142,1024000,0,3,131
82008000,9219.944,112.67468,0,3036,1024000,0,3,131
83008000,9338.298,112.74325,0,665,1024000,0,3,131
84008000,9450.091,112.73191,0,2879,1024000,0,3,131
85008000,9561.218,112.71299,0,3842,1024000,0,3,131
86008000,9676.062,112.737816,0,2926,1024000,0,3,131
87008000,9794.701,112.805786,0,1066,1024000,0,3,131
88008000,9895.405,112.668,0,2242,1024000,0,3,131
89008000,10000.0,112.57711,0,3887,1024000,0,3,131
90008000,10108.013,112.5263,0,2530,1024000,0,3,131
91008000,10224.763,112.5728,0,847,1024000,0,3,131
92008000,10341.894,112.62244,0,2029,1024000,0,3,131
93008000,10452.384,112.59947,0,3712,1024000,0,3,131
94008000,10565.15,112.60125,0,1587,1024000,0,3,131
95008000,10679.231,112.61685,0,5219,1024000,0,3,131
96008000,10795.121,112.65101,0,2520,1024000,0,3,131
97008000,10909.241,112.66618,0,4761,1024000,0,3,131
98008000,11030.186,112.7508,0,5715,1024000,0,3,131
99008000,11145.277,112.77449,0,1878,1024000,0,3,131
100008000,11256.52,112.75914,0,2918,1024000,0,3,131
101008000,11365.769,112.72433,0,2107,1024000,0,3,131
102008000,11484.4795,112.78312,0,2131,1024000,0,3,131
103008000,11601.36,112.82297,0,2918,1024000,0,3,131
104008000,11719.405,112.87326,0,2222,1024000,0,3,131
105008000,11838.304,112.93074,0,830,1024000,0,3,131
106008000,11953.148,112.94882,0,4735,1024000,0,3,131
107008000,12075.849,113.04011,0,855,1024000,0,3,131
108008000,12195.012,113.096886,0,764,1024000,0,3,131
109008000,12302.286,113.04339,0,2802,1024000,0,3,131
110008000,12409.272,112.988235,0,3516,1024000,0,3,131
111008000,12521.612,112.98238,0,2213,1024000,0,3,131
112008000,12630.367,112.94458,0,4326,1024000,0,3,131
113008000,12740.356,112.91839,0,1947,1024000,0,3,131
114008000,12846.596,112.85971,0,3562,1024000,0,3,131
115008000,12957.143,112.83957,0,1504,1024000,0,3,131
116008000,13066.182,112.80676,0,2618,1024000,0,3,131
117008000,13175.29,112.7751,0,2251,1024000,0,3,131
118008000,13285.237,112.75111,0,1711,1024000,0,3,131
119008000,13394.353,112.720505,0,2677,1024000,0,3,131
120008000,13502.488,112.68224,0,5134,1024000,0,3,131
121008000,13614.703,112.678375,0,2840,1024000,0,3,131
122008000,13730.121,112.70087,0,3650,1024000,0,3,131
123008000,13840.805,112.68444,0,4239,1024000,0,3,131
124008000,13954.486,112.69249,0,1395,1024000,0,3,131
125008000,14062.211,112.652695,0,4366,1024000,0,3,131
126008000,14176.815,112.668205,0,2201,1024000,0,3,131
127012000,14284.543,112.6257,0,4464,1024000,0,3,131
128012000,14396.641,112.62157,0,3763,1024000,0,3,131
129012000,14503.671,112.57817,0,5108,1024000,0,3,131
130012000,14608.097,112.51538,0,4697,1024000,0,3,131
131012000,14716.894,112.48695,0,1818,1024000,0,3,131
132012000,14829.261,112.486046,0,1909,1024000,0,3,131
133012000,14945.76,112.51626,0,3735,1024000,0,3,131
134012000,15061.263,112.538574,0,3642,1024000,0,3,131
135012000,15178.095,112.57042,0,4105,1024000,0,3,131
136012000,15287.839,112.549614,0,3806,1024000,0,3,131
137012000,15403.004,112.568726,0,1364,1024000,0,3,131
138012000,15510.699,112.53337,0,3826,1024000,0,3,131
139012000,15621.959,112.52419,0,3267,1024000,0,3,131
140012000,15735.644,112.53249,0,1784,1024000,0,3,131
141012000,15848.022,112.5314,0,4136,1024000,0,3,131
142012000,15964.741,112.56093,0,3749,1024000,0,3,131
143012000,16076.502,112.55532,0,3924,1024000,0,3,131
144012000,16197.459,112.61374,0,1694,1024000,0,3,131
145012000,16312.534,112.63073,0,3969,1024000,0,3,131
146012000,16431.484,112.674065,0,2994,1024000,0,3,131
147012000,16540.318,112.64791,0,1411,1024000,0,3,131
148012000,16647.523,112.61109,0,3802,1024000,0,3,131
149012000,16761.203,112.61827,0,3878,1024000,0,3,131
150012000,16871.785,112.60468,0,3756,1024000,0,3,131
151012000,16986.393,112.617966,0,2539,1024000,0,3,131
152012000,17095.48,112.59471,0,3895,1024000,0,3,131
153012000,17211.918,112.61986,0,3423,1024000,0,3,131
154012000,17325.309,112.62487,0,3959,1024000,0,3,131
155012000,17439.617,112.63574,0,3847,1024000,0,3,131
156012000,17550.625,112.6253,0,3668,1024000,0,3,131
157012000,17660.469,112.60756,0,3614,1024000,0,3,131
158012000,17774.648,112.61752,0,3048,1024000,0,3,131
159012000,17884.154,112.59793,0,2838,1024000,0,3,131
160012000,17990.834,112.5609,0,928,1024000,0,3,131
161012000,18088.516,112.46838,0,4808,1024000,0,3,131
162012000,18188.104,112.388794,0,3620,1024000,0,3,131
163012000,18302.268,112.3997,0,3549,1024000,0,3,131
164012000,18406.84,112.35192,0,3420,1024000,0,3,131
165012000,18518.477,112.34758,0,2263,1024000,0,3,131
166012000,18626.41,112.32096,0,3724,1024000,0,3,131
167012000,18731.14,112.27547,0,3760,1024000,0,3,131
168012000,18843.523,112.27611,0,1777,1024000,0,3,131
169012000,18954.373,112.267654,0,1702,1024000,0,3,131
170012000,19061.402,112.23681,0,3512,1024000,0,3,131
171012000,19174.717,112.24312,0,859,1024000,0,3,131
172012000,19286.488,112.24037,0,2998,1024000,0,3,131
173012000,19398.62,112.23974,0,3719,1024000,0,3,131
174012000,19514.469,112.260506,0,1341,1024000,0,3,131
175012000,19627.004,112.26208,0,3382,1024000,0,3,131
176012000,19734.86,112.237015,0,2869,1024000,0,3,131
177012000,19845.04,112.22538,0,1392,1024000,0,3,131
178012000,19954.098,112.20757,0,2079,1024000,0,3,131
179012000,20069.033,112.22283,0,1863,1024000,0,3,131
180012000,20171.982,112.171265,0,3437,1024000,0,3,131
181012000,20281.898,112.15879,0,3362,1024000,0,3,131
182012000,20395.922,112.169044,0,3524,1024000,0,3,131
183012000,20511.156,112.185814,0,4136,1024000,0,3,131
184012000,20627.688,112.20945,0,3468,1024000,0,3,131
185012000,20745.094,112.237564,0,3803,1024000,0,3,131
186012000,20865.791,112.28309,0,4147,1024000,0,3,131
187012000,20978.852,112.28725,0,4902,1024000,0,3,131
188012000,21096.965,112.31827,0,1909,1024000,0,3,131
189012000,21216.816,112.35816,0,2528,1024000,0,3,131
190012000,21331.316,112.369446,0,3997,1024000,0,3,131
191012000,21447.578,112.38984,0,2590,1024000,0,3,131
192012000,21565.758,112.42002,0,2391,1024000,0,3,131
193012000,21685.473,112.457855,0,2117,1024000,0,3,131
194012000,21801.0,112.47369,0,1318,1024000,0,3,131
195012000,21915.543,112.48431,0,1855,1024000,0,3,131
196012000,22028.646,112.48747,0,3631,1024000,0,3,131
197012000,22142.2,112.49288,0,2221,1024000,0,3,131
198012000,22255.852,112.49874,0,1419,1024000,0,3,131
199012000,22370.727,112.5107,0,3304,1024000,0,3,131
200012000,22487.11,112.530075,0,3891,1024000,0,3,131
201012000,22606.824,112.56585,0,2700,1024000,0,3,131
202012000,22724.45,112.59091,0,2282,1024000,0,3,131
203012000,22839.826,112.60465,0,2599,1024000,0,3,131
204012000,22953.87,112.6117,0,1723,1024000,0,3,131
205012000,23068.28,112.62048,0,2828,1024000,0,3,131
206012000,23180.035,112.61629,0,3351,1024000,0,3,131
207012000,23290.7,112.60684,0,3787,1024000,0,3,131
208012000,23393.82,112.5612,0,7073,1024000,0,3,131
209012000,23497.734,112.5198,0,3870,1024000,0,3,131
210012000,23602.55,112.483086,0,3676,1024000,0,3,131
211012000,23709.309,112.45593,0,3565,1024000,0,3,131
212012000,23819.352,112.44454,0,3842,1024000,0,3,131
213012000,23933.828,112.45409,0,1765,1024000,0,3,131
214012000,24038.035,112.41552,0,4019,1024000,0,3,131
215012000,24148.129,112.40471,0,1698,1024000,0,3,131
216012000,24254.46,112.37657,0,2660,1024000,0,3,131
217012000,24362.43,112.35625,0,1746,1024000,0,3,131
218012000,24467.762,112.324,0,3551,1024000,0,3,131
219012000,24572.617,112.28987,0,5102,1024000,0,3,131
220012000,24684.426,112.28768,0,2629,1024000,0,3,131
221012000,24793.314,112.27229,0,2750,1024000,0,3,131
222012000,24902.676,112.25917,0,4216,1024000,0,3,131
223012000,25021.188,112.287224,0,1261,1024000,0,3,131
224012000,25135.613,112.29678,0,2649,1024000,0,3,131
225012000,25239.912,112.26121,0,4908,1024000,0,3,131
226012000,25347.201,112.23919,0,2690,1024000,0,3,131
227012000,25456.957,112.22824,0,874,1024000,0,3,131
228012000,25566.75,112.21755,0,3882,1024000,0,3,131
229012000,25676.95,112.20873,0,2076,1024000,0,3,131
230012000,25780.11,112.169365,0,7364,1024000,0,3,131
231012000,25897.057,112.19006,0,2989,1024000,0,3,131
232012000,26012.742,112.20514,0,4049,1024000,0,3,131
233012000,26128.299,112.219536,0,5372,1024000,0,3,131
234012000,26240.664,112.22016,0,1283,1024000,0,3,131
235012000,26345.033,112.18672,0,3344,1024000,0,3,131
236012000,26455.773,112.180595,0,2246,1024000,0,3,131
237012000,26569.383,112.18662,0,3803,1024000,0,3,131
238012000,26680.81,112.18343,0,1755,1024000,0,3,131
239012000,26790.117,112.17139,0,3857,1024000,0,3,131
240012000,26901.234,112.16699,0,4061,1024000,0,3,131
241012000,27013.527,112.16752,0,3894,1024000,0,3,131
242012000,27127.459,112.17481,0,1095,1024000,0,3,131
243012000,27234.375,112.15315,0,1925,1024000,0,3,131
244012000,27345.656,112.14958,0,1199,1024000,0,3,131
245012000,27455.484,112.1401,0,3109,1024000,0,3,131
246012000,27566.426,112.13522,0,6728,1024000,0,3,131
247012000,27684.898,112.1609,0,3843,1024000,0,3,131
248012000,27801.559,112.179054,0,3570,1024000,0,3,131
249012000,27911.805,112.17128,0,3926,1024000,0,3,131
250012000,28022.875,112.16688,0,3102,1024000,0,3,131
251012000,28132.762,112.15778,0,3532,1024000,0,3,131
252012000,28247.332,112.167366,0,5419,1024000,0,3,131
253012000,28360.75,112.17231,0,2058,1024000,0,3,131
254012000,28477.25,112.18936,0,3543,1024000,0,3,131
255012000,28589.992,112.19153,0,964,1024000,0,3,131
256012000,28692.309,112.15293,0,1974,1024000,0,3,131
257012000,28796.51,112.12197,0,4371,1024000,0,3,131
258012000,28906.93,112.11537,0,5664,1024000,0,3,131
259012000,29024.746,112.1374,0,2676,1024000,0,3,131
