timestamp,instance_count,seq_reached,seq_current,seq_total,item_changed_index,item_do_jump_remaining,valid,warning,finished,failure,stay_in_failsafe,flight_termination,item_do_jump_changed,execution_mode
6340000,2,-1,0,10,0,0,1,0,0,0,0,0,0,0
12240000,2,-1,0,10,0,0,1,0,0,0,0,0,0,0
29880000,2,0,1,10,0,0,1,0,0,0,0,0,0,0
46960000,2,1,2,10,0,0,1,0,0,0,0,0,0,0
121148000,2,2,3,10,0,0,1,0,0,0,0,0,0,0
145704000,2,3,4,10,0,0,1,0,0,0,0,0,0,0
145756000,2,4,5,10,0,0,1,0,0,0,0,0,0,0
145796000,2,5,6,10,0,0,1,0,0,0,0,0,0,0
145848000,2,6,7,10,0,0,1,0,0,0,0,0,0,0
145904000,2,7,8,10,0,0,1,0,0,0,0,0,0,0
213360000,2,8,9,10,0,0,1,0,0,0,0,0,0,0
258632000,2,9,9,10,0,0,1,0,1,0,0,0,0,0
258755999,3,-1,0,10,0,0,1,0,0,0,0,0,0,0
