timestamp,nav_roll,nav_pitch,nav_bearing,target_bearing,xtrack_error,wp_dist,acceptance_radius,yaw_acceptance,altitude_acceptance
11960000,0.0021723218,0.0,1.9673967,1.6146694,-0.16485405,nan,0.47746477,nan,0.0
12440000,0.0,0.0,1.5821549,1.5820044,-0.0032260192,414.98438,26.261412,nan,0.0
12944000,0.0,-0.20944823,1.5782216,1.5811518,0.34511077,408.23907,90.56737,nan,0.0
13448000,0.0,-0.05338253,1.579991,1.5814342,0.22413506,397.4522,109.81316,nan,0.0
13952000,0.0,0.081788145,1.5774441,1.5806613,0.5160165,385.6679,112.47034,nan,0.0
14455999,0.0,0.22509478,1.5670829,1.5775722,1.6553876,373.87592,110.738045,nan,0.0
14960000,0.0,0.34906584,1.5520267,1.5731066,3.22294,362.3874,107.42846,nan,0.0
15440000,-0.22138117,0.34906584,1.5531247,1.5671492,2.0984552,351.82782,104.828094,nan,0.0
15944000,-0.23218274,0.28924745,1.5317973,1.5608151,4.193877,340.98016,101.460724,nan,0.0
16448000,-0.22486424,0.20837525,1.5094066,1.5540878,6.290311,330.6067,98.75776,nan,0.0
16952000,-0.20524645,0.21546221,1.4929221,1.5482438,7.9624004,320.19006,99.36111,nan,0.0
17456000,-0.17977153,0.21933347,1.4802476,1.5433748,9.210319,309.69617,99.28879,nan,0.0
17960000,-0.15456778,0.22220917,1.471525,1.5395751,10.033893,299.19287,98.910355,nan,0.0
18440000,-0.13339548,0.22430404,1.4669873,1.5370342,10.434642,289.2269,98.479416,nan,0.0
18944000,-0.11816944,0.22662334,1.4624465,1.5342556,10.834379,278.80936,98.07378,nan,0.0
19448000,-0.104966864,0.2290432,1.4622076,1.532841,10.809943,268.43463,97.64272,nan,0.0
19952000,-0.09609223,0.2319324,1.4618963,1.5313231,10.785676,258.1194,97.1521,nan,0.0
20456000,-0.09061931,0.23451549,1.4615474,1.5296906,10.761578,247.86269,96.6332,nan,0.0
20960000,-0.087232195,0.23720954,1.4613214,1.5279299,10.737647,237.6658,96.224266,nan,0.0
21440000,-0.08512571,0.24016197,1.4610422,1.5261102,10.714896,228.0052,95.782265,nan,0.0
21944000,-0.07957889,0.2434158,1.4652418,1.5259964,10.26713,217.90704,95.33697,nan,0.0
22448000,-0.07834544,0.24676444,1.4648902,1.5238334,10.243536,207.87311,94.81026,nan,0.0
22952000,-0.07733336,0.25024003,1.4646337,1.5214685,10.220112,197.89081,94.37063,nan,0.0
23456000,-0.07239196,0.25402677,1.4688497,1.5211067,9.772512,187.9583,93.87125,nan,0.0
23960000,-0.07222269,0.19812715,1.468026,1.5183662,9.749425,178.08452,92.9184,nan,0.0
24440000,-0.06856765,0.04535122,1.468205,1.5180249,9.303679,168.94852,88.82077,nan,0.0
24944000,-0.0653437,0.005591298,1.4640714,1.5149927,9.282108,159.75232,85.26916,nan,0.0
25448000,-0.05378829,-0.014613983,1.4659183,1.5145376,8.837208,150.88457,82.57492,nan,0.0
25952000,-0.04076235,-0.020995133,1.4690566,1.5140829,8.392642,142.2467,80.77642,nan,0.0
26456000,-0.028144455,-0.021769408,1.4731603,1.5136915,7.9487505,133.76453,79.63298,nan,0.0
26960000,-0.0132822385,-0.018727632,1.4833173,1.5166254,7.080686,125.37313,78.93203,nan,0.0
27440000,-0.005305723,-0.014909642,1.4886073,1.51656,6.6378055,117.425385,78.61333,nan,0.0
27944000,0.0041853827,-0.009970802,1.4995211,1.520224,5.7700787,109.109726,78.444176,nan,0.0
28448000,0.0069133253,-0.004522293,1.5051864,1.5202525,5.3263555,100.799904,78.43797,nan,0.0
28952000,0.011922616,0.0009268645,1.516303,1.5249058,4.4586277,92.49502,78.48241,nan,0.0
29456000,0.011195771,0.0069012055,1.5220164,1.5254035,4.0149055,84.180374,78.56126,nan,0.0
29960000,0.009699767,0.03947291,1.5274941,1.5548685,2.7453794,373.5784,79.00853,nan,0.0
30463999,0.008628829,0.23635554,1.5352142,1.5556443,2.3972986,364.72122,88.685295,nan,0.0
30944000,-0.007007245,0.26968694,1.5400599,1.5564502,2.0510583,355.54227,92.44309,nan,0.0
31448000,-0.029097123,0.28244877,1.5392033,1.5560439,2.1351132,345.7416,92.65539,nan,0.0
31952000,-0.048881017,0.2891016,1.5336847,1.5543511,2.6433275,335.93723,92.55234,nan,0.0
32456000,-0.061757717,0.29365078,1.5281523,1.5525602,3.150928,326.1465,92.42975,nan,0.0
32960000,-0.06574629,0.29710063,1.5271418,1.5519992,3.2343693,316.37317,92.147446,nan,0.0
33464000,-0.07042148,0.29993084,1.5214304,1.5500195,3.74197,306.63242,91.69868,nan,0.0
33944000,-0.07268544,0.3022181,1.5157027,1.5479482,4.2452755,297.38522,91.23864,nan,0.0
34448000,-0.07339278,0.304394,1.509835,1.5457066,4.752263,287.72827,90.70953,nan,0.0
34952000,-0.06992535,0.30643967,1.5086403,1.5448406,4.8344774,278.11987,90.224205,nan,0.0
35456000,-0.06640086,0.30844787,1.5074742,1.5439197,4.916078,268.54175,89.79559,nan,0.0
35960000,-0.067223765,0.31038323,1.5015683,1.5412939,5.421838,259.00714,89.4052,nan,0.0
36464000,-0.064308606,0.3121351,1.5003657,1.5401667,5.503438,249.51344,88.98936,nan,0.0
36944000,-0.061325923,0.31402048,1.4992248,1.5390259,5.5801306,240.51427,88.59824,nan,0.0
37448000,-0.058913365,0.31597507,1.498064,1.5377351,5.660504,231.10207,88.25121,nan,0.0
37952000,-0.053243797,0.31782988,1.5017197,1.5382469,5.3167186,221.73373,87.89087,nan,0.0
38456000,-0.052420363,0.3198474,1.5005542,1.5368186,5.396478,212.40326,87.52608,nan,0.0
38960000,-0.0521563,0.32177493,1.4994109,1.5352716,5.475625,203.11292,87.19597,nan,0.0
39464000,-0.052103635,0.3236354,1.4982417,1.5335768,5.5547714,193.86461,86.84274,nan,0.0
39944000,-0.04796168,0.29165816,1.5020075,1.5341078,5.205463,185.09372,86.46232,nan,0.0
40448000,-0.04732556,0.10764515,1.4977695,1.5322409,5.282155,176.13538,81.97676,nan,0.0
40952000,-0.04448538,0.06279433,1.4942249,1.5302778,5.3551664,167.61243,78.78538,nan,0.0
41456000,-0.034085523,0.042155854,1.4968033,1.5308586,5.000951,159.38211,76.46836,nan,0.0
