timestamp,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
180000,0.70711,9.506385e-05,-9.507388e-05,0.70711,0.0,0.0,0.0,0.0,0
192000,0.70711,9.506804e-05,-9.505623e-05,0.70711,0.0,0.0,0.0,0.0,0
204000,0.70711,9.505039e-05,-9.5060415e-05,0.70711,0.0,0.0,0.0,0.0,0
216000,0.70711,9.505457e-05,-9.5042764e-05,0.70711,0.0,0.0,0.0,0.0,0
228000,0.70711,9.503692e-05,-9.504695e-05,0.70711,0.0,0.0,0.0,0.0,0
240000,0.70711,9.5041105e-05,-9.5029296e-05,0.70711,0.0,0.0,0.0,0.0,0
252000,0.70711,9.502345e-05,-9.503349e-05,0.70711,0.0,0.0,0.0,0.0,0
264000,0.70711,9.502764e-05,-9.501583e-05,0.70711,0.0,0.0,0.0,0.0,0
276000,0.70711,9.5009986e-05,-9.502002e-05,0.70711,0.0,0.0,0.0,0.0,0
288000,0.70711,9.501418e-05,-9.500236e-05,0.70711,0.0,0.0,0.0,0.0,0
300000,0.70711,9.499652e-05,-9.500655e-05,0.70711,0.0,0.0,0.0,0.0,0
312000,0.70711,9.500071e-05,-9.49889e-05,0.70711,0.0,0.0,0.0,0.0,0
324000,0.70711,9.498305e-05,-9.499308e-05,0.70711,0.0,0.0,0.0,0.0,0
336000,0.70711,9.498724e-05,-9.497543e-05,0.70711,0.0,0.0,0.0,0.0,0
348000,0.70711,9.496959e-05,-9.4979616e-05,0.70711,0.0,0.0,0.0,0.0,0
360000,0.70711,9.497377e-05,-9.4961964e-05,0.70711,0.0,0.0,0.0,0.0,0
372000,0.70711,9.495612e-05,-9.496615e-05,0.70711,0.0,0.0,0.0,0.0,0
384000,0.70711,9.4960305e-05,-9.49485e-05,0.70711,0.0,0.0,0.0,0.0,0
396000,0.70711,9.4942654e-05,-9.495269e-05,0.70711,0.0,0.0,0.0,0.0,0
408000,0.70711,9.4946845e-05,-9.493503e-05,0.70711,0.0,0.0,0.0,0.0,0
420000,0.70711,9.4929186e-05,-9.493922e-05,0.70711,0.0,0.0,0.0,0.0,0
432000,0.70711,9.493338e-05,-9.492156e-05,0.70711,0.0,0.0,0.0,0.0,0
444000,0.70711,9.491572e-05,-9.492575e-05,0.70711,0.0,0.0,0.0,0.0,0
456000,0.70711,9.491991e-05,-9.49081e-05,0.70711,0.0,0.0,0.0,0.0,0
468000,0.70711,9.490226e-05,-9.4912284e-05,0.70711,0.0,0.0,0.0,0.0,0
480000,0.70711,9.490644e-05,-9.489463e-05,0.70711,0.0,0.0,0.0,0.0,0
492000,0.70711,9.488879e-05,-9.4898816e-05,0.70711,0.0,0.0,0.0,0.0,0
504000,0.70711,9.4892974e-05,-9.4881165e-05,0.70711,0.0,0.0,0.0,0.0,0
516000,0.70711,9.487532e-05,-9.488535e-05,0.70711,0.0,0.0,0.0,0.0,0
528000,0.70711,9.4879506e-05,-9.48677e-05,0.70711,0.0,0.0,0.0,0.0,0
540000,0.70711,9.4861854e-05,-9.487189e-05,0.70711,0.0,0.0,0.0,0.0,0
552000,0.70711,9.4866045e-05,-9.485423e-05,0.70711,0.0,0.0,0.0,0.0,0
564000,0.70711,9.484839e-05,-9.485842e-05,0.70711,0.0,0.0,0.0,0.0,0
576000,0.70711,9.485258e-05,-9.484076e-05,0.70711,0.0,0.0,0.0,0.0,0
588000,0.70711,9.483492e-05,-9.484495e-05,0.70711,0.0,0.0,0.0,0.0,0
600000,0.70711,9.483911e-05,-9.48273e-05,0.70711,0.0,0.0,0.0,0.0,0
612000,0.70711,9.482146e-05,-9.4831485e-05,0.70711,0.0,0.0,0.0,0.0,0
624000,0.70711,9.482564e-05,-9.481383e-05,0.70711,0.0,0.0,0.0,0.0,0
636000,0.70711,9.480799e-05,-9.481802e-05,0.70711,0.0,0.0,0.0,0.0,0
648000,0.70711,9.4812174e-05,-9.4800365e-05,0.70711,0.0,0.0,0.0,0.0,0
660000,0.70711,9.479452e-05,-9.480455e-05,0.70711,0.0,0.0,0.0,0.0,0
672000,0.70711,9.479871e-05,-9.47869e-05,0.70711,0.0,0.0,0.0,0.0,0
684000,0.70711,9.4781055e-05,-9.479109e-05,0.70711,0.0,0.0,0.0,0.0,0
696000,0.70711,9.4785246e-05,-9.477343e-05,0.70711,0.0,0.0,0.0,0.0,0
708000,0.70711,9.476759e-05,-9.477762e-05,0.70711,0.0,0.0,0.0,0.0,0
720000,0.70711,9.477178e-05,-9.475996e-05,0.70711,0.0,0.0,0.0,0.0,0
732000,0.70711,9.475412e-05,-9.476415e-05,0.70711,0.0,0.0,0.0,0.0,0
744000,0.70711,9.475831e-05,-9.47465e-05,0.70711,0.0,0.0,0.0,0.0,0
756000,0.70711,9.474066e-05,-9.4750685e-05,0.70711,0.0,0.0,0.0,0.0,0
768000,0.70711,9.474484e-05,-9.473303e-05,0.70711,0.0,0.0,0.0,0.0,0
780000,0.70711,9.472719e-05,-9.473722e-05,0.70711,0.0,0.0,0.0,0.0,0
792000,0.70711,9.4731375e-05,-9.4719566e-05,0.70711,0.0,0.0,0.0,0.0,0
804000,0.70711,9.471372e-05,-9.472375e-05,0.70711,0.0,0.0,0.0,0.0,0
816000,0.70711,9.471791e-05,-9.47061e-05,0.70711,0.0,0.0,0.0,0.0,0
828000,0.70711,9.4700255e-05,-9.471029e-05,0.70711,0.0,0.0,0.0,0.0,0
840000,0.70711,9.470445e-05,-9.469263e-05,0.70711,0.0,0.0,0.0,0.0,0
852000,0.70711,9.468679e-05,-9.469682e-05,0.70711,0.0,0.0,0.0,0.0,0
864000,0.70711,9.469098e-05,-9.467916e-05,0.70711,0.0,0.0,0.0,0.0,0
876000,0.70711,9.467333e-05,-9.468335e-05,0.70711,0.0,0.0,0.0,0.0,0
888000,0.70711,9.467751e-05,-9.46657e-05,0.70711,0.0,0.0,0.0,0.0,0
900000,0.70711,9.465986e-05,-9.4669886e-05,0.70711,0.0,0.0,0.0,0.0,0
912000,0.70711,9.466404e-05,-9.4652234e-05,0.70711,0.0,0.0,0.0,0.0,0
924000,0.70711,9.464639e-05,-9.465642e-05,0.70711,0.0,0.0,0.0,0.0,0
936000,0.70711,9.4650575e-05,-9.4638766e-05,0.70711,0.0,0.0,0.0,0.0,0
948000,0.70711,9.4632924e-05,-9.464295e-05,0.70711,0.0,0.0,0.0,0.0,0
960000,0.70711,9.4637115e-05,-9.46253e-05,0.70711,0.0,0.0,0.0,0.0,0
972000,0.70711,9.4619456e-05,-9.462949e-05,0.70711,0.0,0.0,0.0,0.0,0
984000,0.70711,9.462365e-05,-9.461183e-05,0.70711,0.0,0.0,0.0,0.0,0
996000,0.70711,9.460599e-05,-9.461602e-05,0.70711,0.0,0.0,0.0,0.0,0
1008000,0.70711,9.461018e-05,-9.459836e-05,0.70711,0.0,0.0,0.0,0.0,0
1020000,0.70711,9.459253e-05,-9.4602554e-05,0.70711,0.0,0.0,0.0,0.0,0
1032000,0.70711,9.459671e-05,-9.45849e-05,0.70711,0.0,0.0,0.0,0.0,0
1044000,0.70711,9.457906e-05,-9.4589086e-05,0.70711,0.0,0.0,0.0,0.0,0
1056000,0.70711,9.458324e-05,-9.4571435e-05,0.70711,0.0,0.0,0.0,0.0,0
1068000,0.70711,9.456559e-05,-9.457562e-05,0.70711,0.0,0.0,0.0,0.0,0
1080000,0.70711,9.4569776e-05,-9.455797e-05,0.70711,0.0,0.0,0.0,0.0,0
1092000,0.70711,9.4552124e-05,-9.456215e-05,0.70711,0.0,0.0,0.0,0.0,0
1104000,0.70711,9.4556315e-05,-9.45445e-05,0.70711,0.0,0.0,0.0,0.0,0
1116000,0.70711,9.453866e-05,-9.454869e-05,0.70711,0.0,0.0,0.0,0.0,0
1128000,0.70711,9.454285e-05,-9.453103e-05,0.70711,0.0,0.0,0.0,0.0,0
1140000,0.70711,9.452519e-05,-9.453522e-05,0.70711,0.0,0.0,0.0,0.0,0
1152000,0.70711,9.452938e-05,-9.451757e-05,0.70711,0.0,0.0,0.0,0.0,0
1164000,0.70711,9.451173e-05,-9.4521754e-05,0.70711,0.0,0.0,0.0,0.0,0
1176000,0.70711,9.451591e-05,-9.45041e-05,0.70711,0.0,0.0,0.0,0.0,0
1188000,0.70711,9.449826e-05,-9.450829e-05,0.70711,0.0,0.0,0.0,0.0,0
1200000,0.70711,9.4502444e-05,-9.4490635e-05,0.70711,0.0,0.0,0.0,0.0,0
1212000,0.70711,9.448479e-05,-9.449482e-05,0.70711,0.0,0.0,0.0,0.0,0
1224000,0.70711,9.4488976e-05,-9.447717e-05,0.70711,0.0,0.0,0.0,0.0,0
1236000,0.70711,9.4471325e-05,-9.448136e-05,0.70711,0.0,0.0,0.0,0.0,0
1248000,0.70711,9.4475516e-05,-9.44637e-05,0.70711,0.0,0.0,0.0,0.0,0
1260000,0.70711,9.445786e-05,-9.446789e-05,0.70711,0.0,0.0,0.0,0.0,0
1272000,0.70711,9.446205e-05,-9.445023e-05,0.70711,0.0,0.0,0.0,0.0,0
1284000,0.70711,9.444439e-05,-9.445442e-05,0.70711,0.0,0.0,0.0,0.0,0
1296000,0.70711,9.444858e-05,-9.443677e-05,0.70711,0.0,0.0,0.0,0.0,0
1308000,0.70711,9.443093e-05,-9.4440955e-05,0.70711,0.0,0.0,0.0,0.0,0
1320000,0.70711,9.443511e-05,-9.44233e-05,0.70711,0.0,0.0,0.0,0.0,0
1332000,0.70711,9.441746e-05,-9.442749e-05,0.70711,0.0,0.0,0.0,0.0,0
1344000,0.70711,9.4421644e-05,-9.4409836e-05,0.70711,0.0,0.0,0.0,0.0,0
1356000,0.70711,9.440399e-05,-9.441402e-05,0.70711,0.0,0.0,0.0,0.0,0
1368000,0.70711,9.440818e-05,-9.439637e-05,0.70711,0.0,0.0,0.0,0.0,0
1380000,0.70711,9.4390525e-05,-9.440056e-05,0.70711,0.0,0.0,0.0,0.0,0
1392000,0.70711,9.4394716e-05,-9.43829e-05,0.70711,0.0,0.0,0.0,0.0,0
1404000,0.70711,9.437706e-05,-9.438709e-05,0.70711,0.0,0.0,0.0,0.0,0
1416000,0.70711,9.438125e-05,-9.436943e-05,0.70711,0.0,0.0,0.0,0.0,0
1428000,0.70711,9.43636e-05,-9.437362e-05,0.70711,0.0,0.0,0.0,0.0,0
1440000,0.70711,9.436778e-05,-9.435597e-05,0.70711,0.0,0.0,0.0,0.0,0
1452000,0.70711,9.435013e-05,-9.4360155e-05,0.70711,0.0,0.0,0.0,0.0,0
1464000,0.70711,9.435431e-05,-9.4342504e-05,0.70711,0.0,0.0,0.0,0.0,0
1476000,0.70711,9.433666e-05,-9.434669e-05,0.70711,0.0,0.0,0.0,0.0,0
1488000,0.70711,9.4340845e-05,-9.4329036e-05,0.70711,0.0,0.0,0.0,0.0,0
1500000,0.70711,9.432319e-05,-9.433322e-05,0.70711,0.0,0.0,0.0,0.0,0
1512000,0.70711,9.4327384e-05,-9.431557e-05,0.70711,0.0,0.0,0.0,0.0,0
1524000,0.70711,9.4309726e-05,-9.431976e-05,0.70711,0.0,0.0,0.0,0.0,0
1536000,0.70711,9.431392e-05,-9.43021e-05,0.70711,0.0,0.0,0.0,0.0,0
1544000,0.70711,9.430943e-05,-9.429761e-05,0.70711,0.0,0.0,0.0,0.0,0
1560000,0.70711,9.430045e-05,-9.428863e-05,0.70711,0.0,0.0,0.0,0.0,0
1572000,0.70711,9.42828e-05,-9.429282e-05,0.70711,0.0,0.0,0.0,0.0,0
1584000,0.70711,9.428698e-05,-9.427517e-05,0.70711,0.0,0.0,0.0,0.0,0
1596000,0.70711,9.426933e-05,-9.4279356e-05,0.70711,0.0,0.0,0.0,0.0,0
1608000,0.70711,9.427351e-05,-9.4261704e-05,0.70711,0.0,0.0,0.0,0.0,0
