timestamp,roll_body,pitch_body,yaw_body,yaw_sp_move_rate,q_d[0],q_d[1],q_d[2],q_d[3],thrust_body[0],thrust_body[1],thrust_body[2],q_d_valid,roll_reset_integral,pitch_reset_integral,yaw_reset_integral,fw_control_yaw,apply_flaps
12008000,0.0025701304,0.0,1.9673967,0.0,0.5539468,0.00071185816,0.001069883,0.83255106,0.15,0.0,0.0,1,0,0,0,0,0
12032000,0.0028992651,0.0,1.9673967,0.0,0.5539467,0.00080301974,0.0012068938,0.8325509,0.15,0.0,0.0,1,0,0,0,0,0
12056000,0.0032107998,0.0,1.9673967,0.0,0.55394655,0.0008893065,0.0013365779,0.8325507,0.15,0.0,0.0,1,0,0,0,0,0
12080000,0.0031610357,0.0,1.9673967,0.0,0.55394655,0.00087552314,0.0013158624,0.83255076,0.15,0.0,0.0,1,0,0,0,0,0
12104000,0.003409598,0.0,1.9673967,0.0,0.5539465,0.0009443683,0.0014193328,0.8325506,0.15,0.0,0.0,1,0,0,0,0,0
12128000,0.0032085062,0.0,1.9673967,0.0,0.55394655,0.0008886712,0.0013356232,0.8325507,0.15,0.0,0.0,1,0,0,0,0,0
12152000,0.0034130034,0.0,1.9673967,0.0,0.5539465,0.0009453115,0.0014207504,0.8325506,0.15,0.0,0.0,1,0,0,0,0,0
12176000,0.0034594133,0.0,1.9673967,0.0,0.55394644,0.00095816585,0.0014400696,0.8325505,0.15,0.0,0.0,1,0,0,0,0,0
12200000,0.0036089197,0.0,1.9673967,0.0,0.5539464,0.0009995751,0.0015023055,0.83255047,0.15,0.0,0.0,1,0,0,0,0,0
12224000,0.0037942303,0.0,1.9673967,0.0,0.55394626,0.0010509011,0.0015794457,0.8325503,0.15,0.0,0.0,1,0,0,0,0,0
12248000,0.0,0.0,1.6131141,0.0,0.691988,0.0,0.0,0.721909,0.0,0.0,0.0,1,1,1,0,1,2
12272000,0.0,0.0,1.6131141,0.0,0.691988,0.0,0.0,0.721909,1.0,0.0,0.0,1,1,1,0,1,2
12296000,0.0,0.0,1.6131141,0.0,0.691988,0.0,0.0,0.721909,1.0,0.0,0.0,1,1,1,0,1,2
12320000,0.0,0.0,1.6131141,0.0,0.691988,0.0,0.0,0.721909,1.0,0.0,0.0,1,1,1,0,1,2
12344000,0.0,0.0,1.6131141,0.0,0.691988,0.0,0.0,0.721909,1.0,0.0,0.0,1,1,1,0,1,2
12368000,0.0,0.0,1.6131141,0.0,0.691988,0.0,0.0,0.721909,1.0,0.0,0.0,1,1,1,0,1,2
12392000,0.0,0.0,1.6131141,0.0,0.691988,0.0,0.0,0.721909,1.0,0.0,0.0,1,1,1,0,1,2
12416000,0.0,0.0,1.6131141,0.0,0.691988,0.0,0.0,0.721909,1.0,0.0,0.0,1,1,1,0,1,2
12440000,0.0,0.0,1.6131141,0.0,0.691988,0.0,0.0,0.721909,1.0,0.0,0.0,1,1,1,0,1,2
12464000,0.0,0.0,1.6131141,0.0,0.691988,0.0,0.0,0.721909,1.0,0.0,0.0,1,1,1,0,1,2
12488000,0.0,0.0,1.6131141,0.0,0.691988,0.0,0.0,0.721909,1.0,0.0,0.0,1,1,1,0,1,2
12512000,0.0,0.0,1.6131141,0.0,0.691988,0.0,0.0,0.721909,1.0,0.0,0.0,1,1,1,0,1,2
12536000,0.0,0.0,1.6131141,0.0,0.691988,0.0,0.0,0.721909,1.0,0.0,0.0,1,1,1,0,1,2
12560000,0.0,0.0,1.6131141,0.0,0.691988,0.0,0.0,0.721909,1.0,0.0,0.0,1,1,1,0,1,2
12584000,0.0,0.0,1.6131141,0.0,0.691988,0.0,0.0,0.721909,1.0,0.0,0.0,1,1,1,0,1,2
12608000,0.0,0.0,1.6131141,0.0,0.691988,0.0,0.0,0.721909,1.0,0.0,0.0,1,1,1,0,1,2
12632000,0.0,0.0,1.6131141,0.0,0.691988,0.0,0.0,0.721909,1.0,0.0,0.0,1,1,1,0,1,2
12656000,0.0,0.0,1.6131141,0.0,0.691988,0.0,0.0,0.721909,1.0,0.0,0.0,1,1,1,0,1,2
12680000,0.0,0.0,1.6131141,0.0,0.691988,0.0,0.0,0.721909,1.0,0.0,0.0,1,1,1,0,1,2
12704000,0.0,0.0,1.6131141,0.0,0.691988,0.0,0.0,0.721909,1.0,0.0,0.0,1,1,1,0,1,2
12728000,0.0,-0.3138921,1.6131141,0.0,0.68348294,0.1128362,-0.108159475,0.7130362,1.0,0.0,0.0,1,0,0,0,1,2
12752000,0.0,-0.29962727,1.6131141,0.0,0.684237,0.107747704,-0.10328188,0.71382284,1.0,0.0,0.0,1,0,0,0,1,2
12776000,0.0,-0.28615156,1.6131141,0.0,0.68491733,0.10293566,-0.09866928,0.7145326,1.0,0.0,0.0,1,0,0,0,1,2
12800000,0.0,-0.27350548,1.6131141,0.0,0.6855275,0.09841561,-0.09433658,0.7151692,1.0,0.0,0.0,1,0,0,0,1,2
12824000,0.0,-0.2615514,1.6131141,0.0,0.68607914,0.09413929,-0.09023749,0.7157446,1.0,0.0,0.0,1,0,0,0,1,2
12848000,0.0,-0.25018033,1.6131141,0.0,0.6865811,0.09006839,-0.086335324,0.7162683,1.0,0.0,0.0,1,0,0,0,1,2
12872000,0.0,-0.23930453,1.6131141,0.0,0.6870404,0.08617209,-0.082600504,0.71674746,1.0,0.0,0.0,1,0,0,0,1,2
