timestamp,time_utc_usec,lat,lon,alt,alt_ellipsoid,s_variance_m_s,c_variance_rad,eph,epv,hdop,vdop,noise_per_ms,jamming_indicator,vel_m_s,vel_n_m_s,vel_e_m_s,vel_d_m_s,cog_rad,timestamp_time_relative,heading,heading_offset,fix_type,vel_ned_valid,satellites_used
380000,1924000,473977419,85455940,488127,0,0.25,0.0,1.0,1.0,0.0,0.0,0,0,0.0,0.0,-0.01,0.01,4.5373325,0,0.0,0.0,3,0,10
584000,2124000,473977420,85455940,488125,0,0.25,0.0,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1.0093238,0,0.0,0.0,3,0,10
788000,2328000,473977419,85455940,488121,0,0.25,0.0,1.0,1.0,0.0,0.0,0,0,0.0,0.01,0.0,0.01,5.717349,0,0.0,0.0,3,0,10
992000,2532000,473977420,85455940,488128,0,0.25,0.0,1.0,1.0,0.0,0.0,0,0,0.0,-0.01,0.02,0.0,2.1636846,0,0.0,0.0,3,0,10
1196000,2736000,473977420,85455940,488124,0,0.25,0.0,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,-0.01,1.1506956,0,0.0,0.0,3,0,10
1400000,2940000,473977420,85455940,488121,0,0.25,0.0,1.0,1.0,0.0,0.0,0,0,0.0,0.02,0.0,0.0,5.964313,0,0.0,0.0,3,0,10
1604000,3144000,473977419,85455940,488121,0,0.25,0.0,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0.02,3.9266417,0,0.0,0.0,3,0,10
1808000,3348000,473977419,85455940,488121,0,0.25,0.0,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.01,0.01,1.8125244,0,0.0,0.0,3,0,10
2012000,3552000,473977419,85455940,488131,0,0.25,0.0,1.0,1.0,0.0,0.0,0,0,0.0,0.0,-0.01,0.01,4.8253117,0,0.0,0.0,3,0,10
2216000,3756000,473977419,85455940,488120,0,0.25,0.0,1.0,1.0,0.0,0.0,0,0,0.0,0.0,-0.01,0.03,4.2427206,0,0.0,0.0,3,0,10
2419999,3960000,473977419,85455940,488126,0,0.25,0.0,1.0,1.0,0.0,0.0,0,0,0.0,0.01,0.0,0.04,5.705481,0,0.0,0.0,3,0,10
2624000,4168000,473977419,85455941,488131,0,0.25,0.0,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,-0.02,6.1100483,0,0.0,0.0,3,0,10
2828000,4368000,473977420,85455941,488125,0,0.25,0.0,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0.03,4.789358,0,0.0,0.0,3,0,10
3032000,4572000,473977420,85455940,488121,0,0.25,0.0,1.0,1.0,0.0,0.0,0,0,0.0,-0.01,0.0,-0.04,3.4190998,0,0.0,0.0,3,0,10
3236000,4776000,473977420,85455940,488130,0,0.25,0.0,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,-0.06,5.3988266,0,0.0,0.0,3,0,10
3440000,4980000,473977419,85455940,488120,0,0.25,0.0,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.02,-0.03,1.2559389,0,0.0,0.0,3,0,10
3644000,5184000,473977419,85455941,488119,0,0.25,0.0,1.0,1.0,0.0,0.0,0,0,0.0,0.01,0.0,0.0,0.26581365,0,0.0,0.0,3,0,10
3848000,5388000,473977420,85455941,488114,0,0.25,0.0,1.0,1.0,0.0,0.0,0,0,0.0,0.01,0.0,-0.01,5.7374206,0,0.0,0.0,3,0,10
4052000,5592000,473977419,85455941,488119,0,0.25,0.0,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.01,-0.01,1.5063937,0,0.0,0.0,3,0,10
4256000,5796000,473977419,85455940,488115,0,0.25,0.0,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,-0.02,0.6555456,0,0.0,0.0,3,0,10
4460000,6004000,473977420,85455940,488119,0,0.25,0.0,1.0,1.0,0.0,0.0,0,0,0.0,-0.01,0.0,0.01,3.1817353,0,0.0,0.0,3,0,10
4664000,6208000,473977420,85455940,488122,0,0.25,0.0,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0.01,3.8947022,0,0.0,0.0,3,0,10
4868000,6412000,473977419,85455940,488129,0,0.25,0.0,1.0,1.0,0.0,0.0,0,0,0.0,0.03,-0.01,0.0,5.8213706,0,0.0,0.0,3,0,10
5072000,6616000,473977420,85455941,488127,0,0.25,0.0,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.01,0.01,0.9932669,0,0.0,0.0,3,0,10
5276000,6820000,473977420,85455941,488125,0,0.25,0.0,1.0,1.0,0.0,0.0,0,0,0.0,0.01,-0.01,-0.03,5.3944635,0,0.0,0.0,3,0,10
5480000,7024000,473977420,85455940,488126,0,0.25,0.0,1.0,1.0,0.0,0.0,0,0,0.0,0.02,0.0,-0.01,6.04966,0,0.0,0.0,3,0,10
5684000,7228000,473977420,85455940,488126,0,0.25,0.0,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,-0.02,6.2048197,0,0.0,0.0,3,0,10
5888000,7432000,473977419,85455940,488124,0,0.25,0.0,1.0,1.0,0.0,0.0,0,0,0.0,-0.02,0.0,-0.02,3.0305896,0,0.0,0.0,3,0,10
6092000,7636000,473977419,85455940,488122,0,0.25,0.0,1.0,1.0,0.0,0.0,0,0,0.0,-0.02,0.0,0.04,2.8852038,0,0.0,0.0,3,0,10
6296000,7840000,473977419,85455940,488129,0,0.25,0.0,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0.04,5.792399,0,0.0,0.0,3,0,10
6500000,8044000,473977419,85455941,488124,0,0.25,0.0,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,-0.01,2.8907886,0,0.0,0.0,3,0,10
6703999,8244000,473977420,85455940,488120,0,0.25,0.0,1.0,1.0,0.0,0.0,0,0,0.0,-0.01,0.0,0.0,2.7255063,0,0.0,0.0,3,0,10
6908000,8452000,473977419,85455940,488123,0,0.25,0.0,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.6928957,0,0.0,0.0,3,0,10
7112000,8652000,473977419,85455940,488128,0,0.25,0.0,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.01,0.0,1.9860102,0,0.0,0.0,3,0,10
7316000,8860000,473977419,85455940,488129,0,0.25,0.0,1.0,1.0,0.0,0.0,0,0,0.0,0.0,-0.02,0.01,4.3465676,0,0.0,0.0,3,0,10
7520000,9060000,473977419,85455941,488120,0,0.25,0.0,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0.01,3.3306117,0,0.0,0.0,3,0,10
7724000,9268000,473977420,85455940,488128,0,0.25,0.0,1.0,1.0,0.0,0.0,0,0,0.0,0.0,-0.02,-0.01,4.8492227,0,0.0,0.0,3,0,10
7928000,9468000,473977420,85455940,488112,0,0.25,0.0,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.01,-0.07,1.6989034,0,0.0,0.0,3,0,10
8132000,9676000,473977420,85455940,488115,0,0.25,0.0,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.03,0.0,1.4952235,0,0.0,0.0,3,0,10
8336000,9876000,473977420,85455941,488114,0,0.25,0.0,1.0,1.0,0.0,0.0,0,0,0.0,-0.01,0.0,-0.01,3.610388,0,0.0,0.0,3,0,10
8540000,10084000,473977420,85455940,488104,0,0.25,0.0,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.01,0.02,1.2665855,0,0.0,0.0,3,0,10
8744000,10284000,473977420,85455940,488117,0,0.25,0.0,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0.02,0.47123888,0,0.0,0.0,3,0,10
8948000,10492000,473977420,85455940,488123,0,0.25,0.0,1.0,1.0,0.0,0.0,0,0,0.0,0.01,-0.01,0.0,5.521349,0,0.0,0.0,3,0,10
9152000,10692000,473977419,85455940,488117,0,0.25,0.0,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,-0.01,1.386664,0,0.0,0.0,3,0,10
9356000,10900000,473977419,85455940,488123,0,0.25,0.0,1.0,1.0,0.0,0.0,0,0,0.0,0.0,-0.01,0.0,5.0522046,0,0.0,0.0,3,0,10
9560000,11100000,473977420,85455940,488134,0,0.25,0.0,1.0,1.0,0.0,0.0,0,0,0.0,-0.01,0.0,-0.04,3.4686673,0,0.0,0.0,3,0,10
9764000,11308000,473977419,85455940,488132,0,0.25,0.0,1.0,1.0,0.0,0.0,0,0,0.0,0.01,0.0,0.0,5.920331,0,0.0,0.0,3,0,10
9968000,11508000,473977419,85455940,488129,0,0.25,0.0,1.0,1.0,0.0,0.0,0,0,0.0,-0.01,0.0,0.02,2.5408504,0,0.0,0.0,3,0,10
10172000,11716000,473977419,85455940,488136,0,0.25,0.0,1.0,1.0,0.0,0.0,0,0,0.0,0.0,-0.01,0.0,4.830024,0,0.0,0.0,3,0,10
10376000,11916000,473977419,85455941,488120,0,0.25,0.0,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0.02,4.072202,0,0.0,0.0,3,0,10
10580000,12124000,473977419,85455941,488119,0,0.25,0.0,1.0,1.0,0.0,0.0,0,0,0.0,0.01,0.0,0.03,0.60999256,0,0.0,0.0,3,0,10
10784000,12324000,473977419,85455941,488123,0,0.25,0.0,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0.01,1.786519,0,0.0,0.0,3,0,10
10988000,12532000,473977419,85455940,488127,0,0.25,0.0,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,-0.03,2.780135,0,0.0,0.0,3,0,10
11192000,12732000,473977420,85455940,488123,0,0.25,0.0,1.0,1.0,0.0,0.0,0,0,0.0,0.0,-0.01,0.01,4.896172,0,0.0,0.0,3,0,10
11396000,12940000,473977419,85455940,488121,0,0.25,0.0,1.0,1.0,0.0,0.0,0,0,0.0,0.01,0.01,-0.01,0.84561205,0,0.0,0.0,3,0,10
11600000,13140000,473977419,85455941,488125,0,0.25,0.0,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.01,0.01,1.1400491,0,0.0,0.0,3,0,10
11804000,13348000,473977419,85455941,488124,0,0.25,0.0,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.89465576,0,0.0,0.0,3,0,10
12008000,13548000,473977419,85455940,488126,0,0.25,0.0,1.0,1.0,0.0,0.0,0,0,0.0,0.01,-0.01,0.02,5.5566044,0,0.0,0.0,3,0,10
12212000,13756000,473977420,85455940,488120,0,0.25,0.0,1.0,1.0,0.0,0.0,0,0,0.0,0.02,-0.02,0.02,5.416455,0,0.0,0.0,3,0,10
12416000,13956000,473977420,85455940,488127,0,0.25,0.0,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0.01,2.4848251,0,0.0,0.0,3,0,10
12620000,14164000,473977420,85456048,488124,0,0.25,0.0,1.0,1.0,0.0,0.0,0,0,8.389999,0.0,8.38,0.01,1.5702727,0,0.0,0.0,3,0,10
