timestamp,alt_max,freefall,ground_contact,maybe_landed,landed,in_ground_effect
104000,inf,0,0,0,1,0
1116000,inf,0,0,0,1,0
2116000,inf,0,0,0,1,0
3116000,inf,0,0,0,1,0
4116000,inf,0,0,0,1,0
5116000,inf,0,0,0,1,0
6116000,inf,0,0,0,1,0
7116000,inf,0,0,0,1,0
8116000,inf,0,0,0,1,0
9116000,inf,0,0,0,1,0
10116000,inf,0,0,0,1,0
11116000,inf,0,0,0,1,0
12116000,inf,0,0,0,1,0
12356000,inf,0,0,0,0,0
13356000,inf,0,0,0,0,0
14356000,inf,0,0,0,0,0
15356000,inf,0,0,0,0,0
16356000,inf,0,0,0,0,0
17356000,inf,0,0,0,0,0
18356000,inf,0,0,0,0,0
19356000,inf,0,0,0,0,0
20356000,inf,0,0,0,0,0
21356000,inf,0,0,0,0,0
22356000,inf,0,0,0,0,0
23356000,inf,0,0,0,0,0
24356000,inf,0,0,0,0,0
25356000,inf,0,0,0,0,0
26356000,inf,0,0,0,0,0
27356000,inf,0,0,0,0,0
28356000,inf,0,0,0,0,0
29356000,inf,0,0,0,0,0
30356000,inf,0,0,0,0,0
31356000,inf,0,0,0,0,0
32356000,inf,0,0,0,0,0
33356000,inf,0,0,0,0,0
34356000,inf,0,0,0,0,0
35356000,inf,0,0,0,0,0
36356000,inf,0,0,0,0,0
37356000,inf,0,0,0,0,0
38356000,inf,0,0,0,0,0
39356000,inf,0,0,0,0,0
40356000,inf,0,0,0,0,0
41356000,inf,0,0,0,0,0
42356000,inf,0,0,0,0,0
43356000,inf,0,0,0,0,0
44356000,inf,0,0,0,0,0
45356000,inf,0,0,0,0,0
46356000,inf,0,0,0,0,0
47356000,inf,0,0,0,0,0
48356000,inf,0,0,0,0,0
49356000,inf,0,0,0,0,0
50356000,inf,0,0,0,0,0
51356000,inf,0,0,0,0,0
52356000,inf,0,0,0,0,0
53356000,inf,0,0,0,0,0
54356000,inf,0,0,0,0,0
55356000,inf,0,0,0,0,0
56356000,inf,0,0,0,0,0
57356000,inf,0,0,0,0,0
58356000,inf,0,0,0,0,0
59356000,inf,0,0,0,0,0
60356000,inf,0,0,0,0,0
61356000,inf,0,0,0,0,0
62356000,inf,0,0,0,0,0
63356000,inf,0,0,0,0,0
64356000,inf,0,0,0,0,0
65356000,inf,0,0,0,0,0
66356000,inf,0,0,0,0,0
67356000,inf,0,0,0,0,0
68356000,inf,0,0,0,0,0
69356000,inf,0,0,0,0,0
70356000,inf,0,0,0,0,0
71356000,inf,0,0,0,0,0
72356000,inf,0,0,0,0,0
73356000,inf,0,0,0,0,0
74356000,inf,0,0,0,0,0
75356000,inf,0,0,0,0,0
76356000,inf,0,0,0,0,0
77356000,inf,0,0,0,0,0
78356000,inf,0,0,0,0,0
79356000,inf,0,0,0,0,0
80356000,inf,0,0,0,0,0
81356000,inf,0,0,0,0,0
82356000,inf,0,0,0,0,0
83356000,inf,0,0,0,0,0
84356000,inf,0,0,0,0,0
85356000,inf,0,0,0,0,0
86356000,inf,0,0,0,0,0
87356000,inf,0,0,0,0,0
88356000,inf,0,0,0,0,0
89356000,inf,0,0,0,0,0
90356000,inf,0,0,0,0,0
91356000,inf,0,0,0,0,0
92356000,inf,0,0,0,0,0
93356000,inf,0,0,0,0,0
94356000,inf,0,0,0,0,0
95356000,inf,0,0,0,0,0
96356000,inf,0,0,0,0,0
97356000,inf,0,0,0,0,0
98356000,inf,0,0,0,0,0
99356000,inf,0,0,0,0,0
100356000,inf,0,0,0,0,0
101356000,inf,0,0,0,0,0
102356000,inf,0,0,0,0,0
103356000,inf,0,0,0,0,0
104356000,inf,0,0,0,0,0
105356000,inf,0,0,0,0,0
106356000,inf,0,0,0,0,0
107356000,inf,0,0,0,0,0
108356000,inf,0,0,0,0,0
109356000,inf,0,0,0,0,0
110356000,inf,0,0,0,0,0
111356000,inf,0,0,0,0,0
112356000,inf,0,0,0,0,0
