timestamp,ref_timestamp,ref_lat,ref_lon,x,y,z,delta_xy[0],delta_xy[1],delta_z,vx,vy,vz,z_deriv,delta_vxy[0],delta_vxy[1],delta_vz,ax,ay,az,yaw,ref_alt,dist_bottom,eph,epv,evh,evv,vxy_max,vz_max,hagl_min,hagl_max,xy_valid,z_valid,v_xy_valid,v_z_valid,xy_reset_counter,z_reset_counter,vxy_reset_counter,vz_reset_counter,xy_global,z_global,dist_bottom_valid
636000,0,0.0,0.0,-4.3980403e-06,1.3511751e-06,-6.8826387e-07,-2.0489163e-06,7.104236e-07,0.0,-0.00071166415,0.00015987457,-0.00031068167,-0.00031313713,-0.00051222905,0.00017760589,0.0,-0.055759735,-0.003107183,-0.07160659,1.615852,0.0,0.1,0.70622146,2.0000088,7.071068,0.7500069,inf,inf,inf,inf,1,1,1,1,1,0,1,1,0,0,1
732000,0,0.0,0.0,0.00012522233,9.864751e-05,-0.011847372,-2.0489163e-06,7.104236e-07,0.0,0.0047997106,0.0027834242,-0.014264229,-0.025217358,-0.00051222905,0.00017760589,0.0,0.037456844,0.03856819,-0.16994959,1.6164415,0.0,0.1,0.3029146,0.57834935,5.009932,0.74978685,inf,inf,inf,inf,1,1,1,1,1,0,1,1,0,0,1
836000,792000,47.3977419,8.545594,0.0009200961,0.00039974102,-0.014585433,-2.0489163e-06,7.104236e-07,0.0,0.010089948,0.0038584312,-0.035089325,-0.045853563,-0.00051222905,0.00017760589,0.0,0.06142178,0.060083065,-0.14105904,1.6212643,488.1152,0.1,0.26254493,0.40644574,2.296556,0.74675846,inf,inf,inf,inf,1,1,1,1,1,0,1,1,1,1,1
932000,792000,47.3977419,8.545594,0.002092839,0.00096589193,-0.02028825,-2.0489163e-06,7.104236e-07,0.0,0.014152408,0.008187947,-0.05501365,-0.066063404,-0.00051222905,0.00017760589,0.0,0.05631204,0.050380807,-0.14517735,1.6215103,488.1152,0.108182184,0.22438966,0.3456023,1.331561,0.7385223,inf,inf,inf,inf,1,1,1,1,1,0,1,1,1,1,1
1036000,792000,47.3977419,8.545594,0.0035924818,0.0020268639,-0.021242373,-2.0489163e-06,7.104236e-07,0.0,0.01799524,0.013223037,-0.06955807,-0.07337609,-0.00051222905,0.00017760589,0.0,0.026554959,0.028932668,-0.17762277,1.6211652,488.1152,0.11933623,0.19576788,0.31608817,0.8601084,0.7213346,inf,inf,inf,inf,1,1,1,1,1,0,1,1,1,1,1
1132000,792000,47.3977419,8.545594,0.0050006537,0.0032822064,-0.02637113,-2.0489163e-06,7.104236e-07,0.0,0.020221703,0.015110389,-0.08259681,-0.08351011,-0.00051222905,0.00017760589,0.0,0.04319909,-0.008261762,-0.19675305,1.6199824,488.1152,0.114951134,0.17691362,0.30525863,0.62887245,0.6970151,inf,inf,inf,inf,1,1,1,1,1,0,1,1,1,1,1
1236000,792000,47.3977419,8.545594,0.006590433,0.0047502574,-0.03592165,-2.0489163e-06,7.104236e-07,0.0,0.022916026,0.019293917,-0.10105663,-0.10148377,-0.00051222905,0.00017760589,0.0,-0.0029160436,0.047894396,-0.13096629,1.6185539,488.1152,0.11712338,0.16159046,0.30197698,0.4795954,0.6623595,inf,inf,inf,inf,1,1,1,1,1,0,1,1,1,1,1
1332000,792000,47.3977419,8.545594,0.007849082,0.006294203,-0.045430012,-2.0489163e-06,7.104236e-07,0.0,0.023465453,0.0230553,-0.11610546,-0.11507875,-0.00051222905,0.00017760589,0.0,0.042761892,0.0204464,-0.10331719,1.617925,488.1152,0.12009404,0.15061721,0.30190006,0.39260045,0.62477654,inf,inf,inf,inf,1,1,1,1,1,0,1,1,1,1,1
1436000,792000,47.3977419,8.545594,0.0092399,0.00824654,-0.057176787,-2.0489163e-06,7.104236e-07,0.0,0.027565258,0.02969032,-0.1293506,-0.12687625,-0.00051222905,0.00017760589,0.0,0.018235354,0.055979367,-0.13648158,1.6176575,488.1152,0.124861255,0.14118983,0.30207488,0.33139804,0.5809963,inf,inf,inf,inf,1,1,1,1,1,0,1,1,1,1,1
1532000,792000,47.3977419,8.545594,0.010466148,0.010273458,-0.06756151,-2.0489163e-06,7.104236e-07,0.0,0.028268425,0.03436154,-0.13802491,-0.13287869,-0.00051222905,0.00017760589,0.0,0.0399118,0.04038229,-0.1174882,1.6179186,488.1152,0.13295992,0.13424231,0.30130935,0.29509413,0.5403305,inf,inf,inf,inf,1,1,1,1,1,0,1,1,1,1,1
1636000,792000,47.3977419,8.545594,0.011816647,0.012646045,-0.07481942,-2.0489163e-06,7.104236e-07,0.0,0.030753277,0.03938692,-0.14304179,-0.13089041,-0.00051222905,0.00017760589,0.0,0.08579291,0.03263756,-0.22860895,1.6186332,488.1152,0.14432788,0.1282676,0.29914737,0.270853,0.49822637,inf,inf,inf,inf,1,1,1,1,1,0,1,1,1,1,1
1732000,792000,47.3977419,8.545594,0.013057006,0.015012793,-0.07891064,-2.0489163e-06,7.104236e-07,0.0,0.033238627,0.043492533,-0.14577715,-0.1255579,-0.00051222905,0.00017760589,0.0,-0.009196752,0.0801941,-0.11919345,1.6193353,488.1152,0.14366183,0.12398682,0.29605448,0.25833756,0.4624603,inf,inf,inf,inf,1,1,1,1,1,0,1,1,1,1,1
1836000,792000,47.3977419,8.545594,0.014382707,0.017651225,-0.08280511,-2.0489163e-06,7.104236e-07,0.0,0.035590876,0.048707906,-0.14608392,-0.118087985,-0.00051222905,0.00017760589,0.0,0.059175216,0.062597275,-0.14453007,1.6199058,488.1152,0.14680383,0.12053264,0.29183292,0.25214803,0.42783272,inf,inf,inf,inf,1,1,1,1,1,0,1,1,1,1,1
1932000,792000,47.3977419,8.545594,0.015606152,0.020182747,-0.08713386,-2.0489163e-06,7.104236e-07,0.0,0.03652937,0.05344747,-0.1475793,-0.11433053,-0.00051222905,0.00017760589,0.0,0.07151303,0.07595664,-0.03439467,1.6205443,488.1152,0.1494235,0.11831924,0.28743222,0.25085783,0.39990535,inf,inf,inf,inf,1,1,1,1,1,0,1,1,1,1,1
2036000,792000,47.3977419,8.545594,0.016977957,0.023024028,-0.088636525,-2.0489163e-06,7.104236e-07,0.0,0.040101666,0.05934887,-0.14876997,-0.1074829,-0.00051222905,0.00017760589,0.0,0.082056575,0.1296139,-0.16620195,1.6213996,488.1152,0.15335602,0.116838045,0.2824052,0.25216812,0.3739625,inf,inf,inf,inf,1,1,1,1,1,0,1,1,1,1,1
2132000,792000,47.3977419,8.545594,0.018192254,0.025674235,-0.08782283,-2.0489163e-06,7.104236e-07,0.0,0.040348414,0.062236506,-0.14759153,-0.09766533,-0.00051222905,0.00017760589,0.0,0.035557296,0.09794624,-0.14381017,1.6220711,488.1152,0.15871307,0.11616964,0.277726,0.25444272,0.3537687,inf,inf,inf,inf,1,1,1,1,1,0,1,1,1,1,1
2236000,792000,47.3977419,8.545594,0.0193066,0.028281374,-0.08677105,-2.0489163e-06,7.104236e-07,0.0,0.041843943,0.064648956,-0.14599356,-0.08814615,-0.00051222905,0.00017760589,0.0,0.07470986,0.14688048,-0.19079353,1.6224296,488.1152,0.15547982,0.116013706,0.27277952,0.25690737,0.33560646,inf,inf,inf,inf,1,1,1,1,1,0,1,1,1,1,1
2332000,792000,47.3977419,8.545594,0.020093154,0.030468106,-0.086170785,-2.0489163e-06,7.104236e-07,0.0,0.04010225,0.067877114,-0.14596725,-0.08222007,-0.00051222905,0.00017760589,0.0,0.05820316,0.094874844,-0.06876233,1.6229922,488.1152,0.15026018,0.11621344,0.26843172,0.25840953,0.32191044,inf,inf,inf,inf,1,1,1,1,1,0,1,1,1,1,1
2432000,792000,47.3977419,8.545594,0.020759799,0.032837193,-0.08874687,-2.0489163e-06,7.104236e-07,0.0,0.040483132,0.0726371,-0.14870016,-0.082286835,-0.00051222905,0.00017760589,0.0,0.06431773,0.10232095,-0.1205901,1.6232948,488.1152,0.14312273,0.11657557,0.2643627,0.25880417,0.31080407,inf,inf,inf,inf,1,1,1,1,1,0,1,1,1,1,1
2536000,792000,47.3977419,8.545594,0.02098566,0.03478948,-0.09297239,-2.0489163e-06,7.104236e-07,0.0,0.03989009,0.075632446,-0.15396218,-0.08639892,-0.00051222905,0.00017760589,0.0,0.07730293,0.09775393,-0.1493077,1.6235464,488.1152,0.14310618,0.11774482,0.26123118,0.25816393,0.3012564,inf,inf,inf,inf,1,1,1,1,1,0,1,1,1,1,1
2632000,792000,47.3977419,8.545594,0.020886702,0.036340702,-0.095271766,-2.0489163e-06,7.104236e-07,0.0,0.038513403,0.07637473,-0.15638885,-0.08570279,-0.00051222905,0.00017760589,0.0,-0.0023341707,0.045057993,-0.18290709,1.6240294,488.1152,0.1452496,0.11778628,0.25764918,0.25550765,0.294278,inf,inf,inf,inf,1,1,1,1,1,0,1,1,1,1,1
2736000,792000,47.3977419,8.545594,0.020576192,0.037591167,-0.098311976,-2.0489163e-06,7.104236e-07,0.0,0.03877604,0.0785812,-0.15862085,-0.08505761,-0.00051222905,0.00017760589,0.0,0.07341035,0.1559605,-0.15419255,1.6249292,488.1152,0.14511009,0.11773879,0.25422603,0.2516242,0.28855175,inf,inf,inf,inf,1,1,1,1,1,0,1,1,1,1,1
2832000,792000,47.3977419,8.545594,0.020201227,0.038423076,-0.1004105,-2.0489163e-06,7.104236e-07,0.0,0.038705893,0.07823522,-0.15955928,-0.08259265,-0.00051222905,0.00017760589,0.0,0.0305204,0.1334841,-0.0050403173,1.6255876,488.1152,0.14620313,0.11757039,0.25148067,0.24734522,0.2846326,inf,inf,inf,inf,1,1,1,1,1,0,1,1,1,1,1
2936000,792000,47.3977419,8.545594,0.019685546,0.038909048,-0.103264496,-2.0489163e-06,7.104236e-07,0.0,0.036756966,0.077561714,-0.15982004,-0.08004625,-0.00051222905,0.00017760589,0.0,0.064901724,0.09223181,-0.19138305,1.6262707,488.1152,0.14644158,0.117241204,0.24893832,0.2421966,0.28153974,inf,inf,inf,inf,1,1,1,1,1,0,1,1,1,1,1
3032000,792000,47.3977419,8.545594,0.018931704,0.03892698,-0.106190845,-2.0489163e-06,7.104236e-07,0.0,0.034125082,0.07569182,-0.1629617,-0.08096057,-0.00051222905,0.00017760589,0.0,0.009753173,0.0036614654,-0.14102179,1.626878,488.1152,0.1405823,0.11681124,0.24696769,0.23718424,0.27948615,inf,inf,inf,inf,1,1,1,1,1,0,1,1,1,1,1
3136000,792000,47.3977419,8.545594,0.017818328,0.03877203,-0.11160397,-2.0489163e-06,7.104236e-07,0.0,0.029863236,0.07725725,-0.16580005,-0.0834474,-0.00051222905,0.00017760589,0.0,-0.05751714,0.10881305,-0.07872655,1.6276724,488.1152,0.14040104,0.116231166,0.24520887,0.23175502,0.2778724,inf,inf,inf,inf,1,1,1,1,1,0,1,1,1,1,1
3232000,792000,47.3977419,8.545594,0.016626013,0.038567476,-0.11571014,-2.0489163e-06,7.104236e-07,0.0,0.028250167,0.076850474,-0.16892609,-0.08491329,-0.00051222905,0.00017760589,0.0,0.014219068,0.12158174,-0.02033822,1.6282078,488.1152,0.14250085,0.11561844,0.24389905,0.2268754,0.2767472,inf,inf,inf,inf,1,1,1,1,1,0,1,1,1,1,1
3336000,792000,47.3977419,8.545594,0.015270044,0.038213752,-0.11973105,-2.0489163e-06,7.104236e-07,0.0,0.025458563,0.07526212,-0.1696686,-0.08329221,-0.00051222905,0.00017760589,0.0,-0.017719967,0.083510846,-0.0034114344,1.6289667,488.1152,0.14443597,0.11490013,0.2427782,0.22183962,0.27573356,inf,inf,inf,inf,1,1,1,1,1,0,1,1,1,1,1
3432000,792000,47.3977419,8.545594,0.013691646,0.037739225,-0.12385408,-2.0489163e-06,7.104236e-07,0.0,0.020540345,0.07374536,-0.17131776,-0.08343138,-0.00051222905,0.00017760589,0.0,0.051700506,0.06684457,-0.118338495,1.6296574,488.1152,0.14150219,0.114213675,0.24197847,0.21758427,0.27484635,inf,inf,inf,inf,1,1,1,1,1,0,1,1,1,1,1
3536000,792000,47.3977419,8.545594,0.011763848,0.037101313,-0.12803382,-2.0489163e-06,7.104236e-07,0.0,0.015675258,0.07161121,-0.17143765,-0.08155492,-0.00051222905,0.00017760589,0.0,0.00270523,0.1464721,-0.13575795,1.630385,488.1152,0.14506298,0.11346838,0.24132009,0.21335013,0.27380988,inf,inf,inf,inf,1,1,1,1,1,0,1,1,1,1,1
