timestamp,nav_state_timestamp,onboard_control_sensors_present,onboard_control_sensors_enabled,onboard_control_sensors_health,nav_state,arming_state,hil_state,failsafe,system_type,system_id,component_id,vehicle_type,is_vtol,is_vtol_tailsitter,vtol_fw_permanent_stab,in_transition_mode,in_transition_to_fw,rc_signal_lost,rc_input_mode,data_link_lost,data_link_lost_counter,high_latency_data_link_lost,engine_failure,mission_failure,failure_detector_status
12000,12000,63,2162719,47,0,1,0,0,1,1,1,2,0,0,0,0,0,1,1,1,0,0,0,0,0
612000,12000,63,2162719,63,0,1,0,0,1,1,1,2,0,0,0,0,0,1,1,0,0,0,0,0,0
1620000,12000,63,2162719,63,0,1,0,0,1,1,1,2,0,0,0,0,0,1,1,0,0,0,0,0,0
1644000,12000,63,2162719,63,0,1,0,0,1,1,1,2,0,0,0,0,0,1,1,0,0,0,0,0,0
1740000,12000,63,2162719,63,0,1,0,0,1,1,1,2,0,0,0,0,0,1,1,0,0,0,0,0,0
2028000,12000,65599,2162719,65599,0,1,0,0,1,1,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0
3036000,12000,65599,2162719,65599,0,1,0,0,1,1,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0
4044000,12000,65599,2162719,65599,0,1,0,0,1,1,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0
5004000,12000,65599,2162719,65599,0,1,0,0,1,1,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0
5016000,12000,65599,2162719,65599,0,1,0,0,1,1,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0
6024000,12000,65599,2162719,65599,0,1,0,0,1,1,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0
6336000,12000,65599,2162719,2162751,0,1,0,0,1,1,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0
7344000,12000,65599,2162719,2162751,0,1,0,0,1,1,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0
8352000,12000,65599,2162719,2162751,0,1,0,0,1,1,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0
