timestamp,windspeed_north,windspeed_east,variance_north,variance_east,tas_innov,tas_innov_var,tas_scale,beta_innov,beta_innov_var
984000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1984000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2984000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3984000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4984000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5984000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6984000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7984000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8984000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9984000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10984000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11984000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12984000,0.005152695,-0.006936319,0.089689024,0.1894121,0.0,0.0,1.0,0.04535414,0.09024362
13984000,0.0042551677,-0.006211565,0.09786225,0.19798556,0.0,0.0,1.0,-0.0045163743,0.09016472
14984000,0.0016255997,-0.004785707,0.1082503,0.20947376,0.0,0.0,1.0,-0.010742638,0.09018118
15984000,-0.006740105,-0.0027713324,0.11622092,0.21932606,0.0,0.0,1.0,-0.018181205,0.09021568
16984000,-0.020045629,-0.0016102927,0.12330869,0.2293021,0.0,0.0,1.0,-0.024282528,0.09026003
17984000,-0.034193374,0.00017096668,0.12956598,0.23924026,0.0,0.0,1.0,-0.020020645,0.090297155
18984000,-0.047370058,0.0022202276,0.13505529,0.24912924,0.0,0.0,1.0,-0.018585239,0.090328015
19984000,-0.061837345,0.0042401487,0.13994105,0.25902548,0.0,0.0,1.0,-0.01993816,0.09035149
20984000,-0.07851971,0.0057918313,0.1443176,0.26897094,0.0,0.0,1.0,-0.022191333,0.090370946
21984000,-0.09758733,0.006432403,0.14823906,0.2789577,0.0,0.0,1.0,-0.02442411,0.090388544
22984000,-0.1186826,0.005868979,0.15171976,0.28894678,0.0,0.0,1.0,-0.024989754,0.09040567
23984000,-0.14068422,0.004007518,0.15476936,0.2988907,0.0,0.0,1.0,-0.02558897,0.09042784
24984000,-0.16807221,6.278639e-05,0.15640222,0.30871153,0.0,0.0,1.0,-0.029410172,0.09054209
25984000,-0.19692087,-0.0042029107,0.15650657,0.31849226,0.0,0.0,1.0,-0.025860377,0.09060326
26984000,-0.22195198,-0.0077229454,0.15612152,0.3282818,0.0,0.0,1.0,-0.021588003,0.09062032
27984000,-0.24313204,-0.011219822,0.15570705,0.33798832,0.0,0.0,1.0,-0.018506197,0.09062065
28984000,-0.2616471,-0.0153251225,0.15534167,0.34746426,0.0,0.0,1.0,-0.01663394,0.09061793
29984000,-0.27930987,-0.020590942,0.15499283,0.35653332,0.0,0.0,1.0,-0.016307559,0.09060941
30984000,-0.29226503,-0.025500773,0.15747672,0.36544052,0.0,0.0,1.0,-0.012579493,0.090445526
31984000,-0.30068856,-0.02973503,0.16122434,0.3738298,0.0,0.0,1.0,-0.0103303995,0.09045839
32984000,-0.30889726,-0.03459917,0.16299053,0.38091424,0.0,0.0,1.0,-0.00771407,0.09047178
33984000,-0.31581518,-0.038992986,0.16443628,0.38745427,0.0,0.0,1.0,-0.0063501154,0.09048472
34984000,-0.32110882,-0.042425673,0.16561338,0.39373958,0.0,0.0,1.0,-0.004699029,0.090494305
35984000,-0.32367784,-0.044097595,0.16658689,0.39989403,0.0,0.0,1.0,-0.0006099046,0.0905006
36984000,-0.32202068,-0.04300576,0.16738932,0.40593347,0.0,0.0,1.0,0.0035689566,0.090506926
37984000,-0.31632516,-0.03924041,0.16804335,0.4118561,0.0,0.0,1.0,0.0070801633,0.090512894
38984000,-0.30691352,-0.032931294,0.16854203,0.41759244,0.0,0.0,1.0,0.010577816,0.090520054
39984000,-0.29467583,-0.024554132,0.16886467,0.42305905,0.0,0.0,1.0,0.012738954,0.09053139
40984000,-0.2785671,-0.01325764,0.16755359,0.42749757,0.0,0.0,1.0,0.016769363,0.09067613
41984000,-0.25387937,0.0032803817,0.16475695,0.43173584,0.0,0.0,1.0,0.023718635,0.090718284
42984000,-0.22348809,0.022605756,0.16208045,0.43660578,0.0,0.0,1.0,0.02714697,0.09071106
43984000,-0.19036838,0.04356375,0.15985669,0.44171008,0.0,0.0,1.0,0.029388342,0.09069669
44984000,-0.15658599,0.06578577,0.15801285,0.446581,0.0,0.0,1.0,0.02988253,0.09068541
45984000,-0.12373057,0.088763684,0.15638374,0.45088026,0.0,0.0,1.0,0.028148495,0.090682395
46984000,-0.092818394,0.111836605,0.15484491,0.45444125,0.0,0.0,1.0,0.02674472,0.09068402
47984000,-0.064443745,0.13427855,0.15333714,0.45722592,0.0,0.0,1.0,0.02346289,0.09068914
48984000,-0.04066562,0.15411043,0.15183896,0.45921212,0.0,0.0,1.0,0.019726172,0.090693705
49984000,-0.019411612,0.17243958,0.15041189,0.4607084,0.0,0.0,1.0,0.018287424,0.09069365
50984000,0.000738787,0.19015448,0.1491156,0.46197698,0.0,0.0,1.0,0.018319558,0.090690374
51984000,0.021159278,0.20834321,0.14796601,0.46312976,0.0,0.0,1.0,0.018011438,0.09068824
52984000,0.040791113,0.22601464,0.1469332,0.46418837,0.0,0.0,1.0,0.017577613,0.09068622
53984000,0.05982251,0.24331957,0.14598379,0.46513423,0.0,0.0,1.0,0.017072873,0.09068633
54984000,0.07782882,0.2598278,0.14509766,0.46598276,0.0,0.0,1.0,0.016319849,0.09068683
55984000,0.09576231,0.27638993,0.14427072,0.46674722,0.0,0.0,1.0,0.016362794,0.0906875
56984000,0.113202676,0.29260892,0.14350192,0.46743295,0.0,0.0,1.0,0.015891988,0.09068678
57984000,0.13012548,0.30844262,0.14280944,0.4680714,0.0,0.0,1.0,0.015241673,0.09068522
58984000,0.147044,0.32432592,0.14219332,0.4687142,0.0,0.0,1.0,0.01565036,0.090683535
59984000,0.16482808,0.3410807,0.14162971,0.46933752,0.0,0.0,1.0,0.016750751,0.090683736
60984000,0.18339588,0.3586475,0.14112192,0.46993187,0.0,0.0,1.0,0.017412916,0.09068129
61984000,0.20165147,0.37601876,0.14066838,0.47046453,0.0,0.0,1.0,0.016203314,0.09068205
62984000,0.21717384,0.3908818,0.14115077,0.47173703,0.0,0.0,1.0,0.015393693,0.090687335
63984000,0.22995566,0.40317035,0.14247017,0.4737129,0.0,0.0,1.0,0.01433887,0.0906974
64984000,0.24227351,0.41501892,0.14361906,0.4755226,0.0,0.0,1.0,0.013606427,0.090703756
65984000,0.25474167,0.42704734,0.14364606,0.47623935,0.0,0.0,1.0,0.012019159,0.09070402
66984000,0.2671765,0.43907124,0.14271724,0.4760202,0.0,0.0,1.0,0.01110041,0.09069881
67984000,0.2788182,0.4503361,0.1419215,0.47591144,0.0,0.0,1.0,0.010224831,0.09069542
68984000,0.28849447,0.4597205,0.14122239,0.4758463,0.0,0.0,1.0,0.008337344,0.090693094
69984000,0.29657573,0.46756744,0.14060046,0.47583017,0.0,0.0,1.0,0.0067966795,0.09069161
70984000,0.3031202,0.4739249,0.1400697,0.47589207,0.0,0.0,1.0,0.0052864454,0.09068703
71984000,0.30812544,0.47878075,0.13964507,0.47608078,0.0,0.0,1.0,0.0039897026,0.09068345
72984000,0.3118448,0.48238268,0.13929206,0.47637144,0.0,0.0,1.0,0.0035219349,0.09068066
73984000,0.31530517,0.4857315,0.13898803,0.47671852,0.0,0.0,1.0,0.0028585133,0.090680055
74984000,0.3180738,0.4884177,0.13871595,0.4770456,0.0,0.0,1.0,0.0022077425,0.09067942
75984000,0.31977537,0.49007255,0.13847414,0.47735295,0.0,0.0,1.0,0.00081617443,0.09067863
76984000,0.31992278,0.49021602,0.1382717,0.477682,0.0,0.0,1.0,-9.3790564e-05,0.090676054
77984000,0.31942296,0.48972985,0.13813397,0.47809112,0.0,0.0,1.0,-0.00034533814,0.09067277
78984000,0.31969208,0.48999003,0.13806543,0.47864613,0.0,0.0,1.0,0.00080121745,0.09066746
79984000,0.32137242,0.4916075,0.13805732,0.47936624,0.0,0.0,1.0,0.0024248539,0.0906656
80984000,0.3243549,0.49447438,0.13808443,0.4801503,0.0,0.0,1.0,0.002960908,0.09066305
81984000,0.32737055,0.49737173,0.13813625,0.48096752,0.0,0.0,1.0,0.0028465611,0.09066185
82984000,0.33036095,0.5002429,0.13820082,0.4818082,0.0,0.0,1.0,0.0030882123,0.090660475
83984000,0.33258706,0.50238043,0.13824151,0.4826105,0.0,0.0,1.0,0.0015063024,0.09066582
84984000,0.3341011,0.5038618,0.13814424,0.48291913,0.0,0.0,1.0,0.0011212662,0.09067672
85984000,0.33465162,0.50441206,0.13787101,0.48254505,0.0,0.0,1.0,-0.00032908338,0.09068962
86984000,0.33390558,0.5036409,0.13743816,0.48145318,0.0,0.0,1.0,-0.0013929545,0.09070313
87984000,0.33020765,0.4995971,0.13673624,0.47897038,0.0,0.0,1.0,-0.007758184,0.09073609
88984000,0.30976954,0.47226977,0.13478886,0.46790138,0.0,0.0,1.0,-0.023177296,0.09096526
89984000,0.27555436,0.42041427,0.13152762,0.44751891,0.0,0.0,1.0,-0.032575328,0.09107564
90984000,0.23153129,0.34663716,0.12875953,0.42178276,0.0,0.0,1.0,-0.041196983,0.09116073
91984000,0.18040591,0.24852502,0.12759924,0.390857,0.0,0.0,1.0,-0.050117396,0.09120267
92984000,0.13185596,0.13802841,0.1294871,0.35902926,0.0,0.0,1.0,-0.053115115,0.091095835
93984000,0.094810806,0.031211842,0.1352021,0.33394107,0.0,0.0,1.0,-0.056987725,0.09083202
94984000,0.070075884,-0.07320814,0.14379527,0.3202082,0.0,0.0,1.0,-0.07044034,0.09053586
95984000,0.063390434,-0.159821,0.15365969,0.31777784,0.0,0.0,1.0,-0.07360263,0.09030531
