timestamp,differential_pressure_raw_pa,differential_pressure_filtered_pa,temperature
7992000,-1.1572492,-1.1572492,12.404602
8996000,236.32965,236.32965,12.4045105
9980000,330.78537,330.78537,12.399841
10988000,316.94705,316.94705,12.3732605
11996000,279.9515,279.9515,12.326416
12984000,261.76123,261.76123,12.283051
13988000,254.29768,254.29768,12.2465515
14996000,247.37486,247.37486,12.212463
16004000,241.61293,241.61293,12.179382
16988000,234.50822,234.50822,12.148224
17996000,231.04613,231.04613,12.117584
19004000,227.15396,227.15396,12.087769
19988000,217.41032,217.41032,12.059082
20996000,172.51039,172.51039,12.040649
22004000,228.1831,228.1831,12.034668
22992000,230.83275,230.83275,12.01828
23996000,232.44803,232.44803,11.994171
25004000,234.77557,234.77557,11.965088
25988000,229.97212,229.97212,11.933136
26996000,224.08923,224.08923,11.897186
28004000,218.73817,218.73817,11.861633
28988000,217.40282,217.40282,11.829834
29996000,212.92198,212.92198,11.7994995
31004000,206.79515,206.79515,11.764984
31988000,158.78523,158.78523,11.735657
32996000,145.03378,145.03378,11.727295
34004000,151.57808,151.57808,11.734497
34988000,165.74577,165.74577,11.746155
35996000,171.63933,171.63933,11.755798
37004000,168.50801,168.50801,11.759491
37988000,166.63829,166.63829,11.760315
38996000,164.186,164.186,11.760071
40004000,162.16838,162.16838,11.759369
40988000,159.77562,159.77562,11.758575
41996000,158.48308,158.48308,11.757843
43004000,156.08783,156.08783,11.757324
43988000,153.14198,153.14198,11.756958
44996000,152.45114,152.45114,11.756683
46004000,151.4474,151.4474,11.756409
46992000,150.19142,150.19142,11.7561035
47996000,170.74667,170.74667,11.756165
49004000,190.36165,190.36165,11.752716
49988000,153.62863,153.62863,11.748779
50996000,138.92319,138.92319,11.75531
52004000,142.37886,142.37886,11.77356
52988000,151.97179,151.97179,11.79538
53996000,158.26926,158.26926,11.816345
55004000,158.75069,158.75069,11.83493
55988000,157.94365,157.94365,11.852478
56996000,162.22168,162.22168,11.870911
58004000,164.90471,164.90471,11.889709
58988000,168.45634,168.45634,11.908325
59996000,170.58319,170.58319,11.927765
61004000,174.51514,174.51514,11.947632
61992000,177.92339,177.92339,11.967285
62996000,181.81914,181.81914,11.987701
64004000,184.12132,184.12132,12.008362
64988000,184.2213,184.2213,12.027069
66000000,178.85138,178.85138,12.03772
67004000,177.16934,177.16934,12.04483
67992000,169.08458,169.08458,12.05014
68996000,164.78278,164.78278,12.054779
70004000,162.30757,162.30757,12.059326
70988000,164.49286,164.49286,12.063507
71996000,164.63696,164.63696,12.067078
73004000,167.03308,167.03308,12.069733
73992000,165.91722,165.91722,12.071564
