timestamp,control[0],control[1],control[2],control[3],control[4]
33000000,0,0,0,0.5,0.5
33004000,0,0,0,0.5,0.5
33008000,0,0,0,0.5,0.5
33016000,0,0,0,0.5,0.5
33020000,0,0,0,0.5,0.5
33024000,0,0,0,0.5,0.5
33028000,0,0,0,0.5,0.5
33032000,0,0,0,0.5,0.5
33036000,0,0,0,0.5,0.5
33040000,0,0,0,0.5,0.5
33048000,0,0,0,0.5,0.5
33052000,0,0,0,0.5,0.5
33056000,0,0,0,0.5,0.5
33060000,0,0,0,0.5,0.5
33064000,0,0,0,0.5,0.5
33068000,0,0,0,0.5,0.5
33072000,0,0,0,0.5,0.5
33076000,0,0,0,0.5,0.5
33080000,0,0,0,0.5,0.5
33084000,0,0,0,0.5,0.5
33088000,0,0,0,0.5,0.5
33092000,0,0,0,0.5,0.5
33096000,0,0,0,0.5,0.5
33100000,0,0,0,0.5,0.5
33104000,0,0,0,0.5,0.5
33108000,0,0,0,0.5,0.5
33112000,0,0,0,0.5,0.5
33116000,0,0,0,0.5,0.5
33120000,0,0,0,0.5,0.5
33128000,0,0,0,0.5,0.5
33132000,0,0,0,0.5,0.5
33136000,0,0,0,0.5,0.5
33140000,0,0,0,0.5,0.5
33144000,0,0,0,0.5,0.5
33152000,0,0,0,0.5,0.5
33156000,0,0,0,0.5,0.5
33160000,0,0,0,0.5,0.5
33164000,0,0,0,0.5,0.5
33168000,0,0,0,0.5,0.5
33172000,0,0,0,0.5,0.5
33176000,0,0,0,0.5,0.5
33180000,0,0,0,0.5,0.5
33184000,0,0,0,0.5,0.5
33188000,0,0,0,0.5,0.5
33192000,0,0,0,0.5,0.5
33196000,0,0,0,0.5,0.5
33200000,0,0,0,0.5,0.5
33204000,0,0,0,0.5,0.5
33208000,0,0,0,0.5,0.5
33212000,0,0,0,0.5,0.5
33216000,0,0,0,0.5,0.5
33220000,0,0,0,0.5,0.5
33224000,0,0,0,0.5,0.5
33228000,0,0,0,0.5,0.5
33232000,0,0,0,0.5,0.5
33236000,0,0,0,0.5,0.5
33240000,0,0,0,0.5,0.5
33244000,0,0,0,0.5,0.5
33248000,0,0,0,0.5,0.5
33252000,0,0,0,0.5,0.5
33256000,0,0,0,0.5,0.5
33260000,0,0,0,0.5,0.5
33264000,0,0,0,0.5,0.5
33268000,0,0,0,0.5,0.5
33272000,0,0,0,0.5,0.5
33276000,0,0,0,0.5,0.5
33280000,0,0,0,0.5,0.5
33288000,0,0,0,0.5,0.5
33292000,0,0,0,0.5,0.5
33296000,0,0,0,0.5,0.5
33304000,0,0,0,0.5,0.5
33308000,0.020607682,0.016436737,0.000790737,0,0.49
33312000,0.021267414,0.016418893,0.00064861,0,0.48000002
33316000,0.022228565,0.016306093,0.000463318,0,0.47000003
33320000,0.03201872,0.016129328,-0.005843415,0.15,0.46000004
33324000,0.031416614,0.015839169,-0.005989741,0.15,0.45000005
33328000,0.030193772,0.015712807,-0.006087095,0.15,0.44000006
33332000,0.029716086,0.015715607,-0.005966091,0.15,0.43000007
33336000,0.030034743,0.015786327,-0.005779455,0.15,0.42000008
33340000,0.03090274,0.015789513,-0.00576746,0.15,0.4100001
33344000,0.032051153,0.015618488,-0.005792866,0.15,0.4000001
33352000,0.03256009,0.015424675,-0.005580145,0.15,0.3800001
33356000,0.03145245,0.015857624,-0.005306517,0.15,0.37000012
33360000,0.03097348,0.016139064,-0.005621528,0.15,0.36000013
33364000,0.030854827,0.016300289,-0.005951548,0.15,0.35000014
33368000,0.030740485,0.016399775,-0.005939628,0.15,0.34000015
33372000,0.03059025,0.01631866,-0.005632001,0.15,0.33000016
33376000,0.030616606,0.016023407,-0.005281211,0.15,0.32000017
33380000,0.031015238,0.015743803,-0.005006632,0.15,0.31000018
33384000,0.031625386,0.01563374,-0.005024675,0.15,0.3000002
33388000,0.03168271,0.015647124,-0.00521493,0.15,0.2900002
33392000,0.030959325,0.01576879,-0.0052092,0.15,0.2800002
33396000,0.030631756,0.01595043,-0.005150585,0.15,0.27000022
33400000,0.031159436,0.01605417,-0.00530177,0.15,0.26000023
33404000,0.031635635,0.01604435,-0.00562795,0.15,0.25000024
33408000,0.031890683,0.016086368,-0.005916736,0.15,0.24000023
33416000,0.0313638,0.015903054,-0.005776924,0.15,0.22000022
33424000,0.03167021,0.015508221,-0.005617515,0.15,0.20000021
33428000,0.032058373,0.015647957,-0.00547385,0.15,0.1900002
33432000,0.03236161,0.015936883,-0.005483901,0.15,0.1800002
33436000,0.033231508,0.016142929,-0.005517671,0.15,0.1700002
33440000,0.03387099,0.016251577,-0.005435812,0.15,0.16000019
33444000,0.032847587,0.016344527,-0.005493524,0.15,0.15000018
33448000,0.03168988,0.016309809,-0.00575543,0.15,0.14000018
33452000,0.03221634,0.016039953,-0.006060936,0.15,0.13000017
33456000,0.032984946,0.015742583,-0.006213594,0.15,0.120000176
33460000,0.032685887,0.015673148,-0.0060202,0.15,0.11000018
33464000,0.032332756,0.015742159,-0.005712744,0.15,0.10000018
33468000,0.03243994,0.01577858,-0.005580807,0.15,0.09000018
33472000,0.032247074,0.015871117,-0.005550337,0.15,0.080000184
33476000,0.0316452,0.015893603,-0.005485858,0.15,0.07000019
33480000,0.031101478,0.015737228,-0.005330895,0.15,0.06000019
33484000,0.030531863,0.015592087,-0.005217652,0.15,0.05000019
33488000,0.030421516,0.01553377,-0.005356356,0.15,0.040000193
33492000,0.03131944,0.015583108,-0.00567282,0.15,0.030000193
33496000,0.032362852,0.015713103,-0.005955146,0.15,0.020000193
33500000,0.032597177,0.015734581,-0.006204365,0.15,0.010000194
33504000,0.03230377,0.015814982,-0.006364934,0.15,1.94E-07
33508000,0.03197147,0.01608348,-0.006341193,0.15,0
33512000,0.03163991,0.016186517,-0.006229231,0.15,0
33516000,0.031675052,0.016126767,-0.006082179,0.15,0
33520000,0.03237291,0.016100386,-0.005984578,0.15,0
33524000,0.033488218,0.016055468,-0.005934041,0.15,0
33528000,0.033576105,0.016024066,-0.00581286,0.15,0
33532000,0.031934906,0.016193502,-0.005678632,0.15,0
33536000,0.03069644,0.016418956,-0.005777218,0.15,0
33540000,0.031008424,0.01650538,-0.005972589,0.15,0
33544000,0.031501517,0.016615417,-0.005935399,0.15,0
33548000,0.031317916,0.016705636,-0.005928038,0.15,0
33552000,0.030733783,0.016722146,-0.006081941,0.15,0
33556000,0.030483164,0.016623555,-0.006090892,0.15,0
33560000,0.031260036,0.016418349,-0.005881453,0.15,0
33568000,0.031873237,0.015807424,-0.005106615,0.15,0
33572000,0.031100588,0.015626095,-0.00483607,0.15,0
33576000,0.030489791,0.015665203,-0.004814745,0.15,0
33580000,0.030387118,0.015860949,-0.004980801,0.15,0
33584000,0.030477652,0.016220286,-0.005214494,0.15,0
33588000,0.030053556,0.016736561,-0.005394947,0.15,0
33592000,0.029961988,0.017127143,-0.00551864,0.15,0
33600000,0.032308046,0.016661866,-0.006024369,0.15,0
33604000,0.03339448,0.01650976,-0.006159787,0.15,0
33608000,0.033335507,0.016440948,-0.006127804,0.15,0
33612000,0.032947436,0.016250785,-0.00602237,0.15,0
33616000,0.032788157,0.015997812,-0.005789033,0.15,0
33620000,0.032344896,0.015749436,-0.005450008,0.15,0
33624000,0.031583775,0.015604361,-0.0053527,0.15,0
33628000,0.03117622,0.015659172,-0.005495125,0.15,0
33632000,0.03146348,0.015885143,-0.005608419,0.15,0
33636000,0.031340055,0.016116938,-0.005747799,0.15,0
33640000,0.030164303,0.016128784,-0.005861763,0.15,0
33644000,0.029177042,0.016011123,-0.005830148,0.15,0
33648000,0.029067129,0.015905757,-0.005729234,0.15,0
33652000,0.029267529,0.01577503,-0.005664995,0.15,0
33656000,0.029280255,0.015786638,-0.005664528,0.15,0
33660000,0.03110693,0.016189266,-0.005631269,0.15,0
33668000,0.032199856,0.016626684,-0.005823697,0.15,0
33672000,0.033046413,0.016521443,-0.005845823,0.15,0
33680000,0.032331277,0.01627348,-0.00578713,0.15,0
33684000,0.031862244,0.016202204,-0.005738716,0.15,0
33688000,0.03198257,0.016024515,-0.005588206,0.15,0
33696000,0.03151241,0.016160775,-0.005431747,0.15,0
33704000,0.030388756,0.016270708,-0.00588674,0.15,0
33708000,0.030102205,0.015997937,-0.005850223,0.15,0
33712000,0.030232217,0.015666215,-0.005683994,0.15,0
33716000,0.030388467,0.015524926,-0.005597827,0.15,0
33720000,0.030684648,0.015636167,-0.005639763,0.15,0
33724000,0.031201037,0.015934201,-0.005656934,0.15,0
33728000,0.031307567,0.016270632,-0.005694183,0.15,0
33732000,0.030877318,0.016330468,-0.005716549,0.15,0
33736000,0.030901002,0.016162572,-0.005576188,0.15,0
33740000,0.031770978,0.016023038,-0.005331535,0.15,0
33744000,0.03178877,0.016034123,-0.005240803,0.15,0
33748000,0.030995468,0.01613612,-0.005389553,0.15,0
33752000,0.031014884,0.016149074,-0.005623143,0.15,0
33756000,0.031286687,0.016252784,-0.00581743,0.15,0
33760000,0.031448167,0.016493836,-0.005799505,0.15,0
33764000,0.03243895,0.016596321,-0.005551604,0.15,0
33768000,0.033903178,0.016569778,-0.005256383,0.15,0
33772000,0.034805555,0.016572783,-0.005101714,0.15,0
33776000,0.034813497,0.016572302,-0.005101595,0.15,0
33780000,0.033248488,0.016315948,-0.005338521,0.15,0
33784000,0.03132456,0.016107183,-0.005585948,0.15,0
33788000,0.030099606,0.015957028,-0.005934875,0.15,0
33792000,0.030303515,0.015985765,-0.006026403,0.15,0
33796000,0.030609649,0.01618727,-0.005691856,0.15,0
33800000,0.030626902,0.016357336,-0.005294233,0.15,0
33804000,0.031157477,0.0164358,-0.005159675,0.15,0
33808000,0.03163227,0.016518481,-0.005203897,0.15,0
33812000,0.032173753,0.016554428,-0.005182646,0.15,0
33816000,0.03263068,0.016334724,-0.005278062,0.15,0
33820000,0.032207787,0.01592999,-0.00557465,0.15,0
