timestamp,gyro_rad[0],gyro_rad[1],gyro_rad[2],accelerometer_m_s2[0],accelerometer_m_s2[1],accelerometer_m_s2[2]
33000000,-0.00024082,-0.004164421,-0.001567773,-0.09451174,0.15214983,-9.944138
33004000,-0.000544661,-0.007162127,-0.003168979,-0.0652564,0.15247609,-9.920889
33008000,-0.00054618,-0.006552347,0.003060096,-0.07779666,0.1979026,-9.9037
33016000,0.001408515,-0.00338234,0.009931615,-0.16538967,0.2855934,-9.913395
33020000,-0.003701581,0.00062415,0.000198191,-0.106689505,0.2578014,-9.907786
33024000,-3.98E-05,0.000920827,-0.004392707,-0.040251695,0.19536227,-9.880693
33032000,-0.001311587,-0.008438649,-0.008779885,-0.12653704,0.23309658,-9.921565
33036000,-4.96E-05,-0.007098375,-0.006252067,-0.05187924,0.24959646,-9.858054
33044000,0.00197839,-0.001265184,0.004218746,-0.119320825,0.18112646,-9.904536
33048000,0.002626516,-0.005157888,-0.00266883,-0.17414202,0.16405906,-9.84799
33052000,0.002315018,-0.008052183,-0.003379103,-0.10847694,0.1808561,-9.937904
33056000,-0.000989986,-0.005160296,-0.000101119,-0.033971917,0.12113443,-10.00614
33060000,-0.005716221,-0.007477681,0.000135884,-0.06918854,0.1436054,-9.906321
33064000,-0.00511909,-0.010852217,0.000248059,-0.060581278,0.19526608,-9.822174
33068000,-0.001558037,-0.008032047,0.003202216,-0.06273409,0.16320796,-9.784889
33076000,0.004152385,-0.004627946,0.00182978,-0.13675737,0.20843363,-9.905784
33084000,-0.007816189,-0.003822483,0.001939088,-0.1405192,0.27777106,-9.921587
33092000,-0.000272973,-0.007416056,0.004851066,-0.10029625,0.15093486,-9.913351
33100000,0.002603724,-0.003332627,0.004265342,-0.041001204,0.24168794,-9.918838
33108000,-0.007572802,-0.008067547,-0.001499278,-0.18785428,0.21400364,-9.839553
33112000,-0.009163217,-0.011774738,-0.00344704,-0.1777366,0.22748591,-9.908761
33120000,-0.005410718,-0.000748247,-0.004533996,-0.1376917,0.2085247,-9.987312
33128000,0.001845647,-0.00759321,0.003854776,-0.1481642,0.28033417,-9.923797
33132000,-0.000875792,-0.004285136,0.004710855,-0.14209116,0.18688631,-9.843946
33136000,0.001638189,-0.002266732,-0.001592332,-0.16286989,0.13152148,-9.843081
33144000,-0.002964203,-0.003851682,-0.000339393,-0.07182243,0.22776406,-9.909813
33148000,-0.005665323,-0.003545526,-0.000717169,-0.09278073,0.29813778,-9.931124
33152000,-0.005935888,-0.006202127,0.001570864,-0.10730553,0.28808329,-9.957207
33156000,-0.004243717,-0.011433904,0.001678501,-0.16078456,0.21205088,-9.938693
33160000,-0.004522015,-0.009112498,0.003655315,-0.21666147,0.21089667,-9.934709
33164000,-0.007490395,-0.002970837,0.002562701,-0.15863064,0.18695158,-9.917819
33172000,-0.000429896,-0.001295836,0.001921623,-0.098904334,0.17935617,-9.891182
33176000,-0.002484012,-0.00117529,0.00301465,-0.0388889,0.21238446,-9.964873
33180000,-0.007533971,-0.0088915,-0.002105365,-0.032650694,0.19628169,-9.981497
33184000,-0.00255347,-0.0070982,-0.00770583,-0.09764564,0.10957122,-9.903037
33188000,0.004248811,-0.005985828,-0.009468224,-0.076144904,0.16047964,-9.892426
33192000,0.001106404,-0.0077515,-0.004883368,-0.18117563,0.21755765,-9.917683
33196000,-2.31E-05,-0.005663882,0.005387246,-0.19171704,0.15525939,-9.878035
33200000,-0.003386439,-0.005955589,0.005425603,-0.065973274,0.1476945,-9.861864
33204000,-0.002169905,-0.004678984,0.002404359,-0.0882745,0.14543054,-9.928882
33208000,0.004923462,-0.00575196,-1.38E-05,-0.10008025,0.21260798,-9.912935
33216000,0.004040719,-0.008465091,-0.000777673,-0.1310147,0.2074535,-9.921109
33220000,0.001546131,-0.006047111,0.001249726,-0.12324902,0.2029855,-9.846105
33224000,-0.004615146,-0.006458459,-0.002839618,-0.16766894,0.23156463,-9.870452
33232000,0.002186314,-0.006880056,-0.004606736,-0.062490158,0.22353305,-9.904957
33236000,-0.000378203,-0.002214436,-0.001260893,-0.119474694,0.19857544,-9.942068
33244000,-0.006989404,-0.009280073,0.002964255,-0.09377395,0.21154812,-9.892283
33252000,-0.004951262,-0.002341991,-0.003162972,-0.075477846,0.16252322,-9.897504
33256000,-0.000407814,-0.002777313,-0.00434688,-0.1206425,0.1494911,-9.879967
33260000,0.000755023,-0.001629821,-0.001687192,-0.045218807,0.18313944,-9.8316555
33264000,-0.001912708,-0.000234359,-0.000447996,-0.082402736,0.2616869,-9.960518
33268000,0.003105159,-0.008472246,0.00270663,-0.16467391,0.17036377,-10.036084
33276000,-0.007416531,-0.010372483,0.000913855,-0.097923145,0.16237,-9.850014
33280000,-0.000908726,-0.011369351,0.005598414,-0.1276318,0.16544336,-9.830645
33288000,-0.001572807,-0.006008423,-0.004550395,-0.10979923,0.234183,-9.899319
33292000,0.004230348,-0.00154914,-0.006017324,-0.15637659,0.22804756,-9.8650465
33296000,0.004408396,-0.00879002,-0.00995326,-0.12123549,0.21353833,-9.866206
33304000,0.001160448,-0.008822162,0.001415973,-0.11287609,0.16221108,-9.897988
33308000,-0.000758127,-0.007486901,-0.004320513,-0.12974548,0.27372095,-9.929622
33312000,-0.001392311,-0.009948722,0.002261523,-0.14926985,0.28096753,-9.927914
33316000,-0.005884785,-0.004912937,0.001213592,-0.07571198,0.2287606,-9.913111
33320000,-0.002134941,-0.001408138,0.001533498,-0.04789102,0.17348884,-9.9331875
33328000,0.00205491,-0.004141603,0.001266189,-0.14013596,0.22024329,-9.862952
33332000,-0.000566544,-0.004055353,-0.002172547,-0.18494163,0.17789279,-9.860957
33336000,-0.00195287,-0.005140284,-0.000366691,-0.17929065,0.19503216,-9.938458
33340000,-0.004743191,-0.001914998,0.004055885,-0.20276672,0.2397858,-9.913107
33344000,-0.006361931,0.001244414,-0.001717371,-0.14862813,0.17132789,-9.893825
