timestamp,lat,lon,alt,vel_m_s,vel_n_m_s,vel_e_m_s,vel_d_m_s,cog_rad
32988000,398714138,327364372,400131,0,0.02,0.02,-0.049999997,0.8356636
33192000,398714138,327364372,400119,0,-0.01,0,-0.049999997,3.4088025
33396000,398714138,327364372,400116,0,-0.01,0.02,0.01,2.1579251
33600000,398714137,327364371,400120,0,0,0,-0.02,5.5899405
33804000,398714138,327364372,400119,0,0,0,0,3.9547415
34008000,398714138,327364372,400117,0,0,0,0.06,4.764923
34212000,398714138,327364372,400116,0,0,0.01,-0.02,1.5144222
34416000,398714138,327364372,400121,0,0,0,0.01,3.3911748
34620000,398714138,327364461,400121,8.2,-0.02,8.19,-0.02,1.5734143
34824000,398714138,327364741,400126,14.589999,0.03,14.58,-0.049999997,1.5683528
35028000,398714139,327365154,400140,18.66,0.03,18.65,-0.04,1.5687019
35232000,398714138,327365621,400139,20.97,-0.17,20.98,-0.01,1.5788248
35436000,398714135,327366154,400160,22.359999,-0.099999994,22.369999,0,1.5753341
35640000,398714131,327366702,400183,23.23,-0.26999998,23.21,-0.17,1.5823154
35844000,398714122,327367253,400297,23.64,-0.78,23.619999,-0.95,1.603783
36048000,398714103,327367833,400564,23.81,-1.23,23.779999,-1.53,1.6226326
36252000,398714077,327368392,400932,23.83,-1.66,23.789999,-2.1299999,1.6407839
36456000,398714041,327368961,401439,23.73,-2.1499999,23.619999,-2.81,1.6617279
36660000,398713996,327369536,402090,23.57,-2.57,23.41,-3.4399998,1.6802284
36864000,398713946,327370083,402844,23.369999,-3.01,23.18,-4.0299997,1.7001251
37068000,398713885,327370646,403753,23.109999,-3.46,22.869999,-4.71,1.7212436
37272000,398713818,327371190,404787,22.81,-3.8,22.5,-5.44,1.7383479
37476000,398713745,327371714,405926,22.51,-4.19,22.13,-6,1.7580701
37680000,398713661,327372251,407218,22.289999,-4.79,21.77,-6.33,1.7873917
37884000,398713569,327372758,408511,22.14,-5.5,21.439999,-6.5899997,1.8217746
38088000,398713459,327373268,409864,22.039999,-6.35,21.119999,-6.64,1.8627899
38292000,398713331,327373776,411231,21.619999,-7.23,20.38,-6.5099998,1.912008
38496000,398713192,327374244,412527,21.08,-8.22,19.42,-6.2799997,1.9713494
38700000,398713027,327374709,413777,20.93,-9.28,18.75,-5.73,2.0303414
38904000,398712846,327375153,414888,20.99,-10.429999,18.23,-5.21,2.0903807
39108000,398712646,327375573,415877,21.039999,-11.69,17.47,-4.73,2.1603684
39312000,398712412,327375988,416827,21.07,-13.2,16.39,-4.43,2.248682
39516000,398712160,327376357,417703,21.07,-14.719999,15.08,-4.23,2.3439772
39720000,398711875,327376699,418549,21.07,-16.27,13.389999,-4.06,2.4530604
39924000,398711555,327377001,419376,21.07,-17.8,11.259999,-4,2.5771532
40128000,398711220,327377238,420146,21.1,-19.13,8.889999,-3.8799999,2.7061331
40332000,398710851,327377423,420947,21.18,-20.25,6.24,-3.8,2.8422685
40536000,398710470,327377541,421716,21.289999,-21,3.61,-3.7099998,2.9710739
40740000,398710088,327377596,422433,21.439999,-21.39,1.17,-3.48,3.0866146
40944000,398709684,327377594,423134,21.6,-21.55,-1.1999999,-3.23,3.1972687
41148000,398709296,327377540,423749,21.74,-21.48,-3.28,-2.8999999,3.2932618
41352000,398708902,327377437,424311,21.859999,-21.22,-5.25,-2.58,3.3841932
41556000,398708508,327377285,424820,21.939999,-20.74,-7.16,-2.31,3.4739032
41760000,398708139,327377096,425248,22,-20.14,-8.849999,-2.09,3.5557592
41964000,398707769,327376859,425652,22.029999,-19.359999,-10.5199995,-1.87,3.639535
42168000,398707422,327376587,426026,22.02,-18.39,-12.08,-1.75,3.7229617
42372000,398707100,327376284,426375,21.96,-17.26,-13.559999,-1.76,3.8074355
42576000,398706789,327375934,426777,21.859999,-15.889999,-15.0199995,-2.07,3.8987162
42780000,398706516,327375566,427241,21.699999,-14.36,-16.279999,-2.53,3.9894736
42984000,398706267,327375162,427837,21.48,-12.639999,-17.34,-3.24,4.0821505
43188000,398706046,327374728,428614,21.17,-10.95,-18.08,-4.2,4.167497
43392000,398705862,327374298,429552,20.8,-9.51,-18.5,-5.15,4.237485
43596000,398705696,327373844,430721,20.34,-8.23,-18.6,-6.1299996,4.2957788
43800000,398705553,327373399,432063,19.859999,-7.35,-18.44,-6.89,4.33278
44004000,398705425,327372968,433512,19.439999,-6.85,-18.18,-7.49,4.3519783
44208000,398705299,327372527,435123,19.08,-6.6,-17.89,-7.8599997,4.358785
44412000,398705180,327372110,436722,18.81,-6.64,-17.6,-8.05,4.3514547
44616000,398705056,327371692,438380,18.59,-6.83,-17.27,-8.15,4.3353977
44820000,398704925,327371274,440076,18.4,-7.22,-16.94,-8.19,4.309218
45024000,398704790,327370881,441696,18.25,-7.69,-16.56,-8.11,4.277453
