timestamp,output[2],output[3],output[4],output[5],output[6],output[7]
10000000,900,900,900,900,900,900
10004000,900,900,900,900,900,900
10008000,900,900,900,900,900,900
10012000,900,900,900,900,900,900
10016000,900,900,900,900,900,900
10020000,900,900,900,900,900,900
10024000,900,900,900,900,900,900
10028000,900,900,900,900,900,900
10032000,900,900,900,900,900,900
10036000,900,900,900,900,900,900
10040000,900,900,900,900,900,900
10048000,900,900,900,900,900,900
10052000,900,900,900,900,900,900
10056000,900,900,900,900,900,900
10060000,900,900,900,900,900,900
10064000,900,900,900,900,900,900
10068000,900,900,900,900,900,900
10072000,900,900,900,900,900,900
10076000,900,900,900,900,900,900
10080000,900,900,900,900,900,900
10084000,900,900,900,900,900,900
10088000,900,900,900,900,900,900
10092000,900,900,900,900,900,900
10096000,900,900,900,900,900,900
10100000,900,900,900,900,900,900
10104000,900,900,900,900,900,900
10108000,900,900,900,900,900,900
10112000,900,900,900,900,900,900
10116000,900,900,900,900,900,900
10120000,900,900,900,900,900,900
10124000,900,900,900,900,900,900
10128000,900,900,900,900,900,900
10132000,900,900,900,900,900,900
10136000,900,900,900,900,900,900
10140000,900,900,900,900,900,900
10148000,900,900,900,900,900,900
10152000,900,900,900,900,900,900
10156000,900,900,900,900,900,900
10160000,900,900,900,900,900,900
10164000,900,900,900,900,900,900
10168000,900,900,900,900,900,900
10172000,900,900,900,900,900,900
10176000,900,900,900,900,900,900
10180000,900,900,900,900,900,900
10184000,900,900,900,900,900,900
10188000,900,900,900,900,900,900
10192000,900,900,900,900,900,900
10196000,900,900,900,900,900,900
10200000,900,900,900,900,900,900
10204000,900,900,900,900,900,900
10208000,900,900,900,900,900,900
10212000,900,900,900,900,900,900
10216000,900,900,900,900,900,900
10220000,900,900,900,900,900,900
10224000,900,900,900,900,900,900
10228000,900,900,900,900,900,900
10232000,900,900,900,900,900,900
10236000,900,900,900,900,900,900
10240000,900,900,900,900,900,900
10244000,900,900,900,900,900,900
10252000,900,900,900,900,900,900
10256000,900,900,900,900,900,900
10260000,900,900,900,900,900,900
10264000,900,900,900,900,900,900
10268000,900,900,900,900,900,900
10272000,900,900,900,900,900,900
10276000,900,900,900,900,900,900
10280000,900,900,900,900,900,900
10284000,900,900,900,900,900,900
10288000,900,900,900,900,900,900
10292000,900,900,900,900,900,900
10296000,900,900,900,900,900,900
10300000,1499,1500,2000,1488,1511,1509
10304000,1499,1500,2000,1489,1510,1509
10308000,1499,1500,2000,1489,1510,1509
10312000,1499,1500,2000,1489,1510,1509
10316000,1499,1500,2000,1488,1511,1509
10320000,1499,1500,2000,1488,1511,1509
10324000,1499,1500,2000,1488,1511,1509
10328000,1499,1500,2000,1488,1511,1509
10332000,1500,1500,2000,1488,1511,1509
10336000,1500,1500,2000,1488,1511,1509
10340000,1500,1500,2000,1488,1511,1509
10344000,1500,1500,2000,1487,1512,1509
10348000,1500,1500,2000,1488,1511,1509
10352000,1500,1500,2000,1488,1511,1509
10356000,1499,1500,2000,1489,1510,1509
10364000,1498,1500,2000,1489,1510,1509
10368000,1499,1500,2000,1489,1510,1509
10372000,1499,1500,2000,1489,1510,1509
10376000,1499,1500,2000,1489,1510,1509
10380000,1499,1500,2000,1489,1510,1509
10384000,1500,1500,2000,1490,1509,1509
10388000,1500,1500,2000,1490,1509,1509
10392000,1500,1500,2000,1489,1510,1509
10396000,1500,1500,2000,1488,1511,1509
10400000,1499,1500,2000,1489,1510,1509
10404000,1499,1500,2000,1489,1510,1509
10408000,1499,1500,2000,1489,1510,1509
10412000,1499,1500,2000,1489,1510,1509
10416000,1500,1500,2000,1490,1509,1509
10420000,1500,1500,2000,1490,1509,1509
10424000,1499,1500,2000,1489,1510,1509
10428000,1500,1500,2000,1489,1510,1509
10432000,1500,1500,2000,1488,1511,1510
10436000,1500,1500,2000,1488,1511,1510
10440000,1500,1500,2000,1489,1510,1509
10444000,1501,1500,2000,1489,1510,1509
10448000,1502,1500,2000,1489,1510,1509
10452000,1502,1500,2000,1489,1510,1509
10456000,1501,1500,2000,1489,1510,1509
10460000,1501,1500,2000,1489,1510,1509
10464000,1500,1500,2000,1489,1510,1509
10468000,1500,1500,2000,1489,1510,1509
10472000,1500,1500,2000,1489,1510,1509
10476000,1501,1500,2000,1489,1510,1509
10480000,1501,1500,2000,1488,1511,1509
10484000,1501,1500,2000,1489,1510,1509
10488000,1500,1500,2000,1489,1510,1509
10492000,1500,1500,2000,1489,1510,1509
10496000,1500,1500,2000,1489,1510,1509
10500000,1500,1500,2000,1488,1511,1509
10504000,1500,1500,2000,1488,1511,1509
10508000,1500,1500,2000,1488,1511,1509
10512000,1499,1500,2000,1488,1511,1509
10516000,1499,1500,2000,1489,1510,1509
10520000,1500,1500,2000,1489,1510,1509
10524000,1500,1500,2000,1489,1510,1509
10528000,1500,1500,2000,1488,1511,1509
10532000,1500,1500,2000,1488,1511,1509
10536000,1500,1500,2000,1489,1510,1509
10540000,1500,1500,2000,1488,1511,1509
10548000,1500,1500,2000,1488,1511,1509
10556000,1500,1500,2000,1488,1511,1509
10560000,1500,1500,2000,1488,1511,1509
10564000,1500,1500,2000,1488,1511,1509
10568000,1500,1500,2000,1488,1511,1509
10572000,1500,1500,2000,1488,1511,1509
10576000,1500,1500,2000,1488,1511,1509
10580000,1500,1500,2000,1488,1511,1509
10584000,1500,1500,2000,1487,1512,1509
10588000,1500,1500,2000,1487,1512,1509
10596000,1500,1500,2000,1487,1512,1509
10604000,1500,1500,2000,1490,1509,1508
10608000,1500,1500,2000,1489,1510,1508
