timestamp,altitude_sp,altitude_filtered,height_rate_setpoint,height_rate,airspeed_sp,airspeed_filtered,airspeed_derivative_sp,airspeed_derivative,throttle_integ,pitch_integ
10600000,-0.014588135,-0.026588136,0.40060008,-0.2718205,10.195364,7.0219755,0.06346777,17.853577,0.21430978,-20.950579
10816000,-0.077352926,-0.08935293,0.40060008,-0.30932125,13.253943,13.73206,-0.00956234,20.293142,0.10999999,-19.022356
11008000,-0.11513008,-0.12713009,0.40060034,-0.3245455,13.253916,19.260101,-0.12012371,18.508615,0.10999999,-18.392223
11200000,-0.14171238,-0.15371239,0.40060034,-0.30391222,13.253896,23.124908,-0.19742025,15.3913555,0.10999999,-22.300371
11416000,-0.13914153,-0.15114154,0.40060034,0.049611382,13.254032,25.46478,-0.24421497,11.549439,0.10999999,-30.770771
11608000,0.006016324,-0.005983677,0.40060002,0.9730905,13.254086,26.157751,-0.2580733,8.414869,0.10999999,-40.052513
11800000,0.32477364,0.31277364,0.40059984,1.7634712,13.254315,25.979828,-0.25451025,5.9117937,0.10999999,-49.44346
12016000,0.8361367,0.8241367,0.40060085,2.4975498,13.254625,25.282927,-0.24056602,3.8111908,0.10999999,-59.062572
12208000,1.4202644,1.4082644,0.40059882,3.1797528,13.25501,24.524143,-0.22538267,2.4436438,0.10999999,-66.41403
12400000,2.1287959,2.1167958,0.40060282,3.8149717,13.255416,23.812494,-0.21114156,1.4478468,0.10999999,-72.63242
12616000,3.062525,3.050525,0.40060282,4.5082664,13.256023,23.174547,-0.19837047,0.6718622,0.10999999,-78.502686
12808000,4.0137835,4.0017834,0.40060282,5.143328,13.256656,22.764326,-0.1901534,0.17716895,0.10999999,-82.965706
13023999,5.2289653,5.2169657,0.40060356,5.834242,13.257182,22.467644,-0.18420923,-0.18754843,0.10999999,-87.37874
13215999,6.409442,6.3974423,0.40060356,6.2036686,13.258134,22.319899,-0.18123528,-0.354516,0.10999999,-90.95253
13408000,7.645305,7.6333046,0.40060204,6.4220586,13.25902,22.272545,-0.1802705,-0.4484543,0.10999999,-94.327484
13624000,9.074004,9.062004,0.40060282,6.53633,13.259624,22.287752,-0.18056257,-0.49880385,0.10999999,-98.00324
13816000,9.860427,10.339755,1.6140647,6.4815235,13.260589,22.321182,-0.18121187,-0.8252265,0.10712874,-98.09823
14008000,10.457218,11.58504,2.9268296,6.3071337,13.261412,22.088758,-0.17654693,-1.7254912,0.10127355,-95.21105
14224000,11.369051,12.92841,3.5281289,5.8808265,13.262216,21.643776,-0.16763121,-1.8192914,0.09481363,-92.25144
14416000,12.2684765,14.025124,3.7426004,5.337949,13.263025,21.326675,-0.161273,-1.5198488,0.08926588,-89.83857
14608000,13.202401,15.020801,3.8360882,4.897319,13.263579,21.198437,-0.15869714,-1.2009357,0.08383731,-87.53539
14824000,14.270326,16.049734,3.8827336,4.5421715,13.264252,21.209461,-0.15890418,-0.9511249,0.077764094,-84.96456
15016000,15.225978,16.910576,3.9035912,4.3185987,13.264762,21.258682,-0.1598784,-0.8107967,0.072362415,-82.64942
15208000,16.184107,17.73089,3.9174118,4.141404,13.265261,21.296032,-0.16061541,-0.70715827,0.06697279,-80.296
15424000,17.263247,18.614851,3.9304135,4.0143247,13.265732,21.34788,-0.16164295,-0.5747251,0.06093888,-77.5929
15616000,18.22294,19.380022,3.9412837,3.952383,13.266368,21.395739,-0.1625874,-0.4344546,0.055602208,-75.13019
15808000,19.182814,20.13763,3.9519055,3.894388,13.26683,21.467712,-0.16401763,-0.27917984,0.0502903,-72.60623
16024000,20.262758,20.96635,3.9647214,3.7815294,13.26733,21.549273,-0.16563885,-0.102468856,0.04433565,-69.68247
16216000,21.222742,21.673061,3.9774482,3.614055,13.2679205,21.645945,-0.16756047,0.020382632,0.03906144,-66.99831
16408000,22.18274,22.339731,3.9921784,3.3693871,13.268302,21.753681,-0.16970758,0.07489207,0.03380669,-64.22122
16624000,23.262743,23.034325,4.011449,3.0346997,13.268823,21.863018,-0.17188391,0.06890518,0.027931329,-60.97269
16816000,24.222748,23.592733,4.031465,2.7225513,13.269125,21.93221,-0.17326172,0.020834463,0.022774074,-57.97125
17008000,25.182755,24.095957,4.054368,2.4198246,13.2693615,21.994528,-0.17450333,-0.06243063,0.017718898,-54.86301
17224000,26.262762,24.598743,4.083229,2.1177537,13.269798,22.039536,-0.17539474,-0.18146278,0.012186062,-51.230747
17416000,27.222769,25.003284,4.1110024,1.9144219,13.270018,22.035892,-0.1753175,-0.29785937,0.00745329,-47.888405
17608000,28.182775,25.386488,4.1398425,1.7916946,13.270248,22.043427,-0.17546356,-0.40336826,0.002908345,-44.435127
17824000,29.262783,25.808178,4.1727586,1.7808867,13.270614,21.981709,-0.17422189,-0.51025623,-0.00193652,-40.435028
18016000,30.22279,26.201649,4.201085,1.9229889,13.270824,21.909113,-0.17276576,-0.5647218,-0.005982549,-36.791218
18208000,31.182796,26.649185,4.226709,2.2377455,13.271228,21.807356,-0.17072256,-0.56200194,-0.00977109,-33.08571
18424000,32.26279,27.259602,4.2501235,2.8088522,13.271508,21.69257,-0.16842122,-0.42585722,-0.013746981,-28.866112
18616000,33.222782,27.927605,4.2647233,3.4145195,13.271977,21.621763,-0.16699572,-0.19062239,-0.017085942,-25.082888
18808000,34.182774,28.723742,4.272916,4.049399,13.272565,21.595552,-0.16645975,0.0741037,-0.020313103,-21.277746
19024000,35.262764,29.757093,4.2752476,4.6175647,13.273155,21.611069,-0.16675827,0.23753297,-0.023909487,-16.97456
19216000,36.222755,30.766191,4.2727923,4.9663863,13.273939,21.58967,-0.16631462,0.20877017,-0.027107866,-13.152952
19408000,37.18275,31.835556,4.267324,5.223629,13.274558,21.539946,-0.16530775,0.06710879,-0.030306635,-9.362833
19624000,38.26274,33.08418,4.2588925,5.442362,13.275257,21.410797,-0.1627108,-0.13739507,-0.033882696,-5.1715417
