timestamp,indicated_airspeed_m_s,equivalent_airspeed_m_s,true_airspeed_m_s,equivalent_ground_minus_wind_m_s,true_ground_minus_wind_m_s
11984000,-1.0059286,-1.0059286,-1.0255864,0.021081269,0.021493236
12984000,18.766558,18.766762,19.133352,18.93737,19.307291
13984000,23.428972,23.413565,23.871584,23.254522,23.70943
14984000,23.128222,23.085087,23.540407,22.932222,23.38453
15984000,22.631018,22.579538,23.031433,22.505804,22.95622
16984000,21.33227,21.288248,21.721457,21.099432,21.528797
17984000,21.019894,20.978514,21.410528,20.906883,21.337423
18984000,20.534878,20.504686,20.931362,20.601046,21.029726
19984000,20.522463,20.50753,20.93837,20.609234,21.042212
20984000,20.56591,20.550621,20.98647,20.697832,21.136803
21984000,20.20807,20.184805,20.616615,20.300154,20.73443
22984000,19.597609,19.546715,19.969538,19.69073,20.116669
23984000,19.06551,19.01365,19.430666,19.085238,19.503822
24984000,16.256796,16.216028,16.57645,16.301773,16.664103
25984000,14.86071,14.825256,15.155957,14.999946,15.334542
26984000,15.208308,15.176763,15.514424,15.246369,15.585581
27984000,15.583885,15.550295,15.894634,15.718024,16.066078
28983999,15.929441,15.891241,16.241892,16.015913,16.369314
29983999,15.73766,15.719579,16.066326,15.932206,16.283644
30984000,15.293546,15.293974,15.631768,15.455186,15.796541
31984000,14.991615,15.003773,15.33557,15.198981,15.535097
32984000,17.771767,17.800013,18.193382,17.870556,18.265484
33984000,18.875696,18.88333,19.303509,18.92928,19.350483
34984000,18.898163,18.895086,19.320923,18.998787,19.42696
35984000,18.736645,18.740799,19.168621,18.916306,19.348133
36984000,18.662333,18.673586,19.104826,18.794197,19.228222
37984000,18.494816,18.517736,18.950314,18.681538,19.11794
38984000,18.408617,18.441216,18.87679,18.576422,19.015188
39984000,18.210152,18.255049,18.690817,18.450787,18.891226
40984000,18.078875,18.137691,18.575165,18.319345,18.761202
41984000,17.932434,18.006708,18.44558,18.202578,18.646225
42984000,16.60021,16.684135,17.094622,16.85426,17.26893
43984000,14.595155,14.670196,15.03312,15.122312,15.496422
44984000,13.791436,13.836911,14.179573,14.591767,14.953122
45984000,14.034154,14.075483,14.42389,14.827693,15.194718
