timestamp,baro_alt_meter,baro_temp_celcius,baro_pressure_pa,rho
12004000,399.60654,12.404602,96616.42,1.1479629
12028000,399.75208,12.404602,96614.7,1.1479425
12052000,399.69104,12.404602,96615.4,1.1479508
12076000,399.63,12.404602,96616.1,1.1479591
12100000,399.69104,12.404602,96615.41,1.1479509
12124000,399.6394,12.404602,96616.016,1.147958
12148000,399.56427,12.404602,96616.91,1.1479686
12176000,399.58307,12.404602,96616.67,1.1479659
12196000,399.56427,12.404602,96616.914,1.1479688
12220000,399.461,12.404602,96618.06,1.1479824
12244000,399.60184,12.404602,96616.47,1.1479635
12268000,399.59244,12.404602,96616.58,1.1479648
12292000,399.47507,12.404602,96617.93,1.1479808
12316000,399.4469,12.404602,96618.266,1.1479849
12340000,399.57837,12.404602,96616.71,1.1479664
12364000,399.60184,12.404602,96616.445,1.1479632
12388000,399.59714,12.404602,96616.5,1.1479639
12412000,399.60184,12.404602,96616.445,1.1479632
12436000,399.7286,12.404602,96614.97,1.1479456
12460000,399.52203,12.404602,96617.39,1.1479744
12484000,399.62064,12.404602,96616.24,1.1479608
12508000,399.6347,12.404602,96616.086,1.1479589
12531999,399.6394,12.404602,96616.055,1.1479585
12556000,399.49387,12.404602,96617.734,1.1479785
12580000,399.67227,12.404602,96615.61,1.1479533
12608000,399.57367,12.404602,96616.83,1.1479677
12627999,399.76617,12.404602,96614.56,1.1479409
12652000,399.6394,12.404602,96616.03,1.1479583
12679999,399.66287,12.404602,96615.78,1.1479553
12704000,399.50323,12.404602,96617.59,1.1479769
12723999,399.52203,12.404602,96617.4,1.1479745
12748000,399.69574,12.404602,96615.38,1.1479505
12772000,399.56897,12.404602,96616.836,1.1479678
12796000,399.57367,12.404602,96616.81,1.1479676
12819999,399.61594,12.404572,96616.305,1.1479615
12844000,399.48917,12.404572,96617.78,1.147979
12868000,399.48447,12.404541,96617.81,1.1479795
12892000,399.51263,12.404541,96617.484,1.1479756
12915999,399.7286,12.4045105,96614.97,1.1479456
12940000,399.70514,12.4045105,96615.25,1.147949
12964000,399.5314,12.4045105,96617.31,1.1479735
12992000,399.65817,12.40448,96615.805,1.1479555
13016000,399.59714,12.40448,96616.5,1.1479639
13036000,399.68634,12.40448,96615.49,1.1479518
13060000,399.57837,12.40448,96616.76,1.1479669
13083999,399.6347,12.40448,96616.086,1.1479589
13108000,399.75677,12.404449,96614.69,1.1479423
13132000,399.5314,12.404449,96617.26,1.1479728
13159999,399.6347,12.404449,96616.08,1.1479589
13179999,399.61594,12.404419,96616.33,1.1479619
13204000,399.63,12.404419,96616.1,1.1479591
13228000,399.57367,12.404419,96616.81,1.1479676
13252000,399.77087,12.404388,96614.52,1.1479404
13275999,399.77087,12.404388,96614.52,1.1479404
