timestamp,rollspeed_integ,pitchspeed_integ,yawspeed_integ,additional_integ1
10584000,3.38E-06,5.75E-06,0,7.21E-05
10604000,3.63E-06,7.27E-06,0,7.92E-05
10628000,3.47E-06,7.60E-06,0,8.27E-05
10644000,2.68E-06,5.98E-06,0,8.47E-05
10668000,3.60E-06,6.68E-06,0,7.16E-05
10684000,3.19E-06,5.78E-06,0,5.11E-05
10708000,2.93E-06,3.66E-06,0,-1.55E-05
10724000,2.29E-06,4.83E-06,0,-8.74E-05
10748000,1.40E-05,-0.000753131,0,-0.000239202
10764000,1.79E-05,-0.001314006,0,-0.000379848
10784000,1.67E-06,-0.001944279,0,-0.000616889
10804000,-2.86E-05,-0.002418678,0,-0.000906535
10828000,-8.90E-05,-0.002924959,0,-0.001310992
10844000,-0.000140347,-0.003237705,0,-0.001605848
10864000,-0.000217342,-0.003606755,0,-0.001992147
10884000,-0.000304769,-0.003958005,0,-0.002391058
10908000,-0.000407869,-0.00431825,0,-0.002866011
10924000,-0.000481477,-0.004566026,0,-0.003176597
10944000,-0.00057684,-0.004890335,0,-0.003541463
10964000,-0.000679646,-0.005229177,0,-0.003874256
10984000,-0.000787269,-0.005579458,0,-0.004166259
11004000,-0.000891475,-0.00590416,0,-0.004406223
11024000,-0.000999931,-0.006225095,0,-0.004589349
11044000,-0.001110982,-0.006541569,0,-0.004713903
11068000,-0.001250405,-0.006901328,0,-0.004777937
11084000,-0.001346226,-0.007129813,0,-0.004770978
11108000,-0.001483534,-0.007431001,0,-0.004690794
11124000,-0.001576029,-0.00761321,0,-0.004596464
11144000,-0.001692504,-0.007828082,0,-0.004439979
11164000,-0.001810147,-0.008026345,0,-0.004245278
11184000,-0.001928127,-0.008214679,0,-0.00402265
11204000,-0.002044241,-0.008387255,0,-0.00377827
11228000,-0.002184586,-0.008593083,0,-0.003471201
11244000,-0.002277501,-0.008731434,0,-0.003265271
11264000,-0.002392412,-0.008912788,0,-0.003010348
11284000,-0.002507045,-0.009096323,0,-0.002765496
11308000,-0.002645342,-0.009322272,0,-0.002497936
11324000,-0.002738341,-0.009477088,0,-0.00233892
11344000,-0.002853771,-0.009676234,0,-0.002166514
11364000,-0.002969095,-0.009878969,0,-0.002036167
11384000,-0.003084569,-0.010090074,0,-0.001945284
11404000,-0.003199632,-0.010317265,0,-0.001886688
11428000,-0.003337854,-0.010605645,0,-0.001858083
11444000,-0.003429463,-0.010809021,0,-0.001863649
11464000,-0.003542173,-0.01107093,0,-0.00189454
11484000,-0.00365417,-0.011342696,0,-0.001942787
11504000,-0.003764636,-0.01161509,0,-0.00200635
11524000,-0.003874112,-0.011893225,0,-0.002083185
11548000,-0.004006097,-0.012229361,0,-0.002182672
11564000,-0.004093391,-0.012450257,0,-0.002251654
11584000,-0.004198872,-0.012717757,0,-0.002335543
11604000,-0.004302359,-0.012979808,0,-0.002415866
11624000,-0.004405605,-0.013236466,0,-0.002490185
11644000,-0.004507901,-0.013485129,0,-0.002557984
11664000,-0.004607873,-0.013722868,0,-0.002617324
11684000,-0.004705085,-0.013949768,0,-0.002666018
11704000,-0.004802156,-0.014167045,0,-0.002709506
11724000,-0.004898618,-0.014375033,0,-0.002748888
11744000,-0.004993696,-0.014573311,0,-0.002786521
11764000,-0.005087971,-0.014763789,0,-0.002820948
11784000,-0.005181668,-0.014946973,0,-0.002857418
11804000,-0.005274286,-0.015127382,0,-0.002898694
11824000,-0.005366265,-0.015300237,0,-0.002946732
11844000,-0.00545798,-0.015469336,0,-0.00300298
11864000,-0.005550298,-0.01563501,0,-0.003072913
11884000,-0.005643407,-0.015798463,0,-0.003156308
11904000,-0.005736003,-0.01595956,0,-0.003250381
11924000,-0.00582717,-0.01611467,0,-0.003361583
11944000,-0.005919368,-0.016267687,0,-0.003488689
11964000,-0.006011893,-0.016425543,0,-0.003631681
11984000,-0.006102846,-0.016582621,0,-0.003792846
12004000,-0.006193978,-0.01673765,0,-0.003969636
12024000,-0.006285273,-0.016893588,0,-0.004159957
12044000,-0.006378019,-0.01704429,0,-0.00436462
12068000,-0.006488684,-0.017223058,0,-0.004627201
12084000,-0.006560273,-0.017340964,0,-0.004809263
12104000,-0.006650498,-0.01748876,0,-0.005047497
12124000,-0.006741244,-0.017635085,0,-0.005294225
12144000,-0.006831787,-0.017777149,0,-0.005549252
12164000,-0.006920465,-0.017914345,0,-0.005810176
12188000,-0.007027404,-0.018073972,0,-0.00612868
12204000,-0.007098579,-0.018175377,0,-0.006346467
