timestamp,indicated_airspeed_m_s,true_airspeed_m_s
7488000,1.7725104,1.8071663
7516000,-1.5306014,-1.5605007
7536000,-0.94197124,-0.96037555
7560000,-0.49467292,-0.5043365
7588000,-1.1405764,-1.1628758
7608000,-1.731628,-1.7654661
7632000,-0.62764746,-0.6399028
7656000,-0.56341565,-0.57442456
7680000,-0.66493726,-0.6779237
7708000,0.45706937,0.4660013
7732000,1.5164007,1.5460196
7752000,1.1797612,1.2028309
7776000,0.80383885,0.81954485
7800000,1.1527481,1.1752672
7828000,-1.2686588,-1.2934384
7848000,-1.0769781,-1.0980134
7872000,-1.5294975,-1.5593691
7896000,-0.3598805,-0.36691123
7924000,-1.1613109,-1.1839992
7944000,1.0748178,1.0958172
7968000,-1.0221819,-1.0421584
7996000,-0.5095926,-0.51954794
8016000,-0.06727079,-0.068584636
8040000,1.1852838,1.2084315
8064000,-1.412497,-1.440092
8088000,-1.4515257,-1.4798775
8116000,-0.7094269,-0.7232867
8136000,0.78040594,0.7956595
8160000,-1.3745495,-1.4013966
8184000,-0.55010766,-0.56085265
8208000,-0.9303406,-0.9485174
8232000,0.3771694,0.38453823
8256000,-1.7483584,-1.7825247
8280000,0.78259385,0.79787904
8304000,0.7725795,0.7876772
8328000,-1.131606,-1.153718
8352000,2.1423385,2.184188
8380000,3.2107902,3.2735255
8400000,4.297706,4.381654
8428000,5.4383483,5.5446362
8448000,6.173103,6.2937346
8472000,7.2533193,7.3950434
8496000,8.122382,8.281074
8520000,9.182256,9.361629
8548000,10.145579,10.343804
8568000,10.587824,10.794668
8592000,11.468027,11.692024
8616000,12.128362,12.365381
8644000,13.065634,13.320753
8664000,13.470097,13.733258
8688000,14.078537,14.353616
8712000,14.6323805,14.918295
8736000,15.1150055,15.41039
8760000,15.754769,16.06273
8788000,16.365082,16.684807
8812000,16.813913,17.142315
8832000,17.208254,17.54436
8856000,17.647762,17.992695
8884000,18.140846,18.495338
8904000,18.352846,18.711338
8932000,18.813915,19.181509
8952000,19.04408,19.416178
8976000,19.269424,19.646006
9000000,19.5392,19.921154
9024000,19.834238,20.221735
9048000,20.117987,20.510916
9076000,20.423014,20.822071
9096000,20.666136,21.069906
9120000,20.854353,21.261923
9144000,21.098906,21.511238
9168000,21.275541,21.691338
9196000,21.548183,21.96923
9216000,21.647448,22.070442
9240000,21.738733,22.163443
9264000,21.908752,22.336866
9288000,22.026619,22.457233
9312000,22.143658,22.576355
9336000,22.256344,22.691181
9360000,22.379623,22.816816
9384000,22.518045,22.958162
9412000,22.58858,23.030031
9432000,22.722652,23.166475
9456000,22.730703,23.174976
9480000,22.822683,23.268814
9504000,22.889528,23.336584
9528000,22.864315,23.3112
9556000,23.010208,23.459944
9576000,23.046623,23.49718
9600000,22.97822,23.427458
9624000,23.116821,23.56884
9648000,23.14069,23.592913
9672000,23.129728,23.581997
9696000,23.18001,23.633402
9720000,23.223972,23.67804
9744000,23.226894,23.681065
9768000,23.238237,23.692417
9792000,23.287075,23.742598
9816000,23.323166,23.779425
9840000,23.294128,23.749617
9868000,23.315033,23.77108
9888000,23.344276,23.800951
9912000,23.333317,23.79006
9936000,23.398348,23.856234
9960000,23.298943,23.755136
9984000,23.346437,23.803514
10012000,23.353647,23.81085
10032000,23.366337,23.824162
10060000,23.362074,23.819609
10080000,23.291616,23.747982
10108000,23.387001,23.845257
10128000,23.391325,23.849829
10156000,23.347233,23.805042
10176000,23.307371,23.76431
10200000,23.389057,23.847916
10228000,23.36251,23.820675
10248000,23.41691,23.876223
10272000,23.305496,23.76289
10300000,23.254486,23.71084
10320000,23.367754,23.826454
10344000,23.28609,23.74311
10368000,23.233992,23.690407
10392000,23.267141,23.724323
10416000,23.232525,23.689018
10440000,23.240955,23.697424
10464000,23.2319,23.688492
10488000,23.206425,23.662617
10516000,23.197485,23.65375
10536000,23.230003,23.686905
10560000,23.108526,23.563168
10584000,23.229,23.686413
10608000,23.207785,23.664658
10632000,23.05106,23.504717
10656000,23.21731,23.674522
10680000,23.159615,23.615904
10708000,23.130663,23.586393
10732000,23.066235,23.52076
10756000,22.97208,23.425018
10776000,23.114716,23.570692
10800000,23.026596,23.480793
10828000,22.950756,23.403374
10852000,23.006014,23.459932
10876000,22.924946,23.37755
10896000,22.990707,23.4447
10920000,22.95698,23.41048
10944000,22.995758,23.450052
10968000,22.973778,23.42795
10992000,22.840063,23.29189
11016000,22.912626,23.365871
11040000,22.88143,23.334246
11064000,22.790697,23.241852
11088000,22.837145,23.289284
11116000,22.84237,23.295042
11136000,22.75875,23.209976
11160000,22.815443,23.26783
11184000,22.7623,23.213804
11208000,22.727272,23.17829
11232000,22.753962,23.205614
11256000,22.801563,23.254406
11280000,22.704786,23.155926
11304000,22.68391,23.13471
11328000,22.7006,23.151937
11352000,22.682528,23.133585
11376000,22.690842,23.142357
11400000,22.600647,23.05059
11424000,22.633518,23.084225
11448000,22.685753,23.137608
11472000,22.608852,23.059336
11500000,22.579782,23.029846
11520000,22.573063,23.023212
11544000,22.610147,23.061155
11568000,22.573442,23.024029
11592000,22.534727,22.984636
11616000,22.574717,23.02555
11644000,22.565937,23.016825
11664000,22.60021,23.052076
11688000,22.593683,23.045513
11712000,22.524824,22.975403
11736000,22.52479,22.975657
11760000,22.517124,22.967756
11784000,22.437195,22.886713
11808000,22.481874,22.932394
11832000,22.428598,22.878248
11860000,22.370998,22.81938
11884000,22.311966,22.759382
11904000,22.136234,22.580458
11928000,22.075619,22.518883
11952000,22.001879,22.44378
11980000,21.89439,22.334154
12004000,21.863054,22.302536
12024000,21.768902,22.206593
12048000,21.72288,22.160002
12072000,21.662891,22.098894
12096000,21.655375,22.091307
12120000,21.534155,21.967888
12144000,21.528767,21.962482
12168000,21.468544,21.901104
12192000,21.459259,21.891813
12220000,21.42607,21.858088
12240000,21.337704,21.767965
12264000,21.353645,21.784554
12288000,21.303709,21.733744
12312000,21.346882,21.777784
12336000,21.195885,21.62385
12360000,21.26585,21.695549
12384000,21.245056,21.674507
12408000,21.17912,21.607367
12432000,21.18788,21.616459
12456000,21.233269,21.663061
12484000,21.227297,21.656836
12504000,21.209248,21.638685
12528000,21.191076,21.620293
12552000,21.143026,21.571405
12575999,21.155182,21.583742
12600000,21.147942,21.576723
12624000,21.108644,21.536627
12648000,21.15934,21.588724
12671999,21.117853,21.546354
12696000,21.188837,21.618923
12720000,21.143196,21.57228
12744000,21.140055,21.569216
12772000,21.138973,21.56846
12796000,21.147295,21.5769
12816000,21.122475,21.551697
12840000,21.10501,21.534048
12868000,21.140577,21.570292
12888000,21.084301,21.512964
12912000,21.05549,21.48372
12936000,21.14263,21.57302
12959999,21.040533,21.46883
12984000,21.069057,21.49791
13011999,21.02041,21.44855
13032000,21.022331,21.450539
13055999,21.086031,21.515757
13080000,21.06198,21.491182
13104000,21.04261,21.471594
13128000,21.09724,21.527605
13151999,21.07605,21.505796
13176000,21.021475,21.45035
13200000,21.054838,21.48446
13224000,21.035662,21.465021
13247999,21.034725,21.464092
13276000,20.984928,21.413631
13296000,21.006392,21.435629
13320000,20.864134,21.290405
13344000,20.992815,21.421785
13368000,21.001429,21.430822
13392000,20.881086,21.308147
13416000,21.004314,21.433893
13440000,20.99982,21.4293
13464000,20.964132,21.393011
13488000,20.97691,21.406025
13512000,20.99135,21.420956
13536000,21.009663,21.439638
13560000,20.978758,21.40836
13584000,21.01609,21.44648
13608000,20.989084,21.418932
13632000,20.989418,21.419523
13656000,21.038681,21.469774
13680000,20.937132,21.366293
13704000,21.092737,21.525183
13732000,20.963243,21.393257
13752000,20.947084,21.376991
13776000,20.990793,21.421322
13800000,21.091106,21.52407
13828000,20.981361,21.412104
13848000,21.008333,21.439774
13872000,21.052074,21.484482
13900000,21.040682,21.472883
13920000,21.142385,21.576654
13944000,21.101799,21.535526
13968000,21.113438,21.547401
13992000,21.090473,21.524076
14016000,21.169708,21.605143
14040000,21.13327,21.568241
14064000,21.135017,21.569756
14088000,21.210798,21.64731
14112000,21.22043,21.657284
14136000,21.226648,21.663485
14160000,21.216372,21.653166
14184000,21.149855,21.585499
14208000,21.170752,21.606997
14232000,21.17188,21.607748
14256000,21.205301,21.642248
14280000,21.228104,21.665686
14304000,21.289158,21.728148
14328000,21.32324,21.762846
14352000,21.250925,21.6892
14376000,21.294537,21.733812
14400000,21.356297,21.796795
14428000,21.35089,21.791546
14448000,21.309582,21.749317
14476000,21.377325,21.818602
14496000,21.284239,21.723679
14520000,21.339151,21.779793
14544000,21.367634,21.809052
14568000,21.442753,21.88583
14592000,21.40298,21.845308
14616000,21.446304,21.889645
14640000,21.411062,21.853607
14664000,21.453695,21.89739
14688000,21.442577,21.886068
14716000,21.438004,21.881495
14736000,21.471846,21.916084
14760000,21.524591,21.970009
14784000,21.549313,21.994839
14808000,21.447193,21.891125
14832000,21.540804,21.986616
14856000,21.463684,21.90822
14880000,21.506485,21.951828
14908000,21.614641,22.062218
14928000,21.556639,22.003035
14952000,21.541237,21.987501
14976000,21.587427,22.034739
15000000,21.486729,21.931973
15024000,21.55372,22.000324
15048000,21.594053,22.041819
15076000,21.53649,21.982807
15096000,21.581778,22.029129
15120000,21.64249,22.091217
15144000,21.582144,22.029806
15172000,21.63612,22.084814
15192000,21.589499,22.037306
15216000,21.569683,22.017298
15244000,21.619377,22.067919
15264000,21.641586,22.090929
15288000,21.594414,22.042465
15316000,21.536505,21.98379
15336000,21.640762,22.09017
15360000,21.627035,22.07621
15384000,21.599888,22.048708
15408000,21.61677,22.06584
15432000,21.701046,22.151623
15460000,21.573324,22.021662
15484000,21.640251,22.090046
15504000,21.631598,22.081055
15528000,21.650946,22.100922
15552000,21.629787,22.0793
15576000,21.676601,22.12718
15600000,21.639763,22.08948
15624000,21.60162,22.050735
15648000,21.615494,22.064884
15672000,21.627638,22.077448
15696000,21.548655,21.996778
15720000,21.623507,22.07343
15744000,21.585094,22.034107
15772000,21.583134,22.032299
15792000,21.596613,22.045967
15816000,21.582876,22.03195
15840000,21.593842,22.043259
15864000,21.553457,22.002089
15888000,21.445736,21.89216
15912000,21.469196,21.916168
15940000,21.549429,21.998062
15960000,21.490477,21.938028
15984000,21.526743,21.974949
16008000,21.46691,21.914001
16032000,21.479504,21.926949
16056000,21.497293,21.945295
16080000,21.430075,21.8767
16104000,21.426271,21.872904
16128000,21.426966,21.873705
16152000,21.50115,21.949358
16176000,21.462599,21.910032
16204000,21.332136,21.777021
16224000,21.395317,21.841757
16248000,21.357916,21.803541
16272000,21.362474,21.808084
16296000,21.310966,21.755602
16320000,21.290466,21.734846
16344000,21.291029,21.735382
16368000,21.291714,21.736282
16392000,21.283377,21.727491
16416000,21.247118,21.69058
16440000,21.310694,21.755821
16464000,21.28934,21.734066
16488000,21.24501,21.68904
16512000,21.253222,21.697227
16536000,21.245718,21.68967
16560000,21.189205,21.63236
16584000,21.162949,21.605421
16608000,21.198606,21.641872
16632000,21.150137,21.59272
16656000,21.256254,21.700754
