timestamp,indicated_airspeed_m_s,true_airspeed_m_s,air_temperature_celsius
9020000,1.9468714,1.9849108,12.404602
9044000,1.4704742,1.4992055,12.404602
9072000,-0.7629171,-0.777821,12.404602
9092000,0.736727,0.7511222,12.404602
9120000,-0.42989987,-0.43830353,12.404602
9140000,-0.7364419,-0.7508309,12.404602
9164000,-0.83228797,-0.84854734,12.404602
9188000,0.16501126,0.16823442,12.404602
9216000,1.3519185,1.3783385,12.404602
9236000,0.56114084,0.5721057,12.404602
9260000,1.8239988,1.8596201,12.404602
9284000,0.5677323,0.57882684,12.404602
9308000,1.205178,1.228732,12.404602
9332000,1.3174939,1.3432201,12.404602
9356000,-1.3875973,-1.4147104,12.404602
9380000,1.4615341,1.4900914,12.404602
9408000,1.4501367,1.4784764,12.404602
9428000,-1.7119975,-1.745454,12.404602
9452000,1.3171139,1.3428559,12.404602
9480000,1.1242121,1.1461695,12.404602
9500000,-0.82363284,-0.8397276,12.404602
9524000,0.5856357,0.59708244,12.404602
9548000,1.092464,1.1138062,12.404602
9572000,0.50189924,0.51170427,12.404602
9596000,-0.44072694,-0.44933206,12.404602
9624000,1.0954438,1.1168481,12.404602
9644000,1.4472164,1.4754932,12.404602
9672000,0.194278,0.19807178,12.404602
9692000,0.5436802,0.5542993,12.404602
9716000,1.1041944,1.1257612,12.404602
9740000,0.50135905,0.51115626,12.404602
9764000,1.7057829,1.7391022,12.404602
9788000,-1.4272594,-1.4551498,12.404602
9816000,-0.235052,-0.23964378,12.404602
9836000,0.3111064,0.31718335,12.404602
9860000,0.78721756,0.80260473,12.404602
9884000,0.6294697,0.6417658,12.404602
9908000,-1.6908057,-1.7238442,12.404602
9936000,1.3047994,1.3302923,12.404602
9956000,1.4225427,1.450341,12.404602
9984000,0.42380854,0.43209186,12.404602
10004000,-1.2180437,-1.2418417,12.404602
10028000,1.6128014,1.644328,12.404602
10052000,1.3095398,1.3351239,12.404602
10076000,2.1305451,2.1721683,12.404602
10100000,-0.5559792,-0.56684506,12.404602
10124000,-1.4957346,-1.5249586,12.404602
10148000,1.8407975,1.8767649,12.404602
10172000,0.113048136,0.11525616,12.404602
10196000,-1.3998263,-1.4271865,12.404602
10220000,0.2295176,0.23400375,12.404602
10244000,-1.0346755,-1.0548943,12.404602
10268000,-0.41939285,-0.42758283,12.404602
10292000,-0.26048476,-0.2655737,12.404602
10316000,-0.8228329,-0.8389081,12.404602
10340000,0.9621058,0.9809075,12.404602
10364000,2.7079651,2.7608702,12.404602
10388000,3.0797136,3.139884,12.404602
10412000,5.006695,5.1045747,12.404602
10436000,5.9897494,6.1067867,12.404602
10460000,6.4711194,6.597493,12.404602
10484000,7.9974113,8.1536455,12.404602
10508000,8.748283,8.919219,12.404602
10532000,9.547512,9.7340145,12.404602
10556000,10.220056,10.419668,12.404602
10580000,10.802596,11.013649,12.404602
10604000,11.829651,12.060816,12.404602
10628000,12.359783,12.601213,12.404602
10652000,12.894404,13.146152,12.404602
10676000,13.620618,13.886589,12.404602
10704000,14.175439,14.45233,12.404602
10724000,14.750368,15.038458,12.404602
10752000,15.337275,15.636846,12.404602
10776000,15.920301,16.231176,12.404602
10796000,16.309948,16.628653,12.404602
10820000,16.601723,16.92613,12.404602
10844000,17.155851,17.49095,12.404602
10868000,17.547018,17.889786,12.404572
10892000,17.845179,18.193758,12.404572
