timestamp,nav_roll,nav_pitch,nav_bearing,target_bearing,xtrack_error,wp_dist,acceptance_radius
10576000,0,0,1.5752882,1.5750723,-0.006953625,296.17035,31.615036
11056000,0,-0.13630693,1.5685384,1.5737219,0.38244936,288.26334,58.56996
11560000,0,0.010502978,1.5699992,1.5738403,0.33516473,277.12592,66.12039
12064000,0,0.14759637,1.5579942,1.570779,1.1334409,265.4125,66.38729
12568000,0,0.2951952,1.5386204,1.5657684,2.3572788,253.87343,64.68968
13071999,-0.3736952,0.34906584,1.5461192,1.5568086,0.8951851,242.79785,62.206654
13576000,-0.42245194,0.33377612,1.502139,1.5452027,3.5506034,232.1745,60.86262
14080000,-0.39263088,0.20051004,1.4662243,1.5364064,5.351019,222.08083,56.83735
14560000,-0.3628819,0.20678373,1.4357744,1.5268459,7.1480865,212.56375,57.454723
15064000,-0.285099,0.20811722,1.4270005,1.5225629,7.6760445,202.41656,57.665474
15568000,-0.21553595,0.20900044,1.4171416,1.5178317,8.204003,192.23079,57.419655
16072000,-0.14563371,0.20949198,1.422132,1.5172256,7.883656,182.0829,57.154064
16576000,-0.08967706,0.20997994,1.4346743,1.5190092,7.1391573,171.987,56.883865
17056000,-0.06932124,0.21066286,1.4398834,1.5185058,6.8154616,162.43552,56.637657
17560000,-0.05338404,0.21213934,1.4526874,1.5207145,6.0676136,152.47075,56.38315
18064000,-0.0471765,0.21391495,1.4655641,1.5231177,5.323114,142.54797,56.148933
18568000,-0.05586596,0.2161979,1.4709696,1.522804,4.999419,132.67511,55.908806
19072000,-0.05197058,0.21894734,1.4841018,1.5258889,4.251571,122.848206,55.69691
19576000,-0.05630687,0.22219655,1.4896765,1.5257604,3.9278755,113.05833,55.498512
20056000,-0.0568457,0.22571133,1.495335,1.5257492,3.6008315,103.772575,55.287636
20560000,-0.066811174,0.22990312,1.493306,1.5212373,3.6979403,94.05448,55.066925
21064000,-0.061693624,0.23433007,1.4988945,1.5205259,3.3742452,84.38245,54.797447
21568000,-0.05510992,0.2389144,1.5045758,1.5196283,3.0505495,74.745255,54.56655
22072000,-0.060174465,0.05749231,1.5001683,1.5122261,3.1476583,65.28717,52.195488
22576000,-0.04839964,-0.01212762,1.5038931,1.5106131,2.8139172,56.297565,49.727413
