timestamp,rollspeed_integ,pitchspeed_integ,yawspeed_integ,additional_integ1
13544000,3.263693e-06,1.0683153e-05,0.0,7.42519e-05
13564000,3.3443628e-06,9.659299e-06,0.0,8.014421e-05
13588000,3.2872315e-06,9.132931e-06,0.0,8.945661e-05
13604000,2.5158859e-06,8.237169e-06,0.0,9.404807e-05
13624000,2.5380662e-06,7.1866184e-06,0.0,0.00010010586
13644000,2.4055396e-06,8.217321e-06,0.0,0.00011038075
13664000,2.8775378e-06,7.4000054e-06,0.0,0.000117021475
13684000,2.723861e-06,6.9648245e-06,0.0,0.00011819993
13704000,2.2949575e-06,6.4091305e-06,0.0,0.00011049764
13724000,1.3570215e-05,-0.0005891272,0.0,9.513554e-05
13744000,1.808246e-05,-0.0011584952,0.0,2.5995405e-05
13768000,8.507592e-06,-0.001810807,0.0,-0.0001584843
13784000,-1.0817394e-05,-0.0022150741,0.0,-0.000341098
13804000,-4.1410658e-05,-0.0026465342,0.0,-0.0006286875
13828000,-9.8510245e-05,-0.0031305947,0.0,-0.0010290652
13844000,-0.00014891088,-0.0034418702,0.0,-0.0013205797
13864000,-0.00022650126,-0.003831634,0.0,-0.0016882668
13884000,-0.00032034237,-0.004214021,0.0,-0.0020528976
13904000,-0.00042063242,-0.0045529376,0.0,-0.0023984187
13924000,-0.0005312611,-0.004868719,0.0,-0.002713167
13944000,-0.0006515595,-0.005165704,0.0,-0.0029910104
13964000,-0.0007808132,-0.0054464284,0.0,-0.0032281366
13988000,-0.0009429687,-0.0057534147,0.0,-0.0034534466
14004000,-0.0010437206,-0.005926276,0.0,-0.0035679794
14028000,-0.0011969823,-0.0061690253,0.0,-0.003676978
14044000,-0.001302379,-0.0063253986,0.0,-0.0037150164
14064000,-0.001434152,-0.006507209,0.0,-0.0037271124
14084000,-0.0015658675,-0.006672343,0.0,-0.0037027306
14104000,-0.0016947796,-0.006825097,0.0,-0.003645559
14124000,-0.0018237988,-0.0069724107,0.0,-0.0035570685
14144000,-0.0019507648,-0.0071137645,0.0,-0.0034466018
14164000,-0.002077129,-0.007255792,0.0,-0.0033191491
14184000,-0.0022023532,-0.0074044806,0.0,-0.0031833318
14204000,-0.0023260503,-0.007560616,0.0,-0.0030493694
14224000,-0.0024492808,-0.0077224276,0.0,-0.0029186392
14244000,-0.0025709616,-0.00789016,0.0,-0.002794533
14264000,-0.0026910498,-0.008056641,0.0,-0.0026983973
14284000,-0.0028093506,-0.008226488,0.0,-0.0026306764
14304000,-0.0029277692,-0.008414935,0.0,-0.0025836024
14324000,-0.0030448954,-0.008617397,0.0,-0.0025586283
14344000,-0.003160522,-0.008840141,0.0,-0.0025589704
14364000,-0.0032757092,-0.009074055,0.0,-0.0025837335
14384000,-0.003390688,-0.009321649,0.0,-0.002626775
14404000,-0.0035047296,-0.009577495,0.0,-0.0026918298
14424000,-0.0036179824,-0.00984027,0.0,-0.0027730707
14444000,-0.0037296454,-0.010107512,0.0,-0.0028678954
14464000,-0.0038399023,-0.0103768045,0.0,-0.002975601
14488000,-0.0039711227,-0.0107008545,0.0,-0.0031189532
