timestamp,timestamp_sample,control[0],control[1],control[2],control[3],control[4],control[5],control[6],control[7]
80000000,80000000,0.014645979,0.038944934,-0.002032794,0.15,0.33000016,0,0,0
80004000,80004000,0.015053821,0.03920009,-0.001834862,0.15,0.32000017,0,0,0
80008000,80008000,0.015931364,0.03946155,-0.002013896,0.15,0.31000018,0,0,0
80012000,80012000,0.01671443,0.03958481,-0.002118255,0.15,0.3000002,0,0,0
80016000,80016000,0.017190155,0.039597105,-0.002118943,0.15,0.2900002,0,0,0
80020000,80020000,0.017687801,0.039502807,-0.002267424,0.15,0.2800002,0,0,0
80024000,80024000,0.017930236,0.03914038,-0.002321437,0.15,0.27000022,0,0,0
80028000,80028000,0.017914614,0.03872933,-0.002247601,0.15,0.26000023,0,0,0
80032000,80032000,0.017713431,0.038497653,-0.002189194,0.15,0.25000024,0,0,0
80036000,80036000,0.0176611,0.038446274,-0.002244078,0.15,0.24000023,0,0,0
80040000,80040000,0.01722804,0.038590223,-0.00241947,0.15,0.23000023,0,0,0
80044000,80044000,0.016418649,0.038801722,-0.002730764,0.15,0.22000022,0,0,0
80052000,80052000,0.01622289,0.03901342,-0.002318383,0.15,0.20000021,0,0,0
80056000,80056000,0.016063008,0.039097745,-0.002182844,0.15,0.1900002,0,0,0
80060000,80060000,0.015931644,0.03922791,-0.002288962,0.15,0.1800002,0,0,0
80064000,80064000,0.016152997,0.039292436,-0.002389669,0.15,0.1700002,0,0,0
80068000,80068000,0.01673102,0.03929135,-0.002294481,0.15,0.16000019,0,0,0
80076000,80076000,0.016513186,0.03941453,-0.001831535,0.15,0.14000018,0,0,0
80080000,80080000,0.015872031,0.03939741,-0.001893719,0.15,0.13000017,0,0,0
80084000,80084000,0.016524345,0.039110344,-0.00198404,0.15,0.120000176,0,0,0
80088000,80088000,0.017823594,0.03890322,-0.002025197,0.15,0.11000018,0,0,0
80092000,80092000,0.017507093,0.038985893,-0.001993765,0.15,0.10000018,0,0,0
80096000,80096000,0.016091406,0.039246686,-0.001967687,0.15,0.09000018,0,0,0
80100000,80100000,0.015276223,0.039506305,-0.001944388,0.15,0.080000184,0,0,0
80104000,80104000,0.014899426,0.039512996,-0.00195978,0.15,0.07000019,0,0,0
80108000,80108000,0.014189653,0.03927268,-0.001990953,0.15,0.06000019,0,0,0
80112000,80112000,0.013276974,0.039172255,-0.002013229,0.15,0.05000019,0,0,0
80116000,80116000,0.013186022,0.03934648,-0.002122057,0.15,0.040000193,0,0,0
80120000,80120000,0.014119772,0.039480723,-0.002107503,0.15,0.030000193,0,0,0
80124000,80124000,0.015616759,0.039464016,-0.002229915,0.15,0.020000193,0,0,0
80132000,80132000,0.017389296,0.03944731,-0.002430167,0.15,1.94E-07,0,0,0
80136000,80136000,0.01936575,0.03953304,-0.002516309,0.15,0,0,0,0
80140000,80140000,0.018113427,0.03951069,-0.002265522,0.15,0,0,0,0
80144000,80144000,0.016799359,0.039492216,-0.002034348,0.15,0,0,0,0
80148000,80148000,0.015943687,0.03966222,-0.001955912,0.15,0,0,0,0
80152000,80152000,0.015198813,0.039701648,-0.002107381,0.15,0,0,0,0
80156000,80156000,0.014126052,0.039361108,-0.002296977,0.15,0,0,0,0
80160000,80160000,0.013589857,0.039054684,-0.002379188,0.15,0,0,0,0
80164000,80164000,0.015236021,0.038894746,-0.002521982,0.15,0,0,0,0
80172000,80172000,0.017072098,0.038728673,-0.00247793,0.15,0,0,0,0
80176000,80176000,0.015174119,0.038715225,-0.002536895,0.15,0,0,0,0
80180000,80180000,0.014024703,0.038902692,-0.002849274,0.15,0,0,0,0
80184000,80184000,0.014020599,0.03918595,-0.003121577,0.15,0,0,0,0
80188000,80188000,0.014825494,0.039299596,-0.003106322,0.15,0,0,0,0
80192000,80192000,0.016391473,0.03924046,-0.00275017,0.15,0,0,0,0
80200000,80200000,0.018717118,0.0390015,-0.002066108,0.15,0,0,0,0
80204000,80204000,0.018746745,0.03901333,-0.002064812,0.15,0,0,0,0
80208000,80208000,0.018502532,0.039105114,-0.002278985,0.15,0,0,0,0
80212000,80212000,0.017341726,0.038954195,-0.002318761,0.15,0,0,0,0
80216000,80216000,0.016879499,0.038805187,-0.002357369,0.15,0,0,0,0
80220000,80220000,0.016794877,0.038769074,-0.002170317,0.15,0,0,0,0
80224000,80224000,0.016515855,0.03885045,-0.002027843,0.15,0,0,0,0
80228000,80228000,0.016130125,0.03890433,-0.002201474,0.15,0,0,0,0
80232000,80232000,0.016023088,0.03882198,-0.002490708,0.15,0,0,0,0
80236000,80236000,0.016141564,0.038686354,-0.002708765,0.15,0,0,0,0
80240000,80240000,0.016001169,0.03870448,-0.002775477,0.15,0,0,0,0
80244000,80244000,0.015185192,0.039021693,-0.002543103,0.15,0,0,0,0
80248000,80248000,0.014098139,0.039403785,-0.002280469,0.15,0,0,0,0
80252000,80252000,0.013710359,0.039508104,-0.002186867,0.15,0,0,0,0
80256000,80256000,0.014595488,0.039485022,-0.002235127,0.15,0,0,0,0
80260000,80260000,0.011703575,0.039597496,-0.000438058,0,0,0,0,0
80264000,80264000,0.011531967,0.039762363,-0.000290747,0,0,0,0,0
80268000,80268000,0.011271575,0.03987252,-0.000301716,0,0,0,0,0
80272000,80272000,0.011715272,0.039909057,-0.000776251,0,0,0,0,0
80276000,80276000,0.011858727,0.03985682,-0.00094796,0,0,0,0,0
80280000,80280000,0.011719421,0.039646517,-0.001127815,0,0,0,0,0
80284000,80284000,0.011721992,0.039645094,-0.001147008,1,0,0,0,0
80292000,80292000,0.011827685,0.03936652,-0.001075577,1,0,0,0,0
