timestamp,gyro_rad[0],gyro_rad[1],gyro_rad[2],accelerometer_m_s2[0],accelerometer_m_s2[1],accelerometer_m_s2[2]
80000000,0.000929214,-0.00828157,-0.005368613,-0.23553903,0.117261715,-9.82631
80004000,-0.003073194,-0.008793537,0.005065912,-0.24129838,0.05562373,-9.848956
80008000,-0.004818032,-0.00984083,0.002621749,-0.20011218,0.14118992,-9.880029
80012000,-0.003786921,-0.007103654,-0.001720238,-0.19791304,0.18248636,-9.849561
80016000,-0.004823681,-0.008300269,0.000739161,-0.19389997,0.10130447,-9.785439
80020000,-0.005743404,-0.00484643,0.003262553,-0.19650206,0.13142686,-9.811209
80024000,-0.005161917,0.0026693,0.000140519,-0.20596081,0.17501989,-9.808386
80028000,-0.004359916,-3.99E-06,-0.001718293,-0.23979363,0.13846174,-9.850723
80032000,-0.003981044,-0.000366795,0.001728994,-0.2525499,0.09379765,-9.909995
80036000,-0.005759971,-0.001838333,0.002484808,-0.19273537,0.051360924,-9.858994
80040000,0.000745084,-0.005487094,0.006573726,-0.1706964,0.061426535,-9.768488
80044000,0.000368797,-0.004906383,0.005327172,-0.21846841,0.13515715,-9.759532
80052000,-0.000621676,-0.004324102,-0.002716763,-0.2513706,0.18272494,-9.796648
80056000,-0.000294926,-0.008259799,0.002719402,-0.1984379,0.104026735,-9.832434
80060000,-0.001274645,-0.007870665,0.003381124,-0.20413066,0.09610957,-9.8141365
80064000,-0.003464453,-0.006714221,0.000286973,-0.21140121,0.11909724,-9.821398
80068000,-0.004651447,-0.006749612,-0.004344698,-0.22968291,0.17746362,-9.832302
80076000,0.001940947,-0.011357837,-0.00125815,-0.23671551,0.14888392,-9.894918
80084000,-0.009874489,-0.00052226,-0.002805119,-0.25047833,0.11767896,-9.793232
80088000,-0.005976527,-0.00552104,-0.001537752,-0.24013573,0.19945031,-9.747816
80092000,0.004155783,-0.009132611,-0.002633356,-0.19522855,0.18579611,-9.7379875
80096000,0.002131925,-0.010411887,-0.002722764,-0.18897206,0.12289333,-9.810252
80100000,-0.00117533,-0.010395695,-0.002275723,-0.22981852,0.032832317,-9.825981
80104000,0.00263559,-0.004079014,-0.001370955,-0.2544643,0.02919034,-9.744303
80108000,0.005560938,-0.002757004,-0.001917254,-0.25427166,0.09838912,-9.753409
80112000,0.006352209,-0.009209046,-0.001515343,-0.24389027,0.15868674,-9.81557
80116000,0.001378808,-0.011546041,-0.002855583,-0.22376071,0.1438753,-9.790122
80120000,-0.003201067,-0.00678029,-0.001418139,-0.25156015,0.114175566,-9.746628
80128000,-0.009443538,-0.007803712,0.002332201,-0.20648043,0.25111708,-9.717225
80132000,-0.008819777,-0.009252296,-0.000101463,-0.17852725,0.26714727,-9.660906
80136000,-0.002932567,-0.008970372,0.002241273,-0.27078393,0.16375045,-9.693851
80140000,0.000494475,-0.005949452,-0.003708169,-0.33324566,0.08030261,-9.779563
80144000,-0.000973194,-0.009107322,-0.004234503,-0.18902199,0.12011216,-9.828099
80148000,-0.000414873,-0.013526237,0.001864271,-0.12903194,0.123163976,-9.832081
80152000,0.002850879,-0.004717197,0.002864666,-0.2571157,0.08298994,-9.814777
80156000,0.006447758,0.001107122,0.002472692,-0.33803266,0.08013124,-9.792789
80160000,0.000221972,-0.005175154,0.000442372,-0.29200235,0.096215345,-9.786496
80168000,-0.003427408,-0.000856691,0.000400455,-0.16555712,0.13635065,-9.770886
80172000,0.006709002,-0.002925648,0.000779666,-0.19001628,0.11667436,-9.814307
80176000,0.005619736,-0.003054542,0.00646933,-0.198333,0.11106533,-9.867276
80180000,0.001965778,-0.008515242,0.010395645,-0.18974167,0.093016885,-9.875264
80184000,-0.000315424,-0.008591298,0.006495594,-0.22964974,0.12574454,-9.824636
80188000,-0.001965197,-0.004536609,0.000243484,-0.2644505,0.10023314,-9.750201
