timestamp,roll_body,pitch_body,yaw_body,yaw_sp_move_rate,q_d[0],q_d[1],q_d[2],q_d[3],thrust_body[0]
81312000,0,-0.12323306,1.6138798,0,0.69039893,0.044469696,-0.042593904,0.7208034,1
81336000,0,-0.116344064,1.6138798,0,0.69054157,0.04198663,-0.040215578,0.7209523,1
81360000,0,-0.10951867,1.6138798,0,0.6906748,0.039526,-0.03785874,0.7210914,1
81384000,0,-0.1027475,1.6138798,0,0.690799,0.037084464,-0.035520192,0.7212211,1
81408000,0,-0.09603194,1.6138798,0,0.69091433,0.034662556,-0.033200443,0.7213415,1
81432000,0,-0.089363575,1.6138798,0,0.6910212,0.03225728,-0.030896626,0.7214531,1
81456000,0,-0.082734734,1.6138798,0,0.69111985,0.029865911,-0.028606126,0.72155607,1
81480000,0,-0.07613838,1.6138798,0,0.69121045,0.027485933,-0.026326539,0.7216506,1
81504000,0,-0.06957294,1.6138798,0,0.6912931,0.025116814,-0.024057353,0.72173697,1
81528000,0,-0.06303228,1.6138798,0,0.6913681,0.022756366,-0.02179647,0.7218153,1
81552000,0,-0.056510724,1.6138798,0,0.6914355,0.02040257,-0.019541962,0.7218856,1
81576000,0,-0.050003108,1.6138798,0,0.6914954,0.018053588,-0.017292064,0.7219482,1
81600000,0,-0.043511037,1.6138798,0,0.69154793,0.015710028,-0.015047358,0.722003,1
81624000,0,-0.03702987,1.6138798,0,0.69159305,0.013370238,-0.012806264,0.7220501,1
81648000,0,-0.030555362,1.6138798,0,0.6916309,0.011032713,-0.010567338,0.7220896,1
81672000,0,-0.024083614,1.6138798,0,0.6916615,0.008696069,-0.008329256,0.72212154,1
81696000,0,-0.017613022,1.6138798,0,0.6916848,0.00635975,-0.006091487,0.72214586,1
81720000,0,-0.011140239,1.6138798,0,0.6917009,0.004022574,-0.003852896,0.72216266,1
81744000,0,-0.004662215,1.6138798,0,0.6917097,0.001683463,-0.001612453,0.7221719,1
81768000,0,0.001823861,1.6138798,0,0.6917113,-0.000658572,0.000630793,0.7221736,1
81792000,0,0.008319094,1.6138798,0,0.69170564,-0.003003907,0.002877198,0.7221676,1
81816000,0,0.014825882,1.6138798,0,0.6916926,-0.005353383,0.005127571,0.722154,1
81840000,0,0.02134639,1.6138798,0,0.6916722,-0.007707756,0.007382633,0.72213274,1
81864000,0,0.027882576,1.6138798,0,0.69164443,-0.010067708,0.009643038,0.7221037,1
81888000,0,0.034436204,1.6138798,0,0.6916091,-0.012433848,0.011909372,0.7220668,1
81912000,0,0.04100609,1.6138798,0,0.6915662,-0.014805726,0.0141812,0.7220221,1
81936000,0,0.047593724,1.6138798,0,0.69151574,-0.01718385,0.016459012,0.7219694,1
81960000,0,0.054200456,1.6138798,0,0.6914576,-0.01956868,0.018743247,0.7219087,1
81984000,0,0.06082747,1.6138798,0,0.6913917,-0.02196062,0.021034291,0.7218399,1
82008000,0,0.06747638,1.6138798,0,0.691318,-0.024360215,0.02333267,0.7217629,1
82032000,0,0.07414808,1.6138798,0,0.69123626,-0.02676777,0.02563867,0.7216776,1
82056000,0,0.08084337,1.6138798,0,0.6911466,-0.029183533,0.027952533,0.72158396,1
82080000,0,0.08756288,1.6138798,0,0.69104874,-0.031607714,0.030274456,0.72148186,1
82104000,0,0.09430595,1.6138798,0,0.69094276,-0.034040026,0.032604173,0.7213712,1
82128000,0,0.101073004,1.6138798,0,0.6908285,-0.03648061,0.034941807,0.7212519,1
82152000,0,0.10786439,1.6138798,0,0.69070584,-0.038929544,0.037287444,0.7211238,1
82176000,0,0.11468032,1.6138798,0,0.69057477,-0.041386876,0.039641123,0.72098696,1
82200000,0,0.12152098,1.6138798,0,0.6904352,-0.043852646,0.04200288,0.72084117,1
82224000,0,0.12838642,1.6138798,0,0.6902869,-0.046326827,0.0443727,0.72068644,1
82248000,0,0.13527656,1.6138798,0,0.69012994,-0.048809364,0.04675052,0.7205225,1
82272000,0,0.14219126,1.6138798,0,0.6899642,-0.051300164,0.04913625,0.7203495,1
82296000,0,0.14913286,1.6138798,0,0.6897895,-0.05380004,0.05153068,0.7201671,1
82320000,0,0.156101,1.6138798,0,0.6896058,-0.05630882,0.05393364,0.7199753,1
82344000,0,0.16309528,1.6138798,0,0.68941295,-0.058826324,0.056344952,0.719774,1
82368000,0,0.17011522,1.6138798,0,0.68921095,-0.06135234,0.058764417,0.71956307,1
82392000,0,0.17716004,1.6138798,0,0.68899965,-0.06388655,0.06119173,0.71934247,1
82416000,0,0.18422915,1.6138798,0,0.68877906,-0.0664287,0.06362665,0.71911216,1
82440000,0,0.19132191,1.6138798,0,0.6885491,-0.068978526,0.06606892,0.7188721,1
