timestamp,control[0],control[1],control[2],control[3],control[4]
82000000,0.014979132,0.038242854,0.000420971,0.15,0
82004000,0.016671786,0.03815148,0.000714828,0.15,0
82012000,0.016466212,0.037717,0.001199353,0.15,0
82016000,0.016461588,0.037756775,0.000999827,0.15,0
82020000,0.016308345,0.037783094,0.000431517,0.15,0
82024000,0.015815178,0.037652437,9.15E-05,0.15,0
82028000,0.015481621,0.0376462,-0.000131729,0.15,0
82032000,0.014085496,0.037612647,0.00023014,0.15,0
82036000,0.014098929,0.037614003,0.000230663,0.15,0
82040000,0.014744579,0.03771315,0.000564112,0.15,0
82044000,0.0162908,0.03753118,0.000675894,0.15,0
82048000,0.01635779,0.037477057,0.000560939,0.15,0
82052000,0.014499726,0.037438184,5.65E-05,0.15,0
82056000,0.012877583,0.037530385,1.09E-05,0.15,0
82060000,0.012555202,0.037824824,0.000229969,0.15,0
82064000,0.013701148,0.038011923,0.000498255,0.15,0
82068000,0.014772852,0.037925277,0.000387915,0.15,0
82072000,0.015271012,0.037614476,4.83E-06,0.15,0
82076000,0.014712995,0.037495155,-0.000654243,0.15,0
82080000,0.014171391,0.037770804,-0.000588846,0.15,0
82084000,0.013238481,0.038146667,-0.000463659,0.15,0
82092000,0.014059233,0.038074013,-0.00076677,0.15,0
82096000,0.015068878,0.037915815,-0.000742374,0.15,0
82100000,0.015399148,0.03801665,-0.000378426,0.15,0
82108000,0.01427253,0.03754057,-0.000521138,0.15,0
82112000,0.013995404,0.037157103,-0.000624641,0.15,0
82116000,0.014299135,0.037059482,-0.000523518,0.15,0
82120000,0.014900089,0.037114292,-0.000301091,0.15,0
82124000,0.01497813,0.03733344,-0.000217505,0.15,0
82128000,0.014753214,0.037596364,-0.000159091,0.15,0
82132000,0.014688524,0.037730295,-9.01E-05,0.15,0
82136000,0.014900146,0.037829794,9.23E-07,0.15,0
82140000,0.015338889,0.03782432,-1.59E-05,0.15,0
82144000,0.01553429,0.037847783,-7.92E-05,0.15,0
82148000,0.015241102,0.03810861,1.66E-05,0.15,0
82152000,0.014406995,0.038094427,0.000136025,0.15,0
82156000,0.01368764,0.0376992,0.000145719,0.15,0
82160000,0.014379206,0.03749346,0.00021148,0.15,0
82164000,0.015397931,0.03744927,0.00038809,0.15,0
82172000,0.015462621,0.037219126,0.00021975,0.15,0
82176000,0.01548832,0.037191346,0.000220282,0.15,0
82180000,0.016000373,0.037126537,-0.000118881,0.15,0
82184000,0.015478869,0.037315287,-0.00068768,0.15,0
82188000,0.015358358,0.037337583,-0.000789929,0.15,0
82196000,0.016237216,0.03743183,-0.000366993,0.15,0
82200000,0.016464459,0.037593786,-9.98E-05,0.15,0
82204000,0.016510792,0.03744208,4.10E-05,0.15,0
82208000,0.015974773,0.037313875,1.63E-05,0.15,0
82212000,0.014508957,0.0373743,7.47E-05,0.15,0
82220000,0.014464256,0.037054785,0.000319412,0.15,0
82228000,0.016878223,0.037148338,0.00018734,0.15,0
82232000,0.017032996,0.03732948,3.45E-05,0.15,0
82240000,0.015613434,0.037330355,-0.000238055,0.15,0
82244000,0.01602144,0.037379187,-9.63E-05,0.15,0
82248000,0.016284788,0.03751171,2.10E-05,0.15,0
82252000,0.01581566,0.037595656,0.000115292,0.15,0
82256000,0.015433912,0.03759505,0.000153455,0.15,0
82260000,0.016254127,0.037665755,0.000117085,0.15,0
82264000,0.016916145,0.03775962,0.000127344,0.15,0
82268000,0.017065153,0.037757453,0.000846742,0,0
82272000,0.016153205,0.037573427,0.001253638,0,0
82276000,0.015339181,0.037418913,0.001432487,0,0
82284000,0.013940912,0.0375058,0.000527606,0,0
82292000,0.015901316,0.037474483,-0.001866387,1,0
82296000,0.0169275,0.03738416,-0.002028506,1,0
82300000,0.017035937,0.037237626,-0.001585816,1,0
82304000,0.016599977,0.03722029,-0.001072191,1,0
82308000,0.016424743,0.037352644,-0.000328059,1,0
82312000,0.016147785,0.03741665,0.000593097,1,0
82316000,0.015068136,0.03733741,0.001091005,1,0
82324000,0.013259191,0.03701288,0.000545072,1,0
82328000,0.014348372,0.036929388,0.000959864,1,0
82332000,0.015334476,0.037125528,0.000560613,1,0
82340000,0.015538151,0.03736715,-0.002358839,1,0
82344000,0.015990391,0.037459705,-0.003125129,1,0
82348000,0.016220938,0.03762701,-0.002821672,1,0
82352000,0.016019633,0.037640877,-0.002468294,1,0
82356000,0.015167539,0.037433445,-0.002504727,1,0
82360000,0.014044738,0.037046224,-0.002118755,1,0
82364000,0.014037691,0.03697553,-0.002001715,1,0
82368000,0.013882909,0.036374368,-0.000270118,1,0
82372000,0.014409291,0.036723554,-0.000242446,1,0
82376000,0.015296897,0.037073582,4.25E-05,1,0
82380000,0.016485805,0.03717212,0.000245654,1,0
82384000,0.016714549,0.037220158,0.000476461,1,0
82388000,0.016721386,0.03723602,0.000584662,1,0
82392000,0.016377613,0.03738293,0.001033596,1,0
82396000,0.016419008,0.037340995,0.000983142,1,0
82404000,0.015891291,0.03770694,0.00194381,1,0
82408000,0.01566095,0.03766694,0.002200078,1,0
82412000,0.015597251,0.037417427,0.002187092,1,0
82416000,0.016442966,0.03723915,0.001220531,1,0
82420000,0.018124236,0.037252855,-0.00056297,1,0
82424000,0.01923236,0.03725002,-0.001357625,1,0
82428000,0.019219195,0.03712541,-0.001203566,1,0
82432000,0.018376151,0.037032973,-0.001105119,1,0
82436000,0.0171408,0.036957346,-0.000553712,1,0
82444000,0.01615421,0.03704907,0.000193817,1,0
82448000,0.015557169,0.037289806,0.000390374,1,0
82452000,0.01536767,0.037441473,4.34E-05,1,0
82456000,0.01600483,0.037279375,-0.000126436,1,0
82460000,0.01633161,0.03704567,-0.000474687,1,0
82464000,0.015634838,0.03682981,-0.000116525,1,0
82468000,0.014674367,0.03668636,0.000980708,1,0
82472000,0.014315426,0.03666687,0.001669676,1,0
82476000,0.014318588,0.0366525,0.001750828,1,0
82480000,0.015301677,0.036937904,0.00143979,1,0
82488000,0.014466044,0.037300915,0.000497049,1,0
82492000,0.014437163,0.037301984,0.000378525,1,0
82496000,0.012969065,0.037157927,-0.000799138,1,0
82500000,0.013456818,0.03704528,-0.000973513,1,0
82508000,0.015398557,0.037071574,-0.00127999,1,0
82512000,0.016401066,0.037071403,-0.001452828,1,0
82516000,0.016532246,0.037233915,-0.001564853,1,0
82520000,0.016282786,0.037471183,-0.001483841,1,0
82524000,0.015565258,0.037431665,-0.001339676,1,0
82528000,0.014640579,0.037187796,-0.000724082,1,0
82532000,0.014219072,0.037075136,-0.000259403,1,0
82536000,0.014559499,0.037052847,-0.000264147,1,0
82540000,0.01583147,0.036967114,-0.000635261,1,0
82544000,0.016950475,0.03684895,-0.000906391,1,0
82548000,0.01696225,0.0369353,-0.000837765,1,0
82552000,0.01655577,0.037308022,-0.000443339,1,0
82556000,0.015670557,0.03769675,-0.000164735,1,0
82560000,0.014339389,0.03786886,-0.000273341,1,0
82564000,0.014042438,0.03790153,-0.000708401,1,0
82568000,0.014792963,0.037772108,-0.001032114,1,0
82572000,0.015676279,0.03740826,-0.001089964,1,0
82576000,0.016638832,0.036925543,-0.001173367,1,0
82584000,0.016013738,0.03638905,-0.000806548,1,0
82588000,0.014478801,0.035094675,-0.000427503,1,0
82592000,0.014162529,0.03531387,-0.0001357,1,0
82596000,0.014063974,0.035537034,6.03E-05,1,0
82600000,0.013723645,0.03572239,6.04E-05,1,0
82604000,0.013741686,0.03570662,1.37E-05,1,0
82608000,0.015153743,0.03562175,-0.00063167,1,0
82612000,0.015984328,0.03558392,-0.000833658,1,0
82616000,0.0157904,0.035699386,-0.000640136,1,0
82620000,0.015471714,0.035943687,-0.000336412,1,0
82624000,0.0156143,0.03618911,-0.000195966,1,0
82628000,0.016124496,0.036012918,-1.75E-05,1,0
82636000,0.015137798,0.0351035,0.00029043,1,0
82640000,0.013731611,0.034900192,0.00038148,1,0
82644000,0.013402936,0.034946743,0.000585732,1,0
82648000,0.013710687,0.035161693,0.000625797,1,0
82652000,0.013689259,0.035173938,0.000661112,1,0
82656000,0.013484293,0.03575131,0.000512456,1,0
82660000,0.013942892,0.03592347,0.000383822,1,0
82668000,0.014352387,0.03572172,0.00020004,1,0
82672000,0.014641875,0.035787284,-0.000119321,1,0
82676000,0.015322951,0.036032163,-0.000459906,1,0
82680000,0.015704945,0.036235843,-0.000563052,1,0
82684000,0.015304071,0.036330182,-0.000562926,1,0
82688000,0.01021762,0.027606398,-0.000423775,1,0
82692000,0.010281302,0.02734622,-0.000290068,1,0
82696000,0.010153637,0.02716447,-0.000170428,1,0
82700000,0.009721988,0.02716215,2.74E-05,1,0
82704000,0.009658061,0.027246878,0.000147953,1,0
82708000,0.009814214,0.027224364,3.16E-06,1,0
82712000,0.009583745,0.027160598,-0.000240476,1,0
82716000,0.00916407,0.027178105,-0.000245312,1,0
82720000,0.008757023,0.027177121,-8.52E-05,1,0
82724000,0.008344739,-0.3336765,4.04E-05,1,0
82728000,0.008181267,-0.33373848,0.000141192,1,0
82732000,0.008184454,-0.33388853,0.000150504,1,0
82736000,0.008472139,-0.33396098,-1.37E-05,1,0
82740000,0.008968052,-0.3339923,-0.000650323,1,0
82744000,0.009225876,-0.3339288,-0.001777692,1,0
82748000,0.008460256,-0.3182907,-0.004618449,1,0
82752000,0.007561097,-0.31848556,-0.006703518,1,0
82760000,0.006092364,-0.31841207,-0.011257753,1,0
82764000,0.005658467,-0.3180577,-0.013733128,1,0
82768000,0.005208588,-0.317734,-0.015981026,1,0
82772000,0.004419158,-0.30285215,-0.018500252,1,0
82776000,0.003344373,-0.30259374,-0.020555684,1,0
82780000,0.001992061,-0.302322,-0.022984082,1,0
82784000,0.000458877,-0.30212945,-0.024889149,1,0
82788000,9.86E-05,-0.25431308,-0.027220212,1,0
82796000,-0.001906082,-0.24245833,-0.031466693,1,0
82804000,-0.004985109,-0.24210995,-0.03582285,1,0
82808000,-0.006406334,-0.24200763,-0.037784204,1,0
82812000,-0.007652235,-0.24201877,-0.040280055,1,0
82820000,-0.010964904,-0.2311967,-0.04448153,1,0
82824000,-0.012881829,-0.2312652,-0.046206668,1,0
82828000,-0.014650981,-0.23143004,-0.048509166,1,0
82832000,-0.016346702,-0.23159108,-0.04982345,1,0
82836000,-0.01788363,-0.23169151,-0.051762193,1,0
82844000,-0.020594034,-0.22149725,-0.054973945,1,0
82848000,-0.0225068,-0.22147948,-0.05626887,1,0
82852000,-0.024260268,-0.22147255,-0.058215708,1,0
82856000,-0.02564834,-0.2215873,-0.059211127,1,0
82860000,-0.027274737,-0.22180685,-0.060977586,1,0
82864000,-0.029495843,-0.22204736,-0.061822586,1,0
82868000,-0.03210373,-0.2123178,-0.06341821,1,0
