timestamp,output[2],output[3],output[4],output[5],output[6],output[7]
82000000,900,900,900,900,900,900
82004000,900,900,900,900,900,900
82008000,900,900,900,900,900,900
82012000,900,900,900,900,900,900
82016000,900,900,900,900,900,900
82020000,900,900,900,900,900,900
82024000,900,900,900,900,900,900
82028000,900,900,900,900,900,900
82032000,900,900,900,900,900,900
82036000,900,900,900,900,900,900
82040000,900,900,900,900,900,900
82044000,900,900,900,900,900,900
82048000,900,900,900,900,900,900
82052000,900,900,900,900,900,900
82056000,900,900,900,900,900,900
82060000,900,900,900,900,900,900
82064000,900,900,900,900,900,900
82068000,900,900,900,900,900,900
82072000,900,900,900,900,900,900
82076000,900,900,900,900,900,900
82080000,900,900,900,900,900,900
82084000,900,900,900,900,900,900
82092000,900,900,900,900,900,900
82096000,900,900,900,900,900,900
82100000,900,900,900,900,900,900
82104000,900,900,900,900,900,900
82108000,900,900,900,900,900,900
82112000,900,900,900,900,900,900
82116000,900,900,900,900,900,900
82120000,900,900,900,900,900,900
82124000,900,900,900,900,900,900
82128000,900,900,900,900,900,900
82132000,900,900,900,900,900,900
82136000,900,900,900,900,900,900
82140000,900,900,900,900,900,900
82144000,900,900,900,900,900,900
82148000,900,900,900,900,900,900
82152000,900,900,900,900,900,900
82156000,900,900,900,900,900,900
82160000,900,900,900,900,900,900
82164000,900,900,900,900,900,900
82168000,900,900,900,900,900,900
82172000,900,900,900,900,900,900
82176000,900,900,900,900,900,900
82180000,900,900,900,900,900,900
82184000,900,900,900,900,900,900
82188000,900,900,900,900,900,900
82196000,900,900,900,900,900,900
82200000,900,900,900,900,900,900
82204000,900,900,900,900,900,900
82208000,900,900,900,900,900,900
82212000,900,900,900,900,900,900
82220000,900,900,900,900,900,900
82224000,900,900,900,900,900,900
82228000,900,900,900,900,900,900
82232000,900,900,900,900,900,900
82240000,900,900,900,900,900,900
82244000,900,900,900,900,900,900
82248000,900,900,900,900,900,900
82252000,900,900,900,900,900,900
82256000,900,900,900,900,900,900
82260000,900,900,900,900,900,900
82264000,900,900,900,900,900,900
82268000,900,900,900,900,900,900
82272000,900,900,900,900,900,900
82276000,900,900,900,900,900,900
82280000,900,900,900,900,900,900
82284000,900,900,900,900,900,900
82288000,900,900,900,900,900,900
82292000,900,900,900,900,900,900
82296000,900,900,900,900,900,900
82300000,900,900,900,900,900,900
82304000,1499,1500,2000,1491,1508,1518
82308000,1499,1500,2000,1491,1508,1518
82312000,1500,1500,2000,1491,1508,1518
82316000,1500,1500,2000,1492,1507,1518
82320000,1500,1500,2000,1493,1506,1518
82324000,1500,1500,2000,1493,1506,1518
82328000,1500,1500,2000,1492,1507,1518
82332000,1500,1500,2000,1492,1507,1518
