timestamp,instance_count,seq_reached,seq_current,seq_total,item_changed_index,item_do_jump_remaining,valid,warning,finished,failure,stay_in_failsafe,flight_termination,item_do_jump_changed,execution_mode
6244000,2,-1,0,15,0,0,1,0,0,0,0,0,0,0
69296000,3,-1,0,15,0,0,0,0,0,0,0,0,0,0
79264000,4,-1,0,15,0,0,1,0,0,0,0,0,0,0
82244000,4,-1,0,15,0,0,1,0,0,0,0,0,0,0
91024000,4,0,1,15,0,0,1,0,0,0,0,0,0,0
103848000,4,1,2,15,0,0,1,0,0,0,0,0,0,0
120536000,4,2,3,15,0,0,1,0,0,0,0,0,0,0
135880000,4,3,4,15,0,0,1,0,0,0,0,0,0,0
147360000,4,4,5,15,0,0,1,0,0,0,0,0,0,0
163264000,4,5,6,15,0,0,1,0,0,0,0,0,0,0
180908000,4,6,7,15,0,0,1,0,0,0,0,0,0,0
193112000,4,7,8,15,0,0,1,0,0,0,0,0,0,0
208008000,4,8,9,15,0,0,1,0,0,0,0,0,0,0
208064000,4,9,10,15,0,0,1,0,0,0,0,0,0,0
208076000,4,10,11,15,0,0,1,0,0,0,0,0,0,0
208124000,4,11,12,15,0,0,1,0,0,0,0,0,0,0
208176000,4,12,13,15,0,0,1,0,0,0,0,0,0,0
248888000,4,13,14,15,0,0,1,0,0,0,0,0,0,0
286520000,4,14,14,15,0,0,1,0,1,0,0,0,0,0
287016000,5,-1,0,15,0,0,1,0,0,0,0,0,0,0
