timestamp,indicated_airspeed_m_s,true_airspeed_m_s
13020000,1.0910372,1.1123534
13039999,0.7501223,0.76477885
13064000,0.82876104,0.84495103
13088000,-1.1080346,-1.1296933
13112000,-0.452497,-0.46134192
13135999,-2.4548306,-2.5027962
13164000,-0.71534413,-0.7293203
13184000,-0.18593939,-0.1895734
13207999,-2.229489,-2.2730663
13232000,0.5267196,0.5370121
13256000,0.39283043,0.40050474
13280000,-1.1378185,-1.1600485
13308000,-0.8552126,-0.871916
13332000,-0.3485028,-0.35531113
13356000,1.1135962,1.1353459
13376000,1.5773872,1.6082072
13399999,3.1406198,3.2019732
13428000,4.3107586,4.3949533
13448000,5.215982,5.317894
13472000,6.406089,6.5312147
13496000,7.057348,7.1952143
13520000,8.387138,8.5509815
13548000,9.059993,9.237035
13568000,9.697526,9.887085
13592000,10.550741,10.75679
13616000,11.453899,11.677741
13644000,12.042051,12.277344
13664000,12.621482,12.868131
13688000,13.297506,13.557347
13712000,13.847479,14.118018
13736000,14.550185,14.834377
13760000,15.023097,15.316664
13784000,15.544571,15.848253
13808000,15.994711,16.307198
13836000,16.626686,16.951607
13856000,16.934765,17.265858
13880000,17.346127,17.684965
13904000,17.826014,18.174335
13928000,18.207483,18.563297
13952000,18.567858,18.930504
13976000,18.887415,19.256378
14000000,19.12403,19.497728
14024000,19.438387,19.818308
14048000,19.710217,20.09499
14072000,19.993666,20.384262
14100000,20.282778,20.67909
14120000,20.513826,20.914707
14144000,20.736525,21.141592
14168000,20.8372,21.244303
14192000,21.046629,21.457836
14216000,21.266232,21.681599
14244000,21.414223,21.832666
14268000,21.509815,21.929962
14288000,21.680136,22.10368
14312000,21.713717,22.13791
14336000,21.884094,22.311602
14364000,22.042892,22.473612
14384000,22.19751,22.631285
14408000,22.250471,22.685265
14432000,22.373806,22.811056
14456000,22.413052,22.850924
14480000,22.51872,22.95885
14504000,22.566143,23.007168
14528000,22.612135,23.054081
14552000,22.692442,23.135954
14576000,22.784262,23.22959
14600000,22.845335,23.291372
14624000,22.783123,23.228449
14648000,22.902063,23.349596
14676000,22.863344,23.310429
14700000,22.928528,23.376753
14724000,23.051538,23.502123
14748000,23.018803,23.46874
14768000,23.018875,23.468985
14792000,23.078772,23.53012
14816000,22.999214,23.448996
14840000,23.074286,23.525494
14864000,23.122355,23.57483
14888000,23.076187,23.527477
14912000,23.125515,23.577864
14936000,23.186533,23.640186
14964000,23.133766,23.586584
14984000,23.183771,23.637486
15008000,23.140537,23.593485
15032000,23.120409,23.573214
15056000,23.163586,23.61712
15080000,23.180939,23.635187
15108000,23.131775,23.584751
15132000,23.072098,23.524384
15152000,23.164629,23.61871
15176000,23.145657,23.599445
15200000,23.113699,23.567118
15224000,23.122543,23.57606
15248000,23.194126,23.648817
15272000,23.067492,23.520182
15296000,23.122698,23.576582
15320000,23.106739,23.56019
15348000,23.115204,23.568985
15368000,23.088902,23.542196
15392000,23.124512,23.578651
15416000,23.08163,23.535086
15444000,23.035429,23.487822
15464000,23.041895,23.494677
15488000,23.044542,23.497614
15512000,22.961452,23.412903
15536000,23.022572,23.475555
15564000,22.974863,23.426859
15584000,22.967617,23.419752
15608000,22.969982,23.42213
15632000,22.94769,23.399483
15656000,22.948706,23.400728
15680000,22.901548,23.352774
15704000,22.790985,23.24015
15728000,22.803965,23.253536
15752000,22.872154,23.32315
15776000,22.80608,23.256008
15800000,22.8314,23.281815
15824000,22.7664,23.215765
15848000,22.769646,23.219265
15872000,22.777796,23.227863
15896000,22.705593,23.154354
15920000,22.693188,23.141891
15944000,22.68537,23.134123
15968000,22.747656,23.197657
15992000,22.704033,23.153297
16016000,22.576063,23.023092
16040000,22.627466,23.075861
16064000,22.586346,23.03399
16088000,22.585556,23.033169
16112000,22.532318,22.979082
16136000,22.5089,22.95549
16160000,22.505836,22.952438
16184000,22.503105,22.94996
16208000,22.491888,22.93834
16232000,22.45449,22.900412
16256000,22.511717,22.959234
16280000,22.488739,22.935953
16304000,22.444313,22.890995
16328000,22.44966,22.89634
16352000,22.440086,22.886791
16376000,22.383932,22.830023
16400000,22.356384,22.801878
16424000,22.387493,22.83375
16452000,22.337553,22.783262
16472000,22.436674,22.884144
16496000,22.333557,22.779278
16520000,22.345322,22.791573
16544000,22.369678,22.81657
16568000,22.313757,22.759893
16592000,22.375153,22.822565
16616000,22.272167,22.717682
16640000,22.28471,22.730595
16664000,22.307148,22.753904
16688000,22.254957,22.700708
16712000,22.243774,22.689413
16736000,22.062399,22.504515
16760000,21.99811,22.439503
16784000,22.006632,22.44816
16808000,21.786076,22.223726
16832000,21.703768,22.139748
16856000,21.653055,22.088348
16880000,21.493082,21.925352
16904000,21.472914,21.90488
16928000,21.30362,21.73246
16952000,21.293367,21.722065
16980000,21.22008,21.647516
17000000,21.194181,21.621395
17024000,21.099154,21.524643
17048000,21.081244,21.506401
17072000,21.054943,21.479832
17100000,21.043024,21.467905
17120000,20.939392,21.36219
17144000,20.958183,21.38176
17168000,20.881628,21.303873
17192000,20.93897,21.362516
17216000,20.793404,21.213778
17240000,20.819014,21.24043
17264000,20.812447,21.233927
17288000,20.815195,21.236967
17316000,20.746664,21.166962
17336000,20.71049,21.13046
17360000,20.806036,21.227964
17384000,20.739685,21.160385
17408000,20.72875,21.149471
17432000,20.72973,21.150562
17456000,20.771976,21.193901
17480000,20.785875,21.20853
17504000,20.747938,21.169773
17528000,20.711899,21.133196
17552000,20.7036,21.124516
17576000,20.675598,21.096384
17600000,20.74523,21.167717
17624000,20.749933,21.172716
17648000,20.74506,21.16778
17672000,20.778349,21.201948
17696000,20.66578,21.087336
17720000,20.68493,21.106739
17744000,20.665646,21.08746
17768000,20.67476,21.096514
17792000,20.719496,21.142496
17816000,20.644787,21.066557
17840000,20.721867,21.145174
17864000,20.672573,21.09544
17888000,20.605747,21.027193
17912000,20.709917,21.133608
17936000,20.73988,21.164307
17960000,20.64317,21.065823
17984000,20.67872,21.1023
18008000,20.67663,21.100212
18032000,20.632687,21.055355
18056000,20.675734,21.099497
18080000,20.61137,21.033873
18104000,20.614365,21.037132
18128000,20.598562,21.021288
18152000,20.626215,21.049416
18176000,20.67515,21.099722
18200000,20.595648,21.018724
18224000,20.592175,21.015322
18248000,20.542274,20.964447
18272000,20.579887,21.003109
18296000,20.564753,20.987778
18320000,20.635576,21.060026
18344000,20.567074,20.990267
18368000,20.530863,20.953619
18392000,20.528503,20.951248
18416000,20.516558,20.93916
18440000,20.482592,20.904558
18464000,20.55714,20.98093
18488000,20.57953,21.003878
18512000,20.44321,20.864916
18536000,20.54959,20.973547
18560000,20.511274,20.934639
18584000,20.48302,20.906069
18608000,20.467146,20.889812
18632000,20.491734,20.914856
18656000,20.482946,20.906141
18680000,20.493404,20.916872
18704000,20.40822,20.830278
18732000,20.384285,20.805923
18752000,20.413385,20.835686
18776000,20.387354,20.80938
18800000,20.403967,20.82652
18824000,20.46845,20.892246
18848000,20.438349,20.861826
18872000,20.421324,20.844496
18896000,20.411615,20.834644
18920000,20.378054,20.800776
18944000,20.321344,20.742933
18968000,20.31754,20.739122
18992000,20.36738,20.789959
19020000,20.321304,20.743238
19044000,20.36758,20.790537
19064000,20.356953,20.779774
19088000,20.385752,20.809347
19112000,20.323101,20.745623
19136000,20.281021,20.70276
19160000,20.387947,20.812029
19184000,20.248302,20.669518
19208000,20.241873,20.66316
19232000,20.303541,20.726158
19256000,20.270258,20.692358
19280000,20.32681,20.750374
19304000,20.29265,20.715569
19328000,20.274803,20.697422
19352000,20.227007,20.648676
19376000,20.268044,20.69058
19400000,20.177418,20.598404
19424000,20.209812,20.631609
19448000,20.25391,20.67662
19472000,20.17405,20.595339
19496000,20.216831,20.639063
19520000,20.159744,20.580889
19548000,20.176569,20.598211
19568000,20.160097,20.581535
19592000,20.16149,20.58317
19616000,20.195635,20.61809
19640000,20.13129,20.552525
19664000,20.152376,20.57418
19688000,20.117203,20.538149
19712000,20.166065,20.588345
19740000,20.092613,20.513607
19760000,20.118069,20.53956
19784000,20.129673,20.551382
19808000,20.089214,20.510305
19832000,20.134743,20.556875
19856000,20.164457,20.587513
19880000,20.028606,20.448725
19904000,20.068745,20.490086
19928000,20.08663,20.508299
19956000,20.054672,20.475916
19976000,20.063501,20.485018
20000000,20.075916,20.497728
20024000,20.087337,20.509459
20048000,20.02659,20.447536
20072000,20.066147,20.48808
20096000,20.060686,20.48283
20120000,20.092394,20.515015
20144000,19.991732,20.412426
20168000,19.984531,20.405354
20192000,20.035004,20.456934
20216000,19.994534,20.415792
20240000,19.99416,20.4153
20264000,19.969622,20.390486
20292000,20.019941,20.442179
20312000,19.960215,20.381124
20336000,19.987211,20.408667
20360000,20.013603,20.435968
20384000,20.000286,20.42246
20408000,19.887003,20.306776
20432000,19.994268,20.41638
20456000,19.991318,20.413696
20480000,19.964075,20.38581
20504000,20.004622,20.427414
20528000,19.87948,20.299828
20552000,19.898197,20.318897
20576000,19.858414,20.278366
20600000,19.891155,20.31215
20624000,19.938036,20.35997
20648000,19.979168,20.402182
20672000,19.920021,20.342117
20696000,19.87048,20.291649
20720000,19.856945,20.27775
20744000,19.832073,20.25253
20768000,19.84142,20.262035
20792000,19.823023,20.243574
20816000,19.863201,20.284456
20840000,19.858194,20.279623
20864000,19.821854,20.24275
20888000,19.873213,20.29512
