timestamp,differential_pressure_raw_pa,differential_pressure_filtered_pa,temperature,v
13988000,1.3810126,1.3810126,12.404602,
14996000,239.6517,239.6517,12.4045105,
16004000,329.94263,329.94263,12.398804,
16988000,315.37787,315.37787,12.370911,
17996000,277.1408,277.1408,12.323273,
19004000,261.25885,261.25885,12.279877,
19988000,254.30768,254.30768,12.244934,
20996000,249.61818,249.61818,12.211487,
22004000,241.75462,241.75462,12.179169,
22988000,239.31888,239.31888,12.14859,
23996000,233.72336,233.72336,12.118225,
25004000,229.66232,229.66232,12.088562,
25992000,217.13469,217.13469,12.060028,
26996000,172.73459,172.73459,12.042389,
27980000,160.13399,160.13399,12.043884,
28987999,158.24698,158.24698,12.053711,
30000000,162.04352,162.04352,12.064087,
30980000,226.03687,226.03687,12.067627,
31988000,240.77174,240.77174,12.052399,
32996000,245.39308,245.39308,12.026276,
33980000,248.96266,248.96266,11.993866,
34988000,239.63568,239.63568,11.957336,
35996000,232.49591,232.49591,11.919556,
37004000,229.01358,229.01358,11.8815,
37988000,221.7539,221.7539,11.84433,
38996000,216.44415,216.44415,11.806915,
39980000,210.46178,210.46178,11.771362,
40988000,166.7968,166.7968,11.740326,
41996000,144.53862,144.53862,11.731079,
43004000,142.23875,142.23875,11.734955,
43988000,143.60004,143.60004,11.741882,
44996000,150.30658,150.30658,11.747833,
46004000,149.54353,149.54353,11.751556,
46988000,151.00082,151.00082,11.753326,
47996000,150.83022,150.83022,11.754028,
49004000,149.3245,149.3245,11.754089,
49992000,147.39214,147.39214,11.753815,
50996000,147.39162,147.39162,11.7534485,
52004000,145.8511,145.8511,11.753082,
52988000,144.44926,144.44926,11.752747,
53996000,144.37035,144.37035,11.752411,
54980000,143.35405,143.35405,11.752106,
55988000,141.44414,141.44414,11.751862,
56996000,143.35504,143.35504,11.751648,
58004000,139.43001,139.43001,11.751465,
58988000,165.01048,165.01048,11.7526245,
59996000,181.66287,181.66287,11.7499695,
61004000,165.5647,165.5647,11.743805,
61988000,144.04556,144.04556,11.742554,
63000000,133.5119,133.5119,11.751007,
64004000,132.76767,132.76767,11.765106,
64988000,134.85571,134.85571,11.779297,
65996000,134.16719,134.16719,11.792908,
67004000,133.1648,133.1648,11.805481,
67988000,133.39218,133.39218,11.816986,
68996000,134.83821,134.83821,11.8280945,
70004000,135.68385,135.68385,11.8385315,
70988000,135.61206,135.61206,11.848114,
71996000,136.80869,136.80869,11.857422,
73004000,135.44897,135.44897,11.866394,
73992000,136.94397,136.94397,11.874847,
74996000,136.48337,136.48337,11.883453,
75980000,136.9379,136.9379,11.891876,
