timestamp,gyro_bias[0],gyro_bias[1],gyro_bias[2],accel_bias[0],accel_bias[1],accel_bias[2]
14192000,-0.001236276,-0.00589814,0.001018868,0.007224429,-0.003582293,-0.12975778
15192000,-0.000587087,-0.006437011,0.003163731,0.004876512,0.001709238,-0.13019083
16192000,-0.000461993,-0.006546005,0.003432099,-0.015982758,0.008997602,-0.1291445
17192000,-0.000818264,-0.00653906,0.003708881,-0.060529713,-0.00535413,-0.12643908
18192000,-0.001105086,-0.006581682,0.004072209,-0.10195519,-0.012871773,-0.12249511
19192000,-0.001194459,-0.006617863,0.004143025,-0.138822,-0.01414946,-0.11849156
20200000,-0.001212461,-0.006641601,0.004075898,-0.16348797,-0.015268828,-0.11516706
21192000,-0.00125159,-0.006652824,0.004075393,-0.17388602,-0.019747322,-0.11276289
22192000,-0.001313531,-0.006675942,0.003982997,-0.17765534,-0.019844187,-0.111642286
23192000,-0.001374895,-0.006694657,0.003868139,-0.17956136,-0.01916936,-0.110573545
24192000,-0.00143653,-0.006721281,0.003712025,-0.18093674,-0.017019123,-0.10984754
25192000,-0.001486231,-0.006760999,0.003503283,-0.18266405,-0.015288498,-0.10942236
26192000,-0.001508582,-0.006765617,0.003322657,-0.18377408,-0.015735287,-0.10905999
27200000,-0.001497801,-0.006738808,0.003202058,-0.18368413,-0.017751005,-0.10799227
28192000,-0.001447001,-0.006686955,0.003096287,-0.18269737,-0.020053603,-0.106684744
29192000,-0.001400821,-0.006600245,0.002976783,-0.1795708,-0.023400828,-0.1045224
30192000,-0.001417682,-0.006503029,0.002833778,-0.1743784,-0.023027893,-0.10143715
31192000,-0.001503363,-0.006411782,0.002361541,-0.16856354,-0.01477858,-0.09857483
32192000,-0.001609449,-0.006387301,0.001876869,-0.16771428,0.001009374,-0.096503034
33200000,-0.001692087,-0.006420188,0.001789214,-0.17314212,0.011774793,-0.095797464
34200000,-0.001727907,-0.006380987,0.001842201,-0.16795577,0.024502391,-0.09309815
35192000,-0.001821702,-0.00626244,0.001693831,-0.15965284,0.06964634,-0.08717068
36192000,-0.001902972,-0.006164748,0.001458122,-0.15785491,0.111223795,-0.0833346
37192000,-0.001969512,-0.006070959,0.001178694,-0.16074231,0.14775176,-0.08067181
38192000,-0.002000185,-0.006006332,0.00099019,-0.16535017,0.16817428,-0.07728956
39192000,-0.002011097,-0.005953203,0.000868069,-0.16985616,0.17952478,-0.073672846
40192000,-0.002001733,-0.00591951,0.000809811,-0.1739132,0.18628636,-0.06941997
41192000,-0.00197808,-0.005886314,0.000773033,-0.17697743,0.19084515,-0.06536213
42192000,-0.001949929,-0.00586025,0.000741345,-0.17939426,0.19415696,-0.061375335
43192000,-0.001919505,-0.005837963,0.000728679,-0.18138833,0.19613746,-0.058143336
44192000,-0.001884362,-0.005809688,0.000727668,-0.18294771,0.19712605,-0.05536433
45192000,-0.001844565,-0.005785306,0.000728899,-0.18405715,0.19754833,-0.052658983
46192000,-0.00180702,-0.00577669,0.000743643,-0.18502617,0.1978008,-0.049359623
47192000,-0.001761409,-0.005763704,0.000749783,-0.1860445,0.19769348,-0.046172664
48192000,-0.001698035,-0.005750555,0.000763557,-0.18736744,0.19711299,-0.043675013
49192000,-0.001646279,-0.00574505,0.000765589,-0.18826433,0.1965304,-0.04056106
50192000,-0.001592825,-0.00573978,0.000765631,-0.1893325,0.19594522,-0.03772199
51192000,-0.001550641,-0.005740408,0.00076127,-0.18995115,0.19550267,-0.03357026
52192000,-0.001507046,-0.005744698,0.000751805,-0.19082175,0.19518721,-0.030659556
53192000,-0.001467049,-0.005751327,0.000739258,-0.1916499,0.19496992,-0.027249942
54192000,-0.001434401,-0.005757606,0.000719153,-0.19231886,0.19482307,-0.023891412
55192000,-0.00140111,-0.005761569,0.00070688,-0.19291647,0.19467704,-0.020054832
56192000,-0.001373099,-0.005766835,0.000700881,-0.19349816,0.19466129,-0.017242553
57192000,-0.001348145,-0.00577176,0.000691112,-0.19390944,0.19461441,-0.015048616
58192000,-0.001333204,-0.005781408,0.000670293,-0.19421408,0.19459847,-0.01290626
59192000,-0.001324012,-0.005789973,0.000663859,-0.19451255,0.19471012,-0.010551299
60192000,-0.001325239,-0.005778391,0.000633381,-0.19490173,0.19454983,-0.008625852
61199999,-0.001282798,-0.005762333,0.000488937,-0.19638361,0.19225131,-0.006464568
62199999,-0.001231217,-0.005762164,0.000377094,-0.19884068,0.189367,-0.004214871
63199999,-0.001194583,-0.005770234,0.000309209,-0.20180215,0.18702886,-0.001968566
64200000,-0.001158962,-0.005775455,0.000268426,-0.20575355,0.18443905,0.000282022
65200000,-0.001134446,-0.005766721,0.000263918,-0.20888686,0.1820049,0.00237281
66200000,-0.001118645,-0.00576335,0.00025839,-0.21154247,0.18084057,0.001954687
67200000,-0.001111558,-0.005760735,0.000253413,-0.21346763,0.1799802,0.00050208
68200000,-0.001098826,-0.005750413,0.000257577,-0.21512312,0.17908898,-0.001130447
69200000,-0.001091792,-0.005741078,0.000265031,-0.21605219,0.17837231,-0.003456021
70200000,-0.001090397,-0.005736043,0.000270515,-0.21654105,0.17749256,-0.006274411
71200000,-0.001096361,-0.005742183,0.000265012,-0.21711658,0.176584,-0.008710246
72200000,-0.001108927,-0.005746538,0.000261373,-0.21771625,0.17566192,-0.011058291
73200000,-0.001119476,-0.005752161,0.000258535,-0.21803068,0.1746374,-0.012107675
74200000,-0.001124108,-0.005753198,0.000252623,-0.21846089,0.17401609,-0.013266266
75200000,-0.001126064,-0.005757527,0.000243746,-0.21877055,0.1733171,-0.014197305
76200000,-0.001126899,-0.005765805,0.000233935,-0.21910524,0.17295656,-0.01369801
77200000,-0.001122202,-0.005772565,0.000230059,-0.21918754,0.17265777,-0.013752927
78200000,-0.001118965,-0.005778927,0.000222486,-0.21941556,0.17233977,-0.013304278
79200000,-0.001135718,-0.005792434,0.000216387,-0.21981059,0.1721864,-0.01162474
80200000,-0.001139259,-0.005806472,0.000204436,-0.22000946,0.17150521,-0.010907078
81200000,-0.001150874,-0.005824373,0.000194993,-0.22036001,0.17113237,-0.009751643
82200000,-0.001159559,-0.005839662,0.000179164,-0.22075753,0.17090142,-0.008144051
83200000,-0.001174991,-0.005854092,0.00016412,-0.22106889,0.17053258,-0.006144046
84200000,-0.001187137,-0.00585997,0.00015028,-0.22125255,0.17023706,-0.004456084
85200000,-0.00120271,-0.005862032,0.00014273,-0.22137515,0.1700894,-0.002135445
86200000,-0.001217027,-0.00586598,0.000128548,-0.22140554,0.16964057,-0.000268855
87200000,-0.001230473,-0.005870303,0.00011413,-0.22150142,0.16931279,0.002174648
88200000,-0.001251241,-0.005882718,8.98E-05,-0.22163793,0.16884182,0.003823953
89200000,-0.001277866,-0.005888142,7.38E-05,-0.2216712,0.1684407,0.005064714
90200000,-0.001309058,-0.005895997,5.56E-05,-0.2216666,0.16800277,0.004440681
91200000,-0.001343504,-0.005893937,3.94E-05,-0.22162503,0.16755016,0.004160957
92200000,-0.00137735,-0.005901003,2.04E-05,-0.22158569,0.16694939,0.00380188
93200000,-0.001408573,-0.005893512,2.56E-06,-0.22149338,0.16647252,0.002541455
94200000,-0.001423543,-0.005884652,-6.01E-06,-0.22131102,0.1656831,0.000703719
95200000,-0.001416819,-0.005878437,-1.91E-05,-0.22104704,0.16486964,-0.000408593
96200000,-0.001398797,-0.005874371,-2.71E-05,-0.22090429,0.16443206,-0.00109093
97200000,-0.001372517,-0.005870708,-4.32E-05,-0.22077775,0.16388641,-0.002273822
98200000,-0.001342332,-0.005870978,-5.22E-05,-0.2210135,0.16318424,-0.002814858
99200000,-0.001296656,-0.005866889,-6.28E-05,-0.22169547,0.16228268,-0.003916541
100200000,-0.001247565,-0.005875149,-0.000103237,-0.22335917,0.16145998,-0.005335738
101200000,-0.001209441,-0.005882141,-0.000136197,-0.22570133,0.16038519,-0.007031179
102200000,-0.001178305,-0.005881786,-0.00015534,-0.228604,0.15869848,-0.006860105
103200000,-0.001146848,-0.005871421,-0.000154554,-0.23264715,0.15631242,-0.006704645
104200000,-0.001121177,-0.005850827,-0.000130855,-0.23729819,0.15346229,-0.006532537
105200000,-0.001096957,-0.005830842,-0.000107972,-0.24164186,0.15166429,-0.006378562
106200000,-0.001070819,-0.005811022,-9.03E-05,-0.24568002,0.15036313,-0.006730333
107200000,-0.001044213,-0.005793876,-7.81E-05,-0.24840792,0.15023547,-0.007092452
108200000,-0.001017454,-0.005785396,-7.51E-05,-0.2501063,0.15035544,-0.00793569
109200000,-0.000990035,-0.00577743,-6.73E-05,-0.25187394,0.15047745,-0.008726728
110200000,-0.000954748,-0.005771219,-6.50E-05,-0.25287077,0.150861,-0.009118808
111200000,-0.000916875,-0.005781544,-5.97E-05,-0.2534573,0.15113012,-0.009661358
112200000,-0.000893502,-0.005782952,-4.37E-05,-0.25406373,0.15159377,-0.007792236
113200000,-0.000865271,-0.005791478,-3.71E-05,-0.25429702,0.15163438,-0.005561974
114200000,-0.000843758,-0.005800456,-3.12E-05,-0.25419465,0.15167901,-0.003469762
115200000,-0.000821828,-0.005803695,-2.02E-05,-0.25399333,0.15187132,-0.00174335
116200000,-0.000797456,-0.00581026,-7.11E-06,-0.25366715,0.15198229,-0.00064691
117200000,-0.000780724,-0.005812878,2.54E-06,-0.2535738,0.15203576,0.00022315
118200000,-0.000771346,-0.005823134,1.30E-05,-0.25351208,0.15203348,0.000416104
119200000,-0.000761959,-0.00582928,2.74E-05,-0.25335747,0.15216812,0.000767069
120200000,-0.000761051,-0.005838444,3.88E-05,-0.25342602,0.15223524,-0.000389894
121200000,-0.000755418,-0.005846862,4.65E-05,-0.25349405,0.1522299,-0.001643842
122200000,-0.000759125,-0.005855854,3.50E-05,-0.2535419,0.15246603,-0.00385407
123200000,-0.000759085,-0.005868141,-3.47E-07,-0.2538291,0.15226707,-0.006692688
124200000,-0.000765115,-0.005869543,-1.17E-05,-0.25405797,0.15232036,-0.008895655
125200000,-0.000770966,-0.005864942,-4.32E-06,-0.25384653,0.15260918,-0.01028393
126200000,-0.000774766,-0.005854403,-3.46E-07,-0.25333852,0.15371753,-0.012166368
127200000,-0.000775306,-0.005838799,-8.37E-06,-0.25261354,0.15593335,-0.013819054
128200000,-0.000779359,-0.005823693,-1.92E-05,-0.25228342,0.15851039,-0.015161331
129200000,-0.00077425,-0.005804355,-4.00E-05,-0.25186443,0.16193481,-0.016926544
130200000,-0.000761498,-0.005792413,-5.33E-05,-0.25121346,0.16497086,-0.019116053
131200000,-0.000749209,-0.005783554,-6.60E-05,-0.25109467,0.16753492,-0.020431949
132200000,-0.000737364,-0.005776298,-7.15E-05,-0.25106126,0.16970064,-0.021062419
133200000,-0.000727332,-0.005771139,-7.72E-05,-0.25127253,0.17179987,-0.02111335
134200000,-0.000714269,-0.005763684,-7.81E-05,-0.25161955,0.17333703,-0.02065643
135200000,-0.000707735,-0.005757963,-8.15E-05,-0.25206482,0.17476338,-0.02015803
136200000,-0.000699238,-0.005753178,-8.36E-05,-0.25247493,0.17592476,-0.019515488
137200000,-0.000693055,-0.005748296,-8.33E-05,-0.25280607,0.17702307,-0.018865585
138200000,-0.000685634,-0.005743451,-7.95E-05,-0.2530505,0.17772824,-0.017463094
139200000,-0.000680595,-0.005732979,-7.61E-05,-0.253268,0.17834277,-0.015320758
140200000,-0.000678758,-0.005718236,-7.48E-05,-0.25347093,0.17892364,-0.012051197
141200000,-0.000682354,-0.005693189,-7.67E-05,-0.25353897,0.17932023,-0.00831945
142200000,-0.000684971,-0.005668946,-7.32E-05,-0.25351334,0.17962667,-0.004780833
143200000,-0.000688151,-0.005645877,-7.76E-05,-0.25347203,0.17975417,-0.002406044
144200000,-0.000688404,-0.005630466,-8.19E-05,-0.25349185,0.1800865,-0.001283237
145200000,-0.000685384,-0.005617317,-8.21E-05,-0.25351113,0.18060735,-0.001295541
146200000,-0.000682745,-0.005607892,-8.61E-05,-0.25352046,0.18084456,-0.002570018
147200000,-0.000679136,-0.005609325,-8.57E-05,-0.25361386,0.18125314,-0.003969462
148200000,-0.000672354,-0.005613362,-8.89E-05,-0.253742,0.18176188,-0.006306014
149200000,-0.000672138,-0.005622794,-9.36E-05,-0.25382963,0.18226032,-0.009371836
150200000,-0.000675586,-0.005641188,-9.97E-05,-0.2539559,0.18303424,-0.012475481
151200000,-0.000680305,-0.005667329,-0.000110439,-0.2540996,0.18375354,-0.015383548
152200000,-0.000678567,-0.005703531,-0.000107886,-0.254321,0.18415943,-0.01788668
153200000,-0.000679317,-0.005729593,-0.000103387,-0.25447586,0.1845731,-0.019223405
