timestamp,lat,lon,alt,vel_m_s,vel_n_m_s,vel_e_m_s,vel_d_m_s,cog_rad
72976000,398714138,327368419,400114,0,0,-0.01,0,5.307197
73180000,398714138,327368418,400120,0,0,0,0.049999997,5.3803263
73384000,398714138,327368419,400115,0.01,0.01,-0.02,-0.01,5.1729813
73588000,398714138,327368534,400116,9.07,0,9.059999,-0.02,1.5713199
73792000,398714138,327368828,400122,14.889999,0,14.91,0,1.5702727
73996000,398714138,327369227,400128,18.699999,0,18.69,-0.06,1.5707964
74200000,398714135,327369718,400141,21.17,-0.32999998,21.16,-0.07,1.5866787
74404000,398714128,327370243,400151,22.51,-0.48,22.519999,-0.11,1.5922638
74608000,398714116,327370781,400233,23.18,-0.88,23.16,-0.75,1.6088445
74812000,398714095,327371339,400493,23.43,-1.42,23.369999,-1.7099999,1.6315337
75016000,398714064,327371912,400934,23.47,-1.9,23.4,-2.4299998,1.6519542
75220000,398714025,327372461,401511,23.369999,-2.36,23.269999,-3.22,1.6721998
75424000,398713977,327373015,402255,23.17,-2.84,23,-4.0099998,1.6938419
75628000,398713919,327373573,403173,22.91,-3.33,22.68,-4.72,1.7167058
75832000,398713855,327374102,404197,22.59,-3.77,22.26,-5.49,1.7385224
76036000,398713781,327374630,405398,22.21,-4.23,21.82,-6.31,1.7624334
76240000,398713697,327375157,406789,21.84,-4.73,21.32,-6.94,1.7891369
76444000,398713604,327375663,408258,21.57,-5.42,20.84,-7.33,1.8254398
76648000,398713498,327376148,409768,21.34,-6.3199997,20.38,-7.62,1.8715165
76852000,398713370,327376638,411380,20.8,-7.23,19.5,-7.71,1.9257963
77056000,398713229,327377090,412931,20.06,-8.07,18.35,-7.62,1.9849628
77260000,398713076,327377514,414420,19.82,-8.82,17.77,-7.22,2.0313888
77464000,398712905,327377944,415849,19.88,-9.45,17.5,-6.6299996,2.065946
77668000,398712724,327378360,417155,19.939999,-10.15,17.18,-6.22,2.104518
77872000,398712535,327378759,418381,19.98,-10.79,16.8,-5.93,2.1415188
78076000,398712330,327379157,419565,19.98,-11.44,16.38,-5.7,2.1804397
78280000,398712110,327379551,420724,19.949999,-12.0199995,15.9,-5.44,2.218139
78484000,398711888,327379920,421813,19.89,-12.5199995,15.46,-5.38,2.2514746
78688000,398711654,327380284,422891,19.82,-12.95,15.009999,-5.29,2.2828908
78892000,398711407,327380646,423980,19.74,-13.33,14.57,-5.23,2.3116884
79096000,398711165,327380984,425024,19.66,-13.58,14.23,-5.23,2.332807
